発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200601	電撃文庫	新フォーチュン・クエスト (11)　クレイの災難 <上>	深沢美潮	迎夏生	4-8402-3266-0	1195	ふ-1-47	264	
200601	電撃文庫	神栖麗奈は此処に散る	御影瑛路	なし	4-8402-3267-9	1196	み-8-3	273	
200601	電撃文庫	かしまし　～ガール・ミーツ・ガール～	駒尾真子　原作：あかほりさとる	桂遊生丸	4-8402-3268-7	1197	こ-9-1	321	
200601	電撃文庫	とある魔術の禁書目録 (8)	鎌池和馬	灰村キヨタカ	4-8402-3269-5	1198	か-12-8	245	
200601	電撃文庫	でぃ・えっち・えぃ　そのよん！	ゆうきりん	小宮裕太	4-8402-3270-9	1199	ゆ-1-11	309	
200601	電撃文庫	ユメ視る猫とカノジョの行方	周防ツカサ	森倉円	4-8402-3271-7	1200	す-8-2	309	
200601	電撃文庫	護くんに番外編で祝福を！ (2)	岩田洋季	佐藤利幸	4-8402-3272-5	1201	い-5-14	349	
200601	電撃文庫	水晶宮殿　nerim's note III	長谷川昌史	Nino	4-8402-3273-3	1202	は-6-3	320	
200601	電撃文庫	9S＜ないんえす？＞ SS	葉山透	山本ヤマト	4-8402-3274-1	1203	は-5-7	276	
200601	電撃文庫	シリアスレイジ 3　虎落笛	白川敏行	やすゆき	4-8402-3275-X	1204	し-11-3	363	
200601	電撃文庫	小さな国の救世主　なりゆき軍師の巻	鷹見一幸	Himeaki	4-8402-3276-8	1205	た-12-13	357	
200601	電撃文庫	二階の妖怪王女 3	あらいりゅうじ	かんたか	4-8402-3277-6	1206	あ-5-14	243	
200601	電撃文庫	レジンキャストミルク 2	藤原祐	椋本夏夜	4-8402-3278-4	1207	ふ-7-7	327	
200601	電撃文庫	想刻のペンデュラム II	鳥生浩司	石田あきら	4-8402-3279-2	1208	と-7-2	291	
200601	富士見ファンタジア文庫	A君 (17) の戦争 9　われらがすばらしいとき	豪屋大介	玲衣	4-8291-1747-8	1145	117-59	194	
200601	富士見ファンタジア文庫	抗いし者たちの系譜　逆襲の魔王	三浦良	KIRIN	4-8291-1787-7	1185	167-1	268	[第17回ファンタジア長編小説大賞＜審査委員賞＞]
200601	富士見ファンタジア文庫	電蜂 DENPACHI	石踏一榮	結賀さとる	4-8291-1788-5	1186	168-1	296	[第17回ファンタジア長編小説大賞＜特別賞＞]
200601	富士見ファンタジア文庫	マテリアルゴースト	葵せきな	てぃんくる	4-8291-1789-3	1187	166-1	333	[第17回ファンタジア長編小説大賞＜佳作＞]
200601	富士見ファンタジア文庫	ソード・ワールド短編集　ぺらぺらーず漫遊記	藤澤さなえ、清松みゆき、北沢慶　編集：安田均	かわく	4-8291-1790-7	1188	21-48	271	
200601	富士見ファンタジア文庫	おあいにくさま二ノ宮くん 1	鈴木大輔	高苗京鈴	4-8291-1791-5	1189	149-5	264	
200601	富士見ファンタジア文庫	ムーンスペル!!　背中合わせの風景	尼野ゆたか	ひじりるか	4-8291-1792-3	1190	152-4	290	
200601	富士見ファンタジア文庫	フルメタル・パニック！　燃えるワン・マン・フォース	賀東招二	四季童子	4-8291-1793-1	1191	92-17	302	
200601	角川スニーカー文庫	レンタルマギカ　魔法使いの宿命！	三田誠	pako	4-04-424909-1	14066	177-5	235	
200601	角川スニーカー文庫	お・り・が・み　正の闇	林トモアキ	2C=がろあ～	4-04-426608-5	14023	150-8	301	
200601	角川スニーカー文庫	バイトでウィザード　沈めよ恋心、と雨は舞い降りた	椎野美由貴	原田たけひと	4-04-428712-0	14063	162-12	310	
200601	角川スニーカー文庫	ムシウタ　06. 夢導く旅人	岩井恭平	るろお	4-04-428812-7	14064	163-26	376	
200601	角川スニーカー文庫	薔薇のマリア　IV. LOVE'N' KILL	十文字青	BUNBUN	4-04-471005-8	14067	182-5	392	
200601	角川スニーカー文庫	ガンソード　～夢見る頃をすぎても～	倉田英之	木村貴宏、植田洋	4-04-471901-2	14028	190-1	249	
200601	ファミ通文庫	学校の階段	櫂末高彰	甘福あまね	4-7577-2598-1	564	か8 1-1	285	[第7回エンターブレインえんため大賞＜優秀賞＞]
200601	ファミ通文庫	走って帰ろう！	加藤聡	緋呂河とも	4-7577-2599-X	565	か9 1-1	285	[第7回エンターブレインえんため大賞＜優秀賞＞]
200601	ファミ通文庫	私のKnightになってよネ！	佐藤了	石田あきら	4-7577-2600-7	566	さ5 1-1	316	[第6回エンターブレインえんため大賞＜東放学園特別賞＞]
200601	ファミ通文庫	ワンダフル・ワンダリング・サーガ	矢治哲典	矢野たくみ	4-7577-2601-5	567	や2 1-1	251	[第7回エンターブレインえんため大賞＜佳作＞]
200601	ファミ通文庫	RE：凪野アオイ　超高速機動粒子炉船　春一番	原口美奈子	AKIRA	4-7577-2602-3	568	は1 1-1	301	[第6回エンターブレインえんため大賞＜佳作＞]
200601	ファミ通文庫	コッペとBB団　その2	田口仙年堂	はしもとしん	4-7577-2603-1	570	た1 2-2	284	
200601	ファミ通文庫	荒野の恋 第二部　bump of love	桜庭一樹	ミギー	4-7577-2604-X	569	さ1 5-2	223	
200601	ファミ通文庫	頂天のレムーリア	芝村裕子	そのだみく	4-7577-2605-8	571	L4 1-1	447	
200601	ファミ通文庫	アイドルマスター (1)　やすらぎの旋律	斎藤ゆうすけ	オイコ	4-7577-2606-6	572	I3 1-1	217	
200601	MF文庫J	バレンタイン上等。	三浦勇雄	屡那	4-8401-1483-8		み-01-02	263	
200601	MF文庫J	イコノクラスト！ (4)	榊一郎	kyo	4-8401-1484-6		さ-03-04	320	
200601	MF文庫J	銃姫 (6)　The Lady Canary	高殿円	エナミカツミ	4-8401-1485-4		た-04-06	293	
200601	MF文庫J	風水少女 3　東から来た少女剣士！	夏緑	南方純	4-8401-1486-2		な-01-15	263	
200601	MF文庫J	ゴーレム×ガールズ 2　ふたごクリスタル	大凹友数	KEI	4-8401-1487-0		お-06-02	259	
200601	MF文庫J	かのこん 2　～はじまりはじまり～	西野かつみ	狐印	4-8401-1488-9		に-01-02	295	
200601	MF文庫J	ネクラ少女は黒魔法で恋をする	熊谷雅人	えれっと	4-8401-1489-7		く-02-01	257	[第1回MF文庫Jライトノベル新人賞＜佳作＞]
200601	MF文庫J	ファイナルシーカー　レスキューウィングス	小川一水	山本七式	4-8401-1490-0		お-07-01	291	
200601	スーパーダッシュ文庫	戦う司書と雷の愚者	山形石雄	前嶋重機	4-08-630276-4		や1-2	253	
200601	スーパーダッシュ文庫	陰陽師は式神を使わない　陰陽道馬神流初伝・入門篇	藤原京	藤城陽	4-08-630277-2		ふ2-1	231	
200601	スーパーダッシュ文庫	竜留城の王	浅野智哉	よしき龍馬	4-08-630278-0		あ2-6	234	
200601	スーパーダッシュ文庫	Hot Rod	狭山京輔	えびね	4-08-630279-9		さ3-6	321	
200601	富士見ミステリー文庫	楓の剣！	かたやま和華	梶山ミカ	4-8291-6334-8	234	FM73-01	270	[第5回富士見ヤングミステリー大賞＜佳作＞]
200601	富士見ミステリー文庫	SHADE Italian Connection	南房秀久	湊ヒロム	4-8291-6335-6	235	FM02-15	293	
200601	富士見ミステリー文庫	エクスプローラー　覚醒少年	北山大詩	石田あきら	4-8291-6336-4	236	FM75-01	302	[第5回富士見ヤングミステリー大賞＜奨励賞＞]
200601	富士見ミステリー文庫	BLACK JOKER　少女たちの方程式	あくたゆい	風都ノリ	4-8291-6337-2	237	FM74-01	334	[第5回富士見ヤングミステリー大賞＜奨励賞＞]
200601	富士見ミステリー文庫	ぼくのご主人様!?	鷹野祐希	和泉つばす	4-8291-6338-0	238	FM72-01	299	
200601	GA文庫	旋風伝　レラ＝シウ 一	朝松健	山田章博	4-7973-3363-4	1	あ-01-01	329	
200601	GA文庫	神曲奏界ポリフォニカ　ウェイワード・クリムゾン	榊一郎	神無月昇	4-7973-3443-6	3	さ-01-01	341	
200601	GA文庫	虚攻の戦士　『ナツ』ノキオク	神野オキナ	田沼雄一郎	4-7973-3445-2	4	か-01-01	317	
200601	GA文庫	ハノン　～君の目指す明日へ～	織田兄第	兎塚エイジ	4-7973-3446-0	5	お-01-01	329	
200601	ゼータ文庫	ドラグネット・ミラージュ	きぬたさとし　原案：賀東招二	篠房六郎	4-8124-2505-0		TZ-き-1-1	303	
200601	ゼータ文庫	ウェイズ事件簿　暗き影は陽の下に	神代創	山本ヤマト	4-8124-2506-9		TZ-か-1-1	303	
200601	C★NOVELS ファンタジア	聖刻群龍伝　龍攘の刻 3	千葉暁	藤井英俊	4-12-500891-4		ち1-18	218	
200601	C★NOVELS ファンタジア	闇の守り手 3　ナイトランナー I	リン・フルエリン　訳：浜名那奈	由貴海里	4-12-500929-5		ふ2-3	211	
200601	ZIGZAG NOVELS	幸福眼少女―エンジェルアイズ―	麻田奈利	廣岡政樹	4-434-07192-0			319	
200601	ZIGZAG NOVELS	スコーピオン	諸口正巳	山本ヤマト	4-434-07193-9			273	
200601	スクウェア・エニックス・ノベルズ	Fiss	冬瀬まのと	恵三朗	4-7575-1617-7			285	
200601	コバルト文庫	マリア様がみてる　未来の白地図	今野緒雪	ひびき玲音	4-08-600704-5		こ7-47	217	
200601	コバルト文庫	風雲縛魔伝 (7)　北斗復活！の巻	桑原水菜	桑原祐子	4-08-600705-3		く5-75	285	
200601	コバルト文庫	少年舞妓・千代菊がゆく！　初めてのヴァレンタイン	奈波はるか	ほり恵利織	4-08-600706-1		な9-19	203	
200601	コバルト文庫	銀朱の花　深い森の城	金蓮花	藤井迦耶	4-08-600707-X		き6-55	264	
200601	コバルト文庫	鏡のお城のミミ　遠いひとへの贈りもの	倉世春	水谷悠珠	4-08-600708-8		く9-13	253	
200601	コバルト文庫	エネアドの３つの枝　最後の封印	樹川さとみ	木々	4-08-600709-6		き5-30	280	
200601	コバルト文庫	姫神さまに願いを　～形見の夢標～	藤原眞莉	鳴海ゆき	4-08-600710-X		ふ6-55	297	
200601	コバルト文庫	空よりも青く染まれ	片山奈保子	竹岡美穂	4-08-600711-8		か10-25	216	
200601	コバルト文庫	青桃院学園風紀録　シュヤクになるだろ！	真堂樹	松本テマリ	4-08-600712-6		し8-64	251	
200601	コバルト文庫	うたかた　―あさぎ色の風―	藤堂夏央	雪舟薫	4-08-600713-4		と4-21	212	
200601	コバルト文庫	風の色を映す	麻生玲子	小山田あみ	4-08-600714-2		あ15-17	193	
200601	コバルト文庫	あたしの中の……	新井素子	四位広猫	4-08-600715-0		あ2-20	249	新装版
200601	コバルト文庫	ヴィクトリアン・ローズ・テーラー　恋のドレスとつぼみの淑女	青木祐子	あき	4-08-600716-9		あ16-9	235	
200601	角川ビーンズ文庫	少年陰陽師　いにしえの魂を呼び覚ませ	結城光流	あさぎ桜	4-04-441620-6		BB16-18	254	
200601	角川ビーンズ文庫	龍の玉座　ザ・イノセント・キングダム	喜多みどり	凱王安也子	4-04-449509-2		BB42-9	246	
200601	角川ビーンズ文庫	オペラ・カンタンテ　静寂の歌い手	栗原ちひろ	THORES柴本	4-04-451402-X		BB56-2	255	
200601	X文庫ホワイトハート	愛されたがる男	樹生かなめ	奈良千春	4-06-255838-6		きD-05	249	
200601	X文庫ホワイトハート	水晶球を抱く女　英国妖異譚 12	篠原美季	かわい千草	4-06-255839-4		しD-14	317	
200601	X文庫ホワイトハート	罠　姉崎探偵事務所	新田一実	笠井あゆみ	4-06-255840-8		にA-53	248	
200601	X文庫ホワイトハート	愛のレイティングAAA (上)　アナリストの憂鬱	井村仁美	如月弘鷹	4-06-255841-6		いE-19	204	
200601	X文庫ホワイトハート	暁――SUNGLOW――　硝子の街にて (21)	柏枝真郷	茶屋町勝呂	4-06-255842-4		かB-22	268	
200601	X文庫ホワイトハート	ガラス遊戯　風の守り歌	志堂日咲	榎本ナリコ	4-06-255844-0		しG-01	286	[X文庫新人賞]
200601	X文庫ホワイトハート	関係の法則	月夜の珈琲館	月夜の珈琲館	4-06-255846-7		つB-17	270	
200601	X文庫ホワイトハート	邪道　濮上之音	川原つばさ	沖麻実也	4-06-255849-1		かG-05	276	
200601	X文庫ホワイトハート	堕天使奇談	椹野道流	あかま日砂紀	4-06-255852-1		ふC-31	237	
200601	X文庫ホワイトハート	マージナルプリンス　繰り返される歴史	森本繭斗	甲斐智久	4-06-255853-X		もD-01	215	
200601	ウィングス文庫	ジョーカー外伝　新・特捜司法官S-A 2	麻城ゆう	道原かつみ	4-403-54101-1	101		250	
200601	X文庫ティーンズハート	男の子と女の子	小林深雪	牧村久実	4-06-259617-2		こ2-99	203	
