発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
197601	ソノラマ文庫	軍艦泥棒	高橋泰邦	山野辺進	4-257-76016-8	16	27-A	382	
197601	ソノラマ文庫	黄色のバット	杉森久英	白吉辰三	4-257-76017-6	17	24-A	318	
197601	ソノラマ文庫	幽霊鉄仮面	横溝正史	田村元	4-257-76018-4	18	54-A	318	
197601	ソノラマ文庫	凍原に吼える	戸川幸夫	土井栄	4-257-76019-2	19	31-A	283	
197601	ソノラマ文庫	星が流れる	藤村正太	武部本一郎	4-257-76020-6	20	43-A	251	
197602	ソノラマ文庫	宇宙潜航艇ゼロ	石津嵐	箕輪宗廣	4-257-76021-4	21	4-B	220	
197602	ソノラマ文庫	マーメイド戦士	豊田有恒	中山正美	4-257-76022-2	22	34-A	255	
197602	ソノラマ文庫	真珠塔・獣人魔島	横溝正史	田村元	4-257-76023-0	23	54-B	318	
197602	ソノラマ文庫	からくり儀右衛門	横田弘行	祐天寺三郎	4-257-76024-9	24	53-A	251	
197602	ソノラマ文庫	あの子は委員長	神保史郎	石井いさみ	4-257-76025-7	25	23-A	220	
197603	ソノラマ文庫	怪獣男爵	横溝正史	田村元	4-257-76026-5	26	54-C	249	
197603	ソノラマ文庫	岩窟の大殿堂	野村胡堂	南村喬之	4-257-76027-3	27	39-A	414	
197603	ソノラマ文庫	読者への挑戦　12の推理パズル	山村正夫	柳柊二	4-257-76028-1	28	50-B	254	
197603	ソノラマ文庫	死神博士	高木彬光	武部本一郎	4-257-76029-X	29	25-A	253	
197604	ソノラマ文庫	太陽は泣かない	吉岡道夫	依光隆	4-257-76030-3	30	56-A	286	
197604	ソノラマ文庫	海底牢獄	香山滋	箕輪宗廣	4-257-76031-1	31	9-A	253	
197604	ソノラマ文庫	イチコロ島SOS	加納一朗	祐天寺三郎	4-257-76032-X	32	か 1- 4	222	
197605	ソノラマ文庫	白蝋の鬼	高木彬光	武部本一郎	4-257-76033-8	33	25-B	251	
197605	ソノラマ文庫	牙王物語 (上)	戸川幸夫	土井栄	4-257-76034-6	34	31-B	254	
197605	ソノラマ文庫	牙王物語 (下)	戸川幸夫	土井栄	4-257-76035-4	35	31-C	315	
197606	ソノラマ文庫	ミスター・サルトビ	宮崎惇	吉田郁也	4-257-76036-2	36	47-A	318	
197606	ソノラマ文庫	大森林の逃走　サウンド・ハンター (1)	和田頴太	山野辺進	4-257-76037-0	37	57-A	250	
197606	ソノラマ文庫	悪魔の星	香山滋	岩井泰三	4-257-76038-9	38	9-B	251	
197606	コバルト文庫	若い樹たち	佐伯千秋				002-A		
197606	コバルト文庫	この花の影	吉田とし				003-B		
197606	コバルト文庫	制服の胸のここには	富島健夫		4-08-610001-0		001-A		
197606	コバルト文庫	初恋宣言	富島健夫		4-08-610002-9		001-B		
197606	コバルト文庫	青春流浪	佐伯千秋		4-08-610004-5		002-B		
197606	コバルト文庫	ヴィナスの城	吉田とし		4-08-610005-3		003-A	201	
197606	コバルト文庫	純愛	三木澄子		4-08-610007-X		004-A		
197606	コバルト文庫	美しき“おんな”への道	鈴木健二		4-08-610008-8		005-A	187	
197606	コバルト文庫	困ったなァ	佐藤愛子		4-08-610009-6		006-A		
197606	コバルト文庫	こころはいつもあなたの隣	清川妙		4-08-610010-X		007-A		
197606	コバルト文庫	愛の詩集	編：新川和江		4-08-610011-8		008-A	212	
