発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
201501	電撃文庫	やがて魔剱のアリスベル V　必殺の時刻	赤松中学	閏月戈	978-4-04-869043-0	2842	あ-33－6	280	
201501	電撃文庫	課外活動サバイバルメソッド	水瀬葉月	悠久ポン酢	978-4-04-869163-5	2876	み-7－29	376	
201501	電撃文庫	未踏召喚://ブラッドサイン (2)	鎌池和馬	依河和希	978-4-04-869164-2	2868	か-12-53	392	
201501	電撃文庫	堕天のシレン	上月司	さんた茉莉	978-4-04-869166-6	2867	こ-8-26	392	
201501	電撃文庫	魔法科高校の劣等生 (15)　古都内乱編 <下>	佐島勤	石田可奈	978-4-04-869167-3	2866	さ-14-17	328	
201501	電撃文庫	Fate/strange Fake (1)	成田良悟　原作：TYPE-MOON	森井しづき	978-4-04-869168-0	2870	な-9－52	312	
201501	電撃文庫	デュラララ!!SH×3	成田良悟	ヤスダスズヒト	978-4-04-869169-7	2869	な-9－51	328	
201501	電撃文庫	軋む楽園の葬花少女 III	鷹野新	せんむ	978-4-04-869170-3	2872	た-28-5	408	
201501	電撃文庫	魔王なあの娘と村人A (9)　～村人たちの秘密のクエスト～	ゆうきりん	赤人	978-4-04-869171-0	2875	ゆ-1-33	280	
201501	電撃文庫	お嬢様の幸せは理想郷の果てに	黒羽朽葉	旅田尚幸	978-4-04-869172-7	2874	く-10-2	312	
201501	電撃文庫	青春ブタ野郎はロジカルウィッチの夢を見ない	鴨志田一	溝口ケージ	978-4-04-869173-4	2871	か-14-24	376	
201501	電撃文庫	かくて夜明けの神殺者 3	中維	しらび	978-4-04-869191-8	2873	ち-3-7	296	
201501	電撃文庫	ラストダンジョンへようこそ 2	周防ツカサ	町村こもり	978-4-04-869246-5	2877	す-8－21	312	
201501	富士見ファンタジア文庫	放課後トロイメライ 3　雪解けの協奏曲	壱乗寺かるた	日吉丸晃	978-4-04-070123-3		い-1 1-3	299	
201501	富士見ファンタジア文庫	グランクレスト戦記 4　漆黒の公女	水野良	深遊	978-4-04-070200-1		み-1 4-4	264	
201501	富士見ファンタジア文庫	100万回死んでも少女は死体回収屋の苦労を知らない 2	割石裂	ゆーぽん	978-4-04-070235-3		わ-3 1-2	285	
201501	富士見ファンタジア文庫	クインテット・ファンタズム 2　疾風の銀狼	東出祐一郎	ワダアルコ	978-4-04-070278-0		ひ-6 1-2	333	
201501	富士見ファンタジア文庫	死線世界の追放者 2	ミズノアユム	カスカベアキラ	978-4-04-070286-5		み-7 1-2	280	
201501	富士見ファンタジア文庫	オレと彼女の萌えよペン 2	村上凛	秋奈つかこ	978-4-04-070329-9		む-1 2-2	253	
201501	富士見ファンタジア文庫	S.I.R.E.N. 4　―次世代新生物統合研究特区―	細音啓	蒼崎律	978-4-04-070347-3		さ-2 4-4	281	
201501	富士見ファンタジア文庫	スレイヤーズ 25周年あんそろじー	神坂一、秋田禎信、橘公司、初美陽一、愛七ひろ、日日日	あらいずみるい	978-4-04-070467-8		か-1 7-1	286	
201501	富士見ファンタジア文庫	バーガント反英雄譚 7　継がれし王家と魔王再誕	八街歩	珈琲猫	978-4-04-070469-2		や-2 3-7	343	
201501	富士見ファンタジア文庫	できそこないの魔獣錬磨師	見波タクミ	狐印	978-4-04-070478-4		み-9 1-1	313	[第27回ファンタジア大賞＜金賞＞]
