発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199801	電撃文庫	ドラゴンはダメよ <上>	G・コスティキアン　訳：安田均、石口聖子	吉富昭仁	4-07-307649-3	0225	こ-2-3	313	
199801	電撃文庫	亜妖精物語　Fairy's Whisper	葛城稜	出渕裕	4-07-307721-X	0227	か-6-1	237	
199801	電撃文庫	ア・リトル・ドラゴン (2)　眠れる巨人の秘密	中村うさぎ	上田宏	4-07-307738-4	0226	な-1-11	234	
199801	電撃文庫	ゴクドーくん漫遊記外伝 (6)　眠れる森の美女と野獣	中村うさぎ	桐嶋たける	4-8402-0761-5	0219	な-1-10	196	原題:極道くん漫遊記外伝
199801	電撃G's文庫	クラスメイト　イー・リンリンの場合	紺野たくみ	たくま朋正	4-07-307744-9	0229	A06-03	255	
199801	電撃G's文庫	マリーのアトリエ　～ザールブルグの錬金術士～	工藤治	桜瀬琥姫	4-07-307750-3	0228	A14-01	248	
199801	富士見ファンタジア文庫	月蝕紀列伝 3　異端の魔道士セイル	南房秀久	井上純弌	4-8291-2791-0	491	68-4	303	
199801	富士見ファンタジア文庫	天高く、雲は流れ 4	冴木忍	森山大輔	4-8291-2792-9	492	32-23	251	
199801	富士見ファンタジア文庫	必殺 お捜し人 5　名画の受難	小林めぐみ	ひさいちよしき	4-8291-2793-7	493	30-14	278	
199801	富士見ファンタジア文庫	擬似人間メルティア　わたしの中の魔獣	対馬正治	小河原亮	4-8291-2794-5	494	69-2	297	
199801	富士見ファンタジア文庫	魔術士オーフェン・無謀編 (5)　あきれてものも言えねえぜ！	秋田禎信	草河遊也	4-8291-2795-3	495	40-16	270	
199801	富士見ファンタジア文庫	ドラゴンズ・ウィル	榊一郎	田沼雄一郎	4-8291-2796-1	496	88-1	288	[第9回ファンタジア長編小説大賞＜準入選＞]
199801	角川スニーカー文庫	センチメンタルグラフティ　再会	大倉らいた　原案：マーカス	甲斐智久	4-04-418602-2	10577	86-2	339	
199801	角川スニーカー文庫	ACCESS　機械じかけの戦乙女	泥士朗	安西真	4-04-419001-1	10578	90-1	286	
199801	角川スニーカー文庫	Lunar シルバースターストーリー　3 翔ける想い	重馬敬	船戸明里	4-04-460706-0	10576	616-3	245	
199801	ファミ通ゲーム文庫	ファイアーエムブレム 聖戦の系譜 森と湖の国	鈴木銀一郎		4-89366-922-2	LB-164	す4-7	219	
199801	ログアウト文庫	逆転家族	宗田理		4-89366-923-0	LB-163		273	
199801	ソノラマ文庫	ペリペティアの福音 (上)　聖墓編	秋山完	結賀さとる	4-257-76825-8	825	あ 6- 3	268	
199801	ソノラマ文庫	タイム・クラッシュ (下)　銀河冒険紀	岡本賢一	鈴木雅久	4-257-76829-0	829	お 3- 8	281	
199801	ソノラマ文庫	【お茶くみスパイ】レイカの事件簿　笑うＵＦＯ殺人？事件	青山智樹	そえたかずひろ	4-257-76830-4	830	あ 8- 1	263	
199801	ソノラマ文庫	電脳天使 III	彩院忍	佐々木淳子	4-257-76831-2	831	さ 3- 3	319	
199801	スーパーファンタジー文庫	こちらエルフ探偵社	丘野ゆうじ	上田信舟	4-08-613290-7		お1-29	269	
199801	スーパーファンタジー文庫	月　―ぼくは天使に恋をする― (下)	花衣沙久羅	氷栗優	4-08-613291-5		か2-22	327	
199801	スーパーファンタジー文庫	闇に歌えば　ナイト・コーリング	瀬川貴次	藤川守	4-08-613292-3		せ1-24	213	
199801	スーパークエスト文庫	すちゃらかハルマゲドン	大野木寛	猫有馬	4-09-440265-9		お1-5	195	
199801	スーパークエスト文庫	マジカル・シティ・ナイト II-2　青竜仕掛けのアリア	朝松健	義仲翔子	4-09-440377-9		あ1-8	195	
199801	C★NOVELS ファンタジア	解放の呪文	神無月ふみ		4-12-500505-2		か3-11	218	
199801	C★NOVELS ファンタジア	聖刻群竜伝 1　西方大陸篇	千葉暁	藤井英俊	4-12-500509-5		ち1-5	217	
199801	コバルト文庫	炎の蜃気楼 (23)　怨讐の門　青海編	桑原水菜	浜田翔子	4-08-614408-5		く5-32	257	
199801	コバルト文庫	万象の杖 4	前田珠子	高屋未央	4-08-614409-3		ま2-38	204	
199801	コバルト文庫	龍は飢える	真堂樹	浅見侑	4-08-614410-7		し8-15	251	
199801	コバルト文庫	竜の眠る海　黄昏の伶人	金蓮花	珠黎皐夕	4-08-614411-5		き6-19	293	
199801	コバルト文庫	雪之丞事件簿 (3)　ガブリエルの遺言	あさぎり夕	あさぎり夕	4-08-614412-3		あ13-3	277	
199801	コバルト文庫	姫君と婚約者 9	高遠砂夜	赤坂RAM	4-08-614413-1		た13-17	249	
