発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200501	電撃文庫	いぬかみっ！ 5	有沢まみず	若月神無	4-8402-2871-X	1034	あ-13-9	279	
200501	電撃文庫	シャドウ・テイカー 3　フェイクアウト	三上延	純珪一	4-8402-2899-X	1045	み-6-10	299	
200501	電撃文庫	9S＜ナインエス＞ V	葉山透	山本ヤマト	4-8402-2906-6	1043	は-5-5	381	
200501	電撃文庫	シュプルのおはなし 3　Grandpa's Treasure Box	雨宮諒	丸山薫	4-8402-2907-4	1037	あ-17-3	264	
200501	電撃文庫	ポストガール 4	増子二郎	GASHIN	4-8402-2908-2	1046	ま-6-4	273	
200501	電撃文庫	吸血鬼のおしごとSP　The Days Gone By	鈴木鈴	片瀬優	4-8402-2909-0	1040	す-5-9	258	
200501	電撃文庫	結界師のフーガ 3　見えない棘の家族	水瀬葉月	鳴瀬ひろふみ	4-8402-2910-4	1039	み-7-3	277	
200501	電撃文庫	蒼穹のファフナー	冲方丁	平井久司	4-8402-2911-2	1044	う-2-1	291	
200501	電撃文庫	白人萠乃と世界の危機	七月隆文	しろ	4-8402-2912-0	1036	い-7-3	257	
200501	電撃文庫	AHEADシリーズ　終わりのクロニクル (4) <下>	川上稔	さとやす	4-8402-2913-9	1038	か-5-24	515	
200501	電撃文庫	ミナミノミナミノ	秋山瑞人	駒都えーじ	4-8402-2914-7	1035	あ-8-12	260	
200501	電撃文庫	でぃ・えっち・えぃ	ゆうきりん	小宮裕太	4-8402-2915-5	1041	ゆ-1-8	289	
200501	電撃文庫	DADDYFACE　メドゥーサ IV	伊達将範	西E田	4-8402-2916-3	1042	た-9-10	411	
200501	電撃ゲーム文庫	ガンパレード・マーチ　もうひとつの撤退戦	榊涼介	きむらじゅんこ	4-8402-2952-X	1059	J17-10	257	
200501	富士見ファンタジア文庫	ザ・サード VII　死すべき神々の荒野 (下)	星野亮	後藤なお	4-8291-1665-X	1063	94-14	380	
200501	富士見ファンタジア文庫	トウヤのホムラ	小泉八束	海苔	4-8291-1679-X	1077	151-1	313	[第16回ファンタジア長編小説大賞＜準入選＞]
200501	富士見ファンタジア文庫	ムーンスペル!!	尼野ゆたか	ひじりるか	4-8291-1680-3	1078	152-1	318	[第16回ファンタジア長編小説大賞＜佳作＞]
200501	富士見ファンタジア文庫	SAKURA-ment　～真夏の桜に約束を～	和井契	さがのあおい	4-8291-1681-1	1079	153-1	315	[第16回ファンタジア長編小説大賞＜最終選考作＞]
200501	富士見ファンタジア文庫	攻撃天使+　～レッドローズ～	高瀬ユウヤ	森田柚花	4-8291-1682-X	1080	133-7	252	
200501	富士見ファンタジア文庫	君の居た昨日、僕の見る明日 2　―FAKE HEART―	榊一郎	狐印	4-8291-1684-6	1082	88-26	357	
200501	富士見ファンタジア文庫	まぶらほ　～ふっかつの巻・にし～	築地俊彦	駒都えーじ	4-8291-1685-4	1083	99-16	306	
200501	角川スニーカー文庫	シェアード・ワールド・ノベルズ　百鬼夜翔　霧が惑う暗夜	友野詳、グループSNE	あるまじろう	4-04-415231-4	13587	52-30	255	
200501	角川スニーカー文庫	トリニティ・ブラッド　Rage Against the Moons VI　アポカリプス・ナウ	吉田直	THORES柴本	4-04-418415-1	13620	84-16	235	
200501	角川スニーカー文庫	放課後退魔録(る)　ワラキズ	岡本賢一	黒星紅白	4-04-425905-4	13623	142-5	311	
200501	角川スニーカー文庫	鬼哭街　紫電掌	虚淵玄 (ニトロプラス)	中央東口	4-04-427809-1	13624	156-9	206	
200501	角川スニーカー文庫	されど罪人は竜と踊る VI　追憶の欠片	浅井ラボ	宮城	4-04-428906-9	13625	165-6	316	
200501	角川スニーカー文庫	シャンク!!ザ・レイトストーリーVol.2	秋田禎信	依澄れい	4-04-429902-1	13626	173-2	286	
200501	ファミ通文庫	ホワイトブレス	蕪木統文	きりがみやび	4-7577-2037-8	481	W3 1-1	247	
200501	ファミ通文庫	偽りの月　ザ・ナイトメア・オブ・ドルアーガ　不思議のダンジョン	手塚一郎	岡崎武士	4-7577-2105-6	480	D7 1-1	249	
200501	ファミ通文庫	カエルと殿下と森の魔女　緑竜亭繁盛記	橘柑子	堤利一郎	4-7577-2130-7	475	た2 1-1	253	[第6回エンターブレインえんため大賞＜優秀賞＞]
200501	ファミ通文庫	渚のロブスター少女	あきさかあさひ	MATSUDA98	4-7577-2131-5	476	あ7 1-1	249	[第6回エンターブレインえんため大賞＜優秀賞＞]
200501	ファミ通文庫	バッドボーイ×バッドガール	卯月勇太	川添かずさ	4-7577-2132-3	477	う2 1-1	248	[第6回エンターブレインえんため大賞＜東放学園特別賞＞]
200501	ファミ通文庫	吉永さん家のガーゴイル 6	田口仙年堂	日向悠二	4-7577-2133-1	478	た1 1-6	249	
200501	ファミ通文庫	アウトロー・アイランド　裏出島でよろしく！	篠崎砂美	ともぞ	4-7577-2134-X	479	し2 2-1	284	
200501	MF文庫J	ぴよぴよキングダム (2)　ときのしおり	木村航	竹岡美穂	4-8401-1207-X		き-01-02	263	
200501	MF文庫J	イコノクラスト！ (2)	榊一郎	OKAMA	4-8401-1208-8		さ-03-02	279	
200501	MF文庫J	夷皇島学園　恋するアンドロイド	すずきあきら	888	4-8401-1209-6		す-01-07	255	
200501	MF文庫J	鳥は鳥であるために 2	野島けんじ	沖史慈宴	4-8401-1210-X		の-02-05	263	
200501	スーパーダッシュ文庫	よくわかる現代魔法　jini使い	桜坂洋	宮下未紀	4-08-630221-7		さ5-5	224	
200501	スーパーダッシュ文庫	ブルー・ハイドレード 転移	海原零	遠藤将之	4-08-630222-5		か6-5	257	
200501	スーパーダッシュ文庫	隣のドッペルさん	砂浦俊一	高橋慶太郎	4-08-630223-3		さ6-1	257	
200501	富士見ミステリー文庫	バクト！	海冬レイジ	vanilla	4-8291-6286-4	186	FM66-01	302	[第4回富士見ヤングミステリー大賞＜大賞＞]
200501	富士見ミステリー文庫	カラっぽの僕に、君はうたう。　フォルマント・ブルー	木ノ歌詠	ミヤスリサ	4-8291-6287-2	187	FM67-01	286	[第4回富士見ヤングミステリー大賞＜佳作＞]
200501	富士見ミステリー文庫	GOSICK IV　―ゴシック・愚者を代弁せよ―	桜庭一樹	武田日向	4-8291-6288-0	188	FM38-07	329	
