発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200701	電撃文庫	シリアスレイジ 5　南溟奇譚 (下)	白川敏行	やすゆき	978-4-8402-3587-7	1378	し-11-5	283	
200701	電撃文庫	とらドラ4！	竹宮ゆゆこ	ヤス	978-4-8402-3681-2	1370	た-20-6	254	
200701	電撃文庫	護くんに女神の祝福を！ (10)	岩田洋季	佐藤利幸	978-4-8402-3682-9	1371	い-5-18	293	
200701	電撃文庫	とある魔術の禁書目録 (12)	鎌池和馬	灰村キヨタカ	978-4-8402-3683-6	1372	か-12-12	279	
200701	電撃文庫	でぃ・えっち・えぃ　そのなな！	ゆうきりん	小宮裕太	978-4-8402-3684-3	1373	ゆ-1-14	290	
200701	電撃文庫	アスラクライン (6)　おしえて生徒会長！	三雲岳斗	和狸ナオ	978-4-8402-3685-0	1374	み-3-21	306	
200701	電撃文庫	骸骨ナイフでジャンプ (3)　カルナバ島の悪魔スパイス	阿智太郎	宮須弥	978-4-8402-3686-7	1375	あ-7-38	262	
200701	電撃文庫	れでぃ×ばと！ (2)	上月司	むにゅう	978-4-8402-3687-4	1376	こ-8-8	243	
200701	電撃文庫	ぼくと魔女式アポカリプス 2　Cradle Elves Type	水瀬葉月	藤原々々	978-4-8402-3688-1	1377	み-7-5	335	
200701	電撃文庫	ゆらゆらと揺れる海の彼方 (7)	近藤信義	えびね	978-4-8402-3689-8	1379	こ-7-7	321	
200701	電撃文庫	あんでっど★ばにすた！	鈴木鈴	かなたろう。	978-4-8402-3690-4	1380	す-5-13	285	
200701	電撃文庫	神様のメモ帳	杉井光	岸田メル	978-4-8402-3691-1	1381	す-9-4	327	
200701	富士見ファンタジア文庫	黄昏色の詠使い　イヴは夜明けに微笑んで	細音啓	竹岡美穂	978-4-8291-1880-1	1278	174-1	316	[第18回ファンタジア長編小説大賞＜佳作＞]
200701	富士見ファンタジア文庫	ロケットガール 3　私と月につきあって	野尻抱介	むっちりむうにぃ	978-4-8291-1882-5	1280	38-23	309	
200701	富士見ファンタジア文庫	マテリアルゴースト 4	葵せきな	てぃんくる	978-4-8291-1888-7	1286	166-4	331	
200701	富士見ファンタジア文庫	太陽戦士サンササン	坂照鉄平	Ein	978-4-8291-1889-4	1287	173-1	316	[第18回ファンタジア長編小説大賞＜準入選＞]
200701	富士見ファンタジア文庫	とりあえず伝説の勇者の伝説 (9)　全力のドロップアウト	鏡貴也	とよた瑣織	978-4-8291-1890-0	1288	111-32	316	
200701	富士見ファンタジア文庫	死神とチョコレート・パフェ 3	花凰神也	夜野みるら	978-4-8291-1891-7	1289	171-3	298	
200701	富士見ファンタジア文庫	鋼殻のレギオス V　エモーショナル・ハウル	雨木シュウスケ	深遊	978-4-8291-1892-4	1290	143-10	270	
200701	富士見ファンタジア文庫	スレイヤーズすぺしゃる (28)　ポーション・スクランブル	神坂一	あらいずみるい	978-4-8291-1893-1	1291	20-54	284	
200701	富士見ファンタジア文庫	まぶらほ　～じょなんの巻・いち～	築地俊彦	駒都えーじ	978-4-8291-1894-8	1292	99-23	291	
200701	富士見ファンタジア文庫	クジラのソラ 02	瀬尾つかさ	菊池政治	978-4-8291-1895-5	1293	159-3	347	
200701	富士見ファンタジア文庫	抗いし者たちの系譜　再始の女王	三浦良	KIRIN	978-4-8291-1896-2	1294	167-4	381	
200701	角川スニーカー文庫	機動戦士ガンダム　MSイグルー 黙示録0079	林譲治	サンライズ	4-04-423208-3	14526	0-70	233	
200701	角川スニーカー文庫	レンタルマギカ　魔法使いのクラスメイト	三田誠	pako	4-04-424914-8	14530	177-9	254	
200701	角川スニーカー文庫	BLOOD+ 03　ボーイ・ミーツ・ガール	池端亮　原作：Production I.G、Aniplex	箸井地図	4-04-425407-9	14527	137-33	443	
200701	角川スニーカー文庫	斬魔大聖デモンベイン　ド・マリニーの時計	古橋秀之　原作：鋼屋ジン (Nitroplus)	Niθ	4-04-427815-6	14528	156-14	237	
200701	角川スニーカー文庫	Add　機械の恋歌	仁木健	椋本夏夜	4-04-429511-5	14529	171-11	312	
200701	角川スニーカー文庫	神様ゲーム 5　カミハナミダヲサガスベキ？	宮崎柊羽	七草	4-04-471406-1	14532	188-6	456	
200701	角川スニーカー文庫	アンダカの怪造学 V　嘘つき魔女の見つめる未来	日日日	エナミカツミ	4-04-481005-2	14531	185-5	459	
200701	ファミ通文庫	ガーゴイルおるたなてぃぶ 2	田口仙年堂	日向悠二	978-4-7577-3325-1	657	た1 3-2	283	
200701	ファミ通文庫	私のKnightになってよネ！ 3	佐藤了	石田あきら	978-4-7577-3326-8	658	さ5 1-3	315	
200701	ファミ通文庫	108年目の初恋。	末永外徒	とりしも	978-4-7577-3327-5	659	す2 1-1	283	[第8回エンターブレインえんため大賞＜優秀賞＞]
