発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199101	富士見ファンタジア文庫	羅刹王 3　不動の章	六道慧	高田明美	4-8291-2387-7	87	10-8	314	
199101	角川スニーカー文庫	神々の血脈　第9話 日本崩壊	西谷史	小林誠	4-04-410409-3	8135	4-9	203	
199101	角川スニーカー文庫	紅の戦士たち　ガデュリン〈愛・放浪編〉 2	羅門祐人	米田仁士	4-04-411205-3	8136	12-5	273	
199101	角川スニーカー文庫	エジプト天魔団の秘法　AOIウォーズ	大野木寛	細野不二彦	4-04-411403-X	8137	14-3	256	
199101	角川スニーカー文庫	わたしの勇者さま 前	とまとあき、塚本裕美子	伊東岳彦	4-04-412101-X	8003	21-1	224	
199101	角川スニーカー文庫	わたしの勇者さま 後	とまとあき、塚本裕美子	伊東岳彦	4-04-412102-8	8066	21-2	224	
199101	角川スニーカー文庫	ソーサリアン創世記	松枝蔵人	米田仁士	4-04-460309-X	8139	603-9	332	
199101	ソノラマ文庫	インプリンティングの妙薬	高井信	浅里道晴	4-257-76539-9	539	た 8- 1	238	
199101	ソノラマ文庫	第二の太陽へ	横田順彌	米田仁士	4-257-76544-5	544	よ 1- 3	315	
199101	ソノラマ文庫	トラブル・ガール×２　トライアングル・ディテクティブ 1	鴉紋洋	なかどくにひこ	4-257-76546-1	546	あ 3- 4	276	
199101	ネオファンタジー文庫	邪竜幻紀	新田一実	加藤俊章	4-8033-3183-9	1050		254	
199101	ネオファンタジー文庫	多元時空シリーズ 1　平安京作戦	吉岡平	西川伸司	4-8033-3184-7	1051		235	
199101	ソノラマノベルス	魔犬街道　ノーザン・トレイル 1	朝松健		4-257-01017-7			221	
199101	ソノラマノベルス	軌道戦線	水城雄		4-257-01018-5			229	
199101	ソノラマノベルス	魔王降臨　魔界ハンター 1	友成純一		4-257-01019-3			237	
199101	コバルト文庫	なんて素敵にジャパネスク 7　〈逆襲編〉	氷室冴子	峯村良子	4-08-611490-9		ひ1-30	195	
199101	コバルト文庫	なんて素敵にジャパネスク 8　〈炎上編〉	氷室冴子	峯村良子	4-08-611491-7		ひ1-31	225	
199101	コバルト文庫	新　花織高校恋愛サスペンス　一度だけセレナーデ	藤本ひとみ	さいとうちほ	4-08-611492-5		ふ1-41	241	
199101	コバルト文庫	鏡の中のれもん (7)	久美沙織	もとなおこ	4-08-611493-3		く1-39	207	
199101	コバルト文庫	赤い靴探偵団 9　危ない日曜日	田中雅美	たかのちはる	4-08-611494-1		た1-38	225	
199101	コバルト文庫	あの夏に逢おうね　天使のカノン 4	倉本由布	槇夢民	4-08-611495-X		く2-17	216	
199101	コバルト文庫	シェイクダンスを踊れ	山本文緒	河南ゆら	4-08-611496-8		や3-12	230	
