発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199901	電撃文庫	VISITOR	立花薫　監修：伊藤和典	高田明美	4-07-310769-0	0315	た-8-1	323	
199901	電撃文庫	聖痕のジョカ <上>　光の章	関口準、ひらりん	相川有	4-07-310775-5	0317	せ-1-1	193	
199901	電撃文庫	やみなべの陰謀	田中哲弥	此路あゆみ	4-07-310781-X	0316	た-1-4	260	
199901	電撃文庫	狂科学ハンターREI (5)　エディソンの交信機	中里融司	小畑健	4-07-310798-4	0313	な-2-7	287	
199901	電撃文庫	新フォーチュン・クエスト　リプレイ (4)　雪狼と氷の娘	深沢美潮、はせがわみやび	迎夏生、美鈴秋	4-07-310806-9	0312	ふ-1-14	237	
199901	電撃G's文庫	聖ルミナス女学院 (2)	高城響　原案:寺田憲史	青野厚司	4-07-310812-3	0314	A21-02	233	
199901	富士見ファンタジア文庫	必殺 お捜し人 8　虹色の財宝	小林めぐみ	ひさいちよしき	4-8291-2861-5	561	30-17	241	
199901	富士見ファンタジア文庫	魔術士オーフェン・無謀編 (7)　一生ひとりで遊んでろ！	秋田禎信	草河遊也	4-8291-2862-3	562	40-20	257	
199901	富士見ファンタジア文庫	ザ・サード　蒼い瞳の刀使い	星野亮	後藤なお	4-8291-2863-1	563	94-1	328	[第10回ファンタジア長編小説大賞＜準入選＞]
199901	富士見ファンタジア文庫	退魔師鬼十郎　宝珠、紅に染まるとき	市川丈夫	結城信輝	4-8291-2865-8	565	97-1	357	[第10回ファンタジア長編小説大賞＜準入選＞]
199901	富士見ファンタジア文庫	ブートレガーズ　神仙酒コンチェルト	字野耕平	有田満弘	4-8291-2866-6	566	96-1	366	[第9回ファンタジア長編小説大賞＜最終選考作＞]
199901	角川スニーカー文庫	九大陸物語　(2) 風の島	ひかわ玲子	出渕裕	4-04-412209-1	10870	22-9	226	
199901	角川スニーカー文庫	流れゆく河のように 上	冴木忍	ひたきかなこ	4-04-413817-6	10903	38-17	209	
199901	角川スニーカー文庫	ラグナロク 3　銀の深淵	安井健太郎	TASA	4-04-419203-0	10905	92-3	316	
199901	ファミ通文庫	トレジャーシーカーS&M　アマゾンの聖石	西谷史	啄木鳥しんき	4-7572-0325-X	29	に1 1-1	249	
199901	ファミ通文庫	御神楽少女探偵団 その二　地獄蝶	大林憲司	小林明美	4-7572-0326-8	30	M3 1-2	223	
199901	ファミ通文庫	トゥルーラブストーリー2　一学期 いつか見た星空に……	玉井豪	松田浩二、森田屋すひろ	4-7577-1119-0	28	T3 2-1	221	元ISBN4-7572-0324-1
199901	ソノラマ文庫	怒る大誘拐　レイカ地球防衛ファイル	青山智樹	赤石沢貴士	4-257-76863-0	863	あ 8- 2	239	
199901	ソノラマ文庫	斬魔京都変	石田一	橋本正枝	4-257-76864-9	864	い 7- 1	295	
199901	ソノラマ文庫NEXT	ライトジーンの遺産 上	神林長平	野中昇	4-257-17335-1	5	か 1- 1	375	
199901	ソノラマ文庫NEXT	ライトジーンの遺産 下	神林長平	野中昇	4-257-17336-X	6	か 1- 2	263	
199901	スーパーファンタジー文庫	悪魔の花嫁　こちらエルフ探偵社	丘野ゆうじ	上田信舟	4-08-613332-6		お1-33	279	
199901	スーパーファンタジー文庫	暗夜鬼譚　空蝉挽歌 <五>	瀬川貴次	華不魅	4-08-613333-4		せ1-28	219	
199901	スーパーファンタジー文庫	月光の美獣　ハルマゲドンバスターズ	嬉野秋彦	KIRIN	4-08-613334-2		う1-8	270	
199901	スーパークエスト文庫	魔術戦士 VOL.3　牧神召喚	朝松健	末弥純	4-09-440523-2		あ1-10	251	
199901	スーパークエスト文庫	こうもり城へようこそ！	甲斐甲賀	河内実加	4-09-440651-4		か5-1	254	
199901	C★NOVELS ファンタジア	帝都探偵物語 (2)　闇を呼ぶ人狼	赤城毅	鈴木雅久	4-12-500574-5		あ2-5	235	
199901	コバルト文庫	ハイスクール・オーラバスター　烈光の女神 3	若木未生	高河ゆん	4-08-614527-8		わ1-28	202	
199901	コバルト文庫	炎の蜃気楼 (27)　怨讐の門　黄壌編	桑原水菜	浜田翔子	4-08-614538-3		く5-36	249	
199901	コバルト文庫	月下廃園	前田珠子	江ノ本瞳	4-08-614539-1		ま2-43	203	
199901	コバルト文庫	龍は濡れ濡つ	真堂樹	浅見侑	4-08-614540-5		し8-20	236	
199901	コバルト文庫	ちょー海賊	野梨原花南	宮城とおこ	4-08-614541-3		の3-7	195	
199901	コバルト文庫	新世界　剣をいだく傭兵と血に染まる王城	本沢みなみ	高星麻子	4-08-614542-1		ほ3-11	226	
199901	コバルト文庫	夜行街 (2)　熱帯夜	石堂まゆ	石堂まゆ	4-08-614543-X		い4-2	222	
199901	コバルト文庫	華の名前	朝香祥	桑原祐子	4-08-614544-8		あ11-11	281	
199901	コバルト文庫	姫神さまに願いを　～浪の下の都～	藤原眞莉	鳴海ゆき	4-08-614545-6		ふ6-16	236	
199901	コバルト文庫	英国少年園　イングリッシュ・ボーイズ	久和まり	綾坂美江	4-08-614546-4		く7-2	204	
199901	コバルト文庫	夢少女は［スペード］迷宮	山浦弘靖	若松みどり	4-08-614547-2		や1-71	267	
199901	コバルト文庫	図書館戦隊ビブリオン 2	小松由加子	たつねこ	4-08-614548-0		こ10-3	230	
199901	X文庫ホワイトハート	不器用なキス	和泉桂	あじみね朔生	4-06-255385-6		いD-06	275	
199901	X文庫ホワイトハート	狼だって怖くない　無敵なぼくら	成田空子	こうじま奈月	4-06-255386-4		なC-02	237	
199901	X文庫ホワイトハート	眠れぬ夜のために	月夜の珈琲館	月夜の珈琲館	4-06-255387-2		つB-06	236	
199901	X文庫ホワイトハート	見つめる眼　真・霊感探偵倶楽部	新田一実	笠井あゆみ	4-06-255388-0		にA-25	262	
199901	X文庫ホワイトハート	この貧しき地上に	篠田真由美	秋月杏子	4-06-255389-9		しB-01	236	
199901	X文庫ティーンズハート	アナトゥール星伝 10　虹色の外伝	折原みと	折原みと	4-06-199807-2		お1-34	215	
199901	X文庫ティーンズハート	至上最強の恋愛　LEVLE 4 果保／中2／13歳	小林深雪	牧村久実	4-06-199812-9		こ2-58	195	
199901	X文庫ティーンズハート	エール	高橋ななを	美咲さくや	4-06-199814-5		た5-3	233	
199901	X文庫ティーンズハート	お金の国のアリス	中原涼	かやまゆみ	4-06-199815-3		な1-11	232	
199901	パレット文庫	僕らのクラス・リング物語	七海花音	かんべあきら	4-09-420620-5		な3-19	197	
199901	パレット文庫	バスルームの人魚姫	松岡なつき	鳥羽笙子	4-09-420855-0		ま1-5	203	
199901	パレット文庫	僕達の地球光　泉君シリーズ (5)	あさぎり夕	あさぎり夕	4-09-421045-8		あ6-27	203	
199901	パレット文庫	卒業M+ (4)	有栖川ケイ	西臣匡子	4-09-421054-7		あ12-4	221	
199901	パレット文庫	追憶のマリア	前田栄	藤たまき	4-09-421093-8		ま2-3	201	
199901	パレット文庫	月光小夜曲　月光荘綺談	冬城蒼生	蔵王大志	4-09-421121-7		ふ2-11	202	
199901	キャンバス文庫	クリセニアン年代記 (15)　千の暁の彼方に	ひかわ玲子	おおや和美	4-09-430385-5		ひ1-15	233	
199901	キャンバス文庫	本日、万屋千客万来　万屋　富樫城太郎 (3)	新田一実	山村路	4-09-430407-X		に1-27	247	
199901	キャンバス文庫	雪華鬼呪異聞	和住夏央	やぎざわ梨穂	4-09-430551-3		か4-1	251	
199901	ウィングス・ノヴェルス	天界樹夢語り 6　幻想迷宮	麻城ゆう	道原かつみ	4-403-64064-8			258	
199902	電撃文庫	NANIWA鎮魂記　レクイエム	栗府二郎	藤岡建機	4-07-310901-4	0325	く-1-3	259	
199902	電撃文庫	学園武芸帳 「月に笑く」	白井信隆	小笠原宇紀	4-07-310918-9	0319	し-6-1	280	[第5回電撃ゲーム小説大賞＜金賞＞]
199902	電撃文庫	ハンドレッド　ハヴェスタ	土門弘幸	岩堀大輔	4-07-310924-3	0322	と-3-9	335	
199902	電撃文庫	ア・リトル・ドラゴン (4)　ドラッピーたち、船に乗る	中村うさぎ	上田宏	4-07-310930-8	0324	な-1-13	223	
199902	電撃文庫	僕の血を吸わないで (4)　しとしとぴっちゃん	阿智太郎	宮須弥	4-8402-1087-X	0320	あ-7-4	298	
199902	電撃文庫	ブギーポップ・オーバードライブ　歪曲王	上遠野浩平	緒方剛志	4-8402-1088-8	0321	か-7-5	321	
199902	電撃文庫	都市シリーズ　奏(騒)楽都市OSAKA <上>	川上稔	さとやす	4-8402-1089-6	0323	か-5-5	385	
199902	電撃文庫	コールド・ゲヘナ	三雲岳斗	きがわ琳	4-8402-1094-2	0318	み-3-1	216	[第5回電撃ゲーム小説大賞＜銀賞＞]
199902	富士見ファンタジア文庫	魔法戦士リウイ 2	水野良	横田守	4-8291-2867-4	567	100-2	206	
199902	富士見ファンタジア文庫	SHADOW SKILL APOCRYPHA　－影技－外典 (2)　“ETENDERD”	富永浩史　原作：岡田芽武	岡田芽武	4-8291-2868-2	568	57-4	174	
199902	富士見ファンタジア文庫	狗狼伝承　転輪少女・サヤカ	新城カズマ	介錯	4-8291-2869-0	569	77-3	343	
199902	角川スニーカー文庫	流れゆく河のように 下	冴木忍	ひたきかなこ	4-04-413818-4	10935	38-18	216	
199902	角川スニーカー文庫	クロックワーク 2　ぶれいくだうん・いのせんす	山本剛	かねこしんや	4-04-415608-5	10788	56-8	200	
199902	角川スニーカー文庫	ラングリッサー V　ジエンドオブレジェンド (下)	紙井中	うるし原智志	4-04-415908-4	10937	59-8	223	
199902	角川スニーカー文庫	快刀乱麻雅　大江戸鬼騒動	伊豆平成	中西修史	4-04-419601-X	10938	95-1	222	
199902	ファミ通文庫	メタリックエンジェル [II]　鉄氷の戦姫神	中里融司	宮越和草	4-7572-0328-4	45	な1 1-2	253	
199902	ファミ通文庫	幕末浪漫 月華の剣士 [上]　青龍変生	嬉野秋彦	戸橋ことみ	4-7572-0331-4	47	G1 1-1	217	
199902	ファミ通文庫	幕末浪漫 月華の剣士 [下]　朱雀堕天	嬉野秋彦	戸橋ことみ	4-7572-0332-2	48	G1 1-2	216	
199902	ファミ通文庫	真・女神転生<KAHN>　虚飾の楽園 下	蕪木統文	柳澤一明	4-7572-0334-9	50	M4 2-2	251	
199902	ファミ通文庫	テイルズ オブ ファンタジア　はるかなる時空 [下]	矢島さら	松竹徳幸	4-7577-0116-0	27	T1 2-2	211	元ISBN4-7572-0323-3
199902	ファミ通文庫	放課後宇宙戦争 2　太陽系不正規艦隊	秋津透	むっちりむうにぃ	4-7577-1120-4	49	あ1 1-2	251	元ISBN4-7572-0333-0
199902	ファミ通文庫	トゥルーラブストーリー2　二学期 あの日の君でいて	玉井豪	松田浩二、森田屋すひろ	4-7577-1121-2	46	T3 2-2	215	元ISBN4-7572-0330-6
199902	ソノラマ文庫	大江戸爆裂攻防記　虚船 2	松浦秀昭	いのまたむつみ	4-257-76865-7	865	ま 5- 2	367	
199902	ソノラマ文庫	アプサラス～神の逆鉾～ #2	吉岡平	上野かおり	4-257-76868-1	868	よ 2-17	295	
199902	ソノラマ文庫NEXT	サラマンダー殲滅 上	梶尾真治	丹野忍	4-257-17337-8	7	か 2- 1	422	
199902	ソノラマ文庫NEXT	サラマンダー殲滅 下	梶尾真治	丹野忍	4-257-17338-6	8	か 2- 2	430	
199902	スーパーファンタジー文庫	カナリア・ファイル 6　黒耳天女	毛利志生子	潮見知佳	4-08-613335-0		も2-6	252	
199902	スーパーファンタジー文庫	冥界武侠譚　美姫幻戯	立原とうや	紗月輪	4-08-613336-9		た5-10	271	
199902	スーパーファンタジー文庫	キャプテン・ラスト　サイケデリック・レスキュー	一条理希	杉崎ゆきる	4-08-613337-7		い2-6	294	
199902	スーパーファンタジー文庫	OUTLAW STAR　銀河の竜脈編 (下)	千葉克彦　原作：伊藤岳彦、矢立肇	斎藤卓也	4-08-613338-5		ち1-2	256	
199902	C★NOVELS ファンタジア	皇国の守護者 3　灰になっても	佐藤大輔	塩山紀生	4-12-500542-7		さ2-3	221	
199902	C★NOVELS ファンタジア	聖刻群竜伝 4　西方大陸篇	千葉暁	藤井英俊	4-12-500577-X		ち1-8	202	
199902	コバルト文庫	竜の眠る海　虚飾の檻　後編	金蓮花	珠黎皐夕	4-08-614549-9		き6-24	225	
199902	コバルト文庫	キル・ゾーン　来たれ、壊滅の夜よ	須賀しのぶ	梶原にき	4-08-614550-2		す5-22	284	
199902	コバルト文庫	東京S黄尾探偵団　少女たちは十字架を背負う	響野夏菜	藤馬かおり	4-08-614551-0		ひ5-32	294	
199902	コバルト文庫	きっと信じてる　～安土夢紀行～	倉本由布	あいざわ遥	4-08-614552-9		く2-50	227	
199902	コバルト文庫	有閑探偵コラリーとフェリックスの冒険　王国、売ります！	橘香いくの	四位広猫	4-08-614553-7		た14-9	295	
199902	コバルト文庫	マリア様がみてる　黄薔薇革命	今野緒雪	ひびき玲音	4-08-614554-5		こ7-18	215	
199902	コバルト文庫	薔薇の十字架　バベルの天使	さいきなおこ	さいきなおこ	4-08-614555-3		さ6-20	298	
199902	コバルト文庫	蒼のラプソディ	花衣沙久羅	禾田みちる	4-08-614556-1		か8-7	233	
199902	コバルト文庫	卒業までの二人	あさぎり夕	あさぎり夕	4-08-614557-X		あ13-7	281	
199902	コバルト文庫	LIE	榊原和希	広瀬貴也	4-08-614558-8		さ8-2	248	
199902	X文庫ホワイトハート	光と影のトラキア　アレクサンドロス伝奇 (4)	榛名しおり	池上沙京	4-06-255390-2		はD-07	363	
199902	X文庫ホワイトハート	魔界門の羅刹　電影戦線 (6)	流星香	片山悠	4-06-255391-0		なB-30	386	
199902	X文庫ホワイトハート	もっとずっとそばにいて	新堂奈槻	麻々原絵里依	4-06-255392-9		しA-04	249	
199902	X文庫ホワイトハート	裏切りの聖女　足のない獅子	駒崎優	岩崎美奈子	4-06-255394-5		こB-03	238	
199902	X文庫ホワイトハート	夢幻調伏　斎姫異聞	宮乃崎桜子	浅見侑	4-06-255395-3		みF-04	249	
199902	X文庫ティーンズハート	謎のバレンタインでつかまえて	秋野ひとみ	赤羽みちえ	4-06-199816-1		あ1-24	265	
199902	X文庫ティーンズハート	ヤマタイ国幽霊事件	風見潤	かやまゆみ	4-06-199817-X		か2-45	297	
199902	X文庫ティーンズハート	まぼろしの龍神伝説　神霊女学院	立花薫	岩瀬昌嗣	4-06-199818-8		た6-4	298	
199902	X文庫ティーンズハート	《隠者》は影に　真・運命のタロット（7）	皆川ゆか	乱魔猫吉	4-06-199819-6		み1-20	444	
199902	X文庫ティーンズハート	遥か海の彼方からサヨナラの汽笛が聞こえる（上）	ゆうきみすず	河内実加	4-06-199820-X		ゆ2-10	216	
199902	パレット文庫	ふしぎ遊戯 外伝 (3)　雪夜叉伝	西崎めぐみ　原作：渡瀬悠宇	渡瀬悠宇	4-09-420775-9		に1-15	200	
