発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198001	ソノラマ文庫	ポンコツロボット太平記	石川英輔	畑田国男	4-257-76148-2	148	3-G	220	
198001	ソノラマ文庫	戦国少年隊	夏文彦	黒田征太郎	4-257-76149-0	149	38-C	281	
198001	コバルト文庫	新・おさな妻	富島健夫		4-08-610321-4		001-AZ		
198001	コバルト文庫	あなたの詩わたしの詩Ｉ　愛をみつけたときに	内山登美子		4-08-610322-2		064-B	302	
198001	コバルト文庫	心さわぐ青春のとき	諸星澄子		4-08-610323-0		020-G		
198001	コバルト文庫	青春おちこぼれ賛歌	上条逸雄		4-08-610324-9		013-E		
198001	コバルト文庫	愛一年ののち	桐村杏子		4-08-610325-7		012-G		
198001	コバルト文庫	海外ロマンチックSF傑作選 1　魔女も恋をする	編：風見潤		4-08-610326-5		067-A		
198002	ソノラマ文庫	ピーマン特攻指令	加納一朗	祐天寺三郎	4-257-76150-4	150	か 1-14	250	
198002	ソノラマ文庫	太陽神の剣士タケル	宮崎惇	窪詔之	4-257-76151-2	151	47-C	254	
198002	コバルト文庫	愛は透明なかがやき	佐伯千秋		4-08-610327-3		002-AI		
198002	コバルト文庫	真昼の星座	吉田とし		4-08-610328-1		003-T		
198002	コバルト文庫	青春問題小説　大人はわかってくれない	藤木靖子		4-08-610329-X		011-K	211	
198002	コバルト文庫	雪の恋歌	三木澄子		4-08-610330-3		004-R		
198002	コバルト文庫	初恋一直線	赤松光夫		4-08-610331-1		010-Q		
198002	コバルト文庫	海外ロマンチックSF傑作選 2　たんぽぽ娘	編：風見潤		4-08-610332-X		067-B		
198003	ソノラマ文庫	ポンコツUFO同乗記	石川英輔	畑田国男	4-257-76152-0	152	3-H	222	
198003	ソノラマ文庫	TVアニメ殺人事件	辻真先	畑農照雄	4-257-76153-9	153	つ 1-10	318	
198003	コバルト文庫	幽霊から愛をこめて	赤川次郎	長尾治	4-08-610333-8		068-A	275	
198003	コバルト文庫	白球よ輝け！	若桜木虔		4-08-610334-6		049-I		
198003	コバルト文庫	自由なる青春 (上)	富島健夫		4-08-610335-4		001-BA		
198003	コバルト文庫	自由なる青春 (下)	富島健夫		4-08-610336-2		001-BB		
198003	コバルト文庫	海におちる雪	名木田恵子		4-08-610337-0		054-D		
198003	コバルト文庫	遠い声遠い海	上条由紀		4-08-610338-9		019-G		
198004	ソノラマ文庫	幻の四重奏	赤川次郎	依光隆	4-257-76154-7	154	あ 5-3	285	
198004	ソノラマ文庫	絶滅星群の伝説	清水義範	加藤直之	4-257-76155-5	155	20-G	251	
198004	コバルト文庫	詩がささえたある　青春の記憶　おかあさん　命をありがとう	編：檜野里夫		4-08-610339-7		069-A		
198004	コバルト文庫	THE GROUPIE　ザ・グルーピー	吹上流一郎		4-08-610340-0		053-D		
198004	コバルト文庫	宇宙空母ブルーノア 1　若き獅子たちの誕生	若桜木虔		4-08-610341-9		049-J		
198004	コバルト文庫	クララ白書	氷室冴子	原田治	4-08-610342-7		052-C	249	
198004	コバルト文庫	優しい予感	南英男		4-08-610343-5		043-F		
198004	コバルト文庫	潮風を待つ少女	佐伯千秋		4-08-610344-3		002-AJ		
198005	ソノラマ文庫	名探偵は九回裏に謎を解く	戸松淳矩	千葉督太郎	4-257-76156-3	156	32-B	286	
198005	ソノラマ文庫	エスパー・オートバイ対ベム	塩谷隆志	祐天寺三郎	4-257-76157-1	157	19-C	220	
198005	コバルト文庫	火の鳥2772　愛のコスモゾーン 1	杉山卓　原作：手塚治虫		4-08-610345-1		070-A		
198005	コバルト文庫	トウキョウベイ・ブルース	片岡義男		4-08-610346-X		050-C		
198005	コバルト文庫	バラの旋律	井上明子		4-08-610347-8		035-C		
198005	コバルト文庫	ひろみのトリップ	前中行至		4-08-610348-6		071-A		
198005	コバルト文庫	ことばの花束　愛・青春・人生	編：清川妙		4-08-610349-4		007-P		
198005	コバルト文庫	宇宙空母ブルーノア 2　人工惑星ゴドムとの対決	若桜木虔		4-08-610350-8		049-K		
198006	ソノラマ文庫	怪獣大陸	今日泊亜蘭	金森達	4-257-76158-X	158	12-B	222	
198006	コバルト文庫	青春海流	富島健夫		4-08-610351-6		001-BC		
198006	コバルト文庫	コバルトブルーの詩	吉田とし		4-08-610352-4		003-U		
198006	コバルト文庫	熱愛	三木澄子		4-08-610353-2		004-S		
198006	コバルト文庫	メーテルリンクの青い鳥	藤川桂介		4-08-610354-0		072-A		
198006	コバルト文庫	17歳・愛と孤独の遺書　遠い星からの手紙	草鹿宏		4-08-610355-9		027-H		
198006	コバルト文庫	火の鳥2772　愛のコスモゾーン 2	杉山卓　原作：手塚治虫		4-08-610356-7		070-B		
198007	ソノラマ文庫	学園魔女戦争	宮崎惇	中村宏	4-257-76159-8	159	47-D	222	
198007	ソノラマ文庫	邪神惑星一九九七年　クトゥール・オペラ (1)	風見潤	中村銀子	4-257-76160-1	160	6-I	220	
198007	コバルト文庫	愛の体験ドキュメント　Good-By　My Love	藤木靖子		4-08-610357-5		011-L		
198007	コバルト文庫	恋のイソップ　出会いと別れ　愛の86章	山口洋子		4-08-610358-3		073-A		
198007	コバルト文庫	青春映画グラフィティ　スクリーンにみる愛のかたち	編：名田貴好		4-08-610359-1		074-A		
198007	コバルト文庫	恋人たちの夜明け	上条由紀		4-08-610360-5		019-H		
198007	コバルト文庫	いつか微笑みかけて	桐村杏子		4-08-610361-3		012-H		
198007	コバルト文庫	いつか猫になる日まで	新井素子	長尾治	4-08-610362-1		075-A	259	
198008	ソノラマ文庫	人工生命体ドンドン	加納一朗	祐天寺三郎	4-257-76161-X	161	8-O	254	
198008	ソノラマ文庫	時の影	鳥海永行	山野辺進	4-257-76162-8	162	35-B	250	
198008	コバルト文庫	ヤマトよ永遠に	若桜木虔　原案：西崎義展		4-08-610363-X		049-L		
198008	コバルト文庫	詩集：ラブ・スニーカー	藤公之介		4-08-610364-8		060-C		
198008	コバルト文庫	夏の花	加藤建亜		4-08-610365-6		076-A		
198008	コバルト文庫	青春をゆたかに生きるために　愛と性のセミナー	奈良林祥		4-08-610366-4		046-B		
198008	コバルト文庫	ＳＦファンタジー　オットーと魔術師	山尾悠子		4-08-610367-2		077-A		
198008	コバルト文庫	汚れちまった愛　ある非行少女の日記	南英男		4-08-610368-0		043-G		
198009	ソノラマ文庫	謎の戦乱惑星ラア　マッドボーイ (1)	辻真先	畑農照雄	4-257-76163-6	163	29-S	218	
198009	ソノラマ文庫	機動戦士ガンダム II	富野喜幸	大河原邦男	4-257-76164-4	164	と 1- 2	252	
198009	コバルト文庫	ドキュメント17歳・愛といのちの日記　友子は死なない	木村友子　編：島村敬一		4-08-610369-9		039-C		
198009	コバルト文庫	赤い十字路	佐伯千秋		4-08-610370-2		002-AK		
198009	コバルト文庫	愛と誘惑の季節	柳川創造		4-08-610371-0		022-G		
198009	コバルト文庫	麦ちゃんのヰタ・セクスアリス 1	立原あゆみ		4-08-610372-9		078-A	233	
198009	コバルト文庫	麦ちゃんのヰタ・セクスアリス 2	立原あゆみ		4-08-610373-7		078-B		
198009	コバルト文庫	海外ロマンチックSF傑作選 3　見えない友だち34人+1	編：風見潤		4-08-610374-5		067-C		
198010	ソノラマ文庫	極光戦線	吉津實	城ノ内あずま	4-257-76165-2	165	11-E	218	
198010	コバルト文庫	純愛時代（下）	富島健夫		4-08-610375-3		001-BE		
198010	コバルト文庫	純愛時代（上）	富島健夫		4-08-610376-1		001-BD		
198010	コバルト文庫	ふたりの恋人	赤川次郎	佐藤貞夫	4-08-610377-X		068-B	233	
198010	コバルト文庫	さよならの日々	飯田智		4-08-610378-8		024-C		
198010	コバルト文庫	テレパス少女	中尾明		4-08-610379-6		079-A		
198010	コバルト文庫	タイム・ドカン　抱筒時空之抜穴	杉山卓		4-08-610380-X		070-C		
198011	ソノラマ文庫	楽園宇宙の伝説	清水義範	加藤直之	4-257-76166-0	166	20-H	218	
198011	ソノラマ文庫	地球へ…	藤川桂介　原作：竹宮恵子	竹宮恵子	4-257-76167-9	167	84-B	314	
198011	ソノラマ文庫	白い女神の復讐　スペース・レインジャー (1)	仁賀克雄	宮本貞雄	4-257-76168-7	168	21-E	220	
198011	ソノラマ文庫	パラレル・ワールドの反乱	塩谷隆志	祐天寺三郎	4-257-76169-5	169	19-J	218	
198011	コバルト文庫	愛の西洋占星術　星たちからのメッセージ	ルネ・ヴァンタール・ワタナベ		4-08-610381-8		080-A		
198011	コバルト文庫	霧の中の館	吉田とし		4-08-610382-6		003-V		
198011	コバルト文庫	ホットドッグ・ドリーム	田中雅美	杉村ひろみ	4-08-610383-4		081-A		
198011	コバルト文庫	レポート：ヤング・ラブ＆セックス　ほんとの愛がほしい	編：赤松光夫		4-08-610384-2		010-R		
198011	コバルト文庫	蜃気楼の少女	川又千秋		4-08-610385-0		082-A		
198011	コバルト文庫	海外青春問題小説　キャサリンの愛の日	ジュディ・ブルーム　訳：島村敬一		4-08-610386-9		083-B		
198012	ソノラマ文庫	地底の黒い神　クトゥルー・オペラ (2)	風見潤	中村銀子	4-257-76170-9	170	6-J	217	
198012	コバルト文庫	青春音楽グラフィティ　スーパースターのライフストーリーと名盤ガイド	編：名田貴好、橋倉正信		4-08-610387-7		074-B		
198012	コバルト文庫	ランナウェイ・ガール	南英男		4-08-610388-5		043-H		
198012	コバルト文庫	クララ白書　ぱーと II	氷室冴子	原田治	4-08-610389-3		052-D	249	
198012	コバルト文庫	きらきら星のジッタ	夢枕獏		4-08-610390-7		058-B		
198012	コバルト文庫	津和野の恋	上条由紀		4-08-610391-5		019-I		
198012	コバルト文庫	ちゃっかり青春	上田しげし		4-08-610392-3		044-D		
