発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
201101	電撃文庫	ブギーポップ・アンノウン　壊れかけのムーンライト	上遠野浩平	緒方剛志	978-4-04-870122-8	2064	か-7-26	281	
201101	電撃文庫	オオカミさんと亮士くんとたくさんの仲間たち	沖田雅	うなじ	978-4-04-870130-3	2063	お-8-18	340	
201101	電撃文庫	ほうかご百物語 あんこーる	峰守ひろかず	京極しん	978-4-04-870178-5	2065	み-12-10	321	
201101	電撃文庫	竜と勇者と可愛げのない私 3	志村一矢	ぎん太	978-4-04-870179-2	2071	し-7-22	299	
201101	電撃文庫	なれる！SE 3　失敗しない？提案活動	夏海公司	Ixy	978-4-04-870181-5	2069	な-12-8	295	
201101	電撃文庫	～覚醒遺伝子～　時かける翼	中村一	refeia	978-4-04-870182-2	2070	な-14-3	303	
201101	電撃文庫	おまえなんぞに娘はやれん	丸山英人	月神るな	978-4-04-870183-9	2072	ま-10-5	285	
201101	電撃文庫	Baby Princess (6)	公野櫻子	みぶなつき、若月さな	978-4-04-870184-6	2073	き-3-10	227	
201101	電撃文庫	嘘つきみーくんと壊れたまーちゃん 10　終わりの終わりは始まり	入間人間	左	978-4-04-870230-0	2060	い-9-19	209	
201101	電撃文庫	レイヤード・サマー	上月司	さくらねこ	978-4-04-870231-7	2061	こ-8-18	419	
201101	電撃文庫	神と奴隷の誕生構文 III	宇野朴人	きくらげ	978-4-04-870232-4	2062	う-4-3	312	
201101	電撃文庫	煉獄姫 二幕	藤原祐	kaya8	978-4-04-870236-2	2066	ふ-7-24	302	
201101	電撃文庫	輪環の魔導師 8　永き神々の不在	渡瀬草一郎	碧風羽	978-4-04-870237-9	2067	わ-4-32	281	
201101	富士見ファンタジア文庫	魔法戦士リウイ ファーラムの剣　煙火の島の魔法戦士	水野良	横田守	978-4-8291-3537-2	1679	み-1 3-7	197	
201101	富士見ファンタジア文庫	ダブルクロス 02　セカンド＋ミッシング	矢野俊策	森井しづき	978-4-8291-3549-5	1691	や-4 2-2	380	
201101	富士見ファンタジア文庫	鍵開けキリエと封緘師　そして世界の開く音	池田朝佳	さんば挿	978-4-8291-3602-7	1744	い-4 1-3	250	
201101	富士見ファンタジア文庫	いつか天魔の黒ウサギ 7　二学期でさよなら	鏡貴也	榎宮祐	978-4-8291-3603-4	1745	か-4 5-7	297	
201101	富士見ファンタジア文庫	カナクのキセキ 1	上総朋大	さらちよみ	978-4-8291-3604-1	1746	か-9 1-1	302	[第22回ファンタジア大賞＜金賞＞]
201101	富士見ファンタジア文庫	これはゾンビですか？ 7　はーい、眠れるチチです	木村心一	こぶいち、むりりん	978-4-8291-3605-8	1747	き-3 1-7	283	
201101	富士見ファンタジア文庫	紅のトリニティ 2	椎名蓮月	水月悠	978-4-8291-3606-5	1748	し-2 1-2	300	
201101	富士見ファンタジア文庫	乱☆恋 2　婚約者は16人!?	舞阪洸	得能正太郎	978-4-8291-3608-9	1750	ま-1 2-2	284	
201101	富士見ファンタジア文庫	ヘルカム！　地獄って、ステキだと思いませんか？	八奈川景晶	ななせめるち	978-4-8291-3609-6	1751	や-6 1-1	283	[第22回ファンタジア大賞＜読者賞＞]
201101	角川スニーカー文庫	ミスマルカ興国物語 VIII	林トモアキ	ともぞ	978-4-04-426624-0	16620	150-27	252	
201101	角川スニーカー文庫	薔薇のマリア　15. 愛も憎しみも絶望も	十文字青	BUNBUN	978-4-04-471023-1	16622	182-21	414	
201101	角川スニーカー文庫	神様ゲーム 8　カミニナニヲワタスベキ？	宮崎柊羽	七草	978-4-04-471411-6	16623	188-11	472	
201101	角川スニーカー文庫	カレイドメイズ　半熟姫のあかるい国家計画	湖山真	鵜飼沙樹	978-4-04-474404-5	16624	213-4	303	
201101	角川スニーカー文庫	ガジェット　5. 生命新約　THE COLORFUL FUTURE	九重一木	植田亮	978-4-04-474605-6	16625	216-5	407	
201101	ファミ通文庫	パッチワーク！ワンダーランド 2	庄司卓	マニャ子	978-4-04-726963-7	1006	し1 5-2	245	
201101	ファミ通文庫	わたしと男子と思春期妄想の彼女たち　1 リア中ですが何か？	やのゆい	みやびあきの	978-4-04-727026-8	1001	や3 1-1	316	[第12回エンターブレインえんため大賞＜優秀賞＞]
201101	ファミ通文庫	○×△べーす　(1) ねっとりぐちゃぐちゃセルロイド	月本一	日高フウロ	978-4-04-727027-5	1002	つ3 1-1	344	[第12回エンターブレインえんため大賞＜特別賞＞]
201101	ファミ通文庫	表裏世界のソーマキューブ　パンツは誰のもの？	乙姫式	tsucaco	978-4-04-727028-2	1003	お9 1-1	284	[第12回エンターブレインえんため大賞＜特別賞＞]
201101	ファミ通文庫	B.A.D.　チョコレートデイズ (1)	綾里けいし	kona	978-4-04-727029-9	998	あ11 2-1	381	
201101	ファミ通文庫	ココロコネクト　ミチランダム	庵田定夏	白身魚	978-4-04-727030-5	999	あ12 1-4	318	
201101	ファミ通文庫	バカとテストと召喚獣 9	井上堅二	葉賀ユイ	978-4-04-727031-2	1000	い3 1-12	254	
201101	ファミ通文庫	狂乱家族日記 番外そのはち	日日日	x6suke	978-4-04-727032-9	1004	あ8 2-8	284	
201101	ファミ通文庫	世界の危機はめくるめく！ 7	佐藤了	藤真拓哉	978-4-04-727033-6	1005	さ5 3-7	350	
201101	ファミ通文庫	モンスターハンター　閃光の狩人 (4)	氷上慧一	布施龍太	978-4-04-727034-3	1007	M12 5-4	252	
201101	MF文庫J	かぐや魔王式！ 第9式	月見草平	水沢深森	978-4-8401-3672-3		つ-01-21	258	
201101	MF文庫J	神明解ろーどぐらす 4	比嘉智康	すばち	978-4-8401-3679-2		ひ-03-10	259	
201101	MF文庫J	ノーブルリージュ！ 特装版	TAMAMI　原作：丘野塔也、mana	兎塚エイジ	978-4-8401-3692-1				
201101	MF文庫J	ノーブルリージュ！	TAMAMI　原作：丘野塔也、mana	兎塚エイジ	978-4-8401-3693-8		た-06-01	293	
201101	MF文庫J	星刻の竜騎士 III	瑞智士記	〆鯖コハダ	978-4-8401-3696-9		み-04-03	294	
201101	MF文庫J	まよチキ！ 6	あさのハジメ	菊池政治	978-4-8401-3697-6		あ-07-06	263	
201101	MF文庫J	ディーは人型魔装具です。 4	淺沼広太	ひなた睦月	978-4-8401-3698-3		あ-06-04	258	
201101	MF文庫J	斬光のバーンエルラ III	穂村元	千葉サドル	978-4-8401-3699-0		ほ-04-03	263	
201101	MF文庫J	黒のストライカ 2	十文字青	硯	978-4-8401-3700-3		し-05-07	263	
201101	MF文庫J	変態王子と笑わない猫。 2	さがら総	カントク	978-4-8401-3800-0		さ-08-02	280	
201101	MF文庫J	神なる姫のイノセンス 3	鏡遊	鶴崎貴大	978-4-8401-3801-7		か-10-03	287	
201101	MF文庫J	おれと一乃のゲーム同好会活動日誌 その3　エンドオフ・エンドレスエイト	葉村哲	ほんたにかなえ	978-4-8401-3802-4		は-06-10	258	
201101	MF文庫J	ドラゴンブラッド 2	伊上円	一葉モカ	978-4-8401-3803-1		い-04-02	230	
201101	スーパーダッシュ文庫	パパのいうことを聞きなさい！ 6	松智洋	なかじまゆか	978-4-08-630588-4		ま1-15	285	
201101	スーパーダッシュ文庫	ニーナとうさぎと魔法の戦車 2	兎月竜之介	BUNBUN	978-4-08-630589-1		う2-2	309	
201101	スーパーダッシュ文庫	オワ・ランデ！ 2　とろけるモノの愛し方	神秋昌史	イチリ	978-4-08-630590-7		か14-2	293	
201101	スーパーダッシュ文庫	こいびと以上、ともだち未満 3　へこさま乙女	みかづき紅月	双龍	978-4-08-630591-4		み3-4	267	
201101	スーパーダッシュ文庫	ほうそうぶ2	宮沢周	山×2	978-4-08-630592-1		み4-4	326	
201101	スーパーダッシュ文庫	姉鬼あんりみてっど	会川潮	馨。	978-4-08-630593-8		あ13-1	303	
201101	GA文庫	ちみっ娘小学生レストラン　ストロベリーフィールドへようこそ！	野島けんじ	赤人	978-4-7973-6153-7	348	の-01-07	246	
201101	GA文庫	ふぁみまっ！ 3	九辺ケンジ	鶴崎貴大	978-4-7973-6154-4	341	く-03-03	255	
201101	GA文庫	EX! 12	織田兄第	うき	978-4-7973-6362-3	349	お-01-13	323	
201101	GA文庫	魔王はあまねく愛をまく！ 2	沢上水也	ひづき夜宵	978-4-7973-6364-7	350	さ-02-13	241	
201101	GA文庫	ぷりんせす・そーど！ (5)　戦うサツキと大団円	神野オキナ	深山和香	978-4-7973-6367-8	351	か-01-08	248	
201101	HJ文庫	戦え！神群活動保全課　カミカツ！	翅田大介	シコルスキー	978-4-7986-0128-1	268	は01 03-01	298	
201101	HJ文庫	前略。ねこと天使と同居はじめました。 二匹目	緋月薙	明星かがよ	978-4-7986-0152-6	277	ひ03 01－02	317	
201101	HJ文庫	百花繚乱 巻ノ漆	すずきあきら	Niθ	978-4-7986-0168-7	283	す01 02-07	358	
201101	HJ文庫	ワールド エンド ライツ 4	花房牧生	植田亮	978-4-7986-0169-4	284	は02 02-04	270	
201101	HJ文庫	悪魔をむにゅむにゅする理由	鏡裕之	黒川いづみ	978-4-7986-0170-0	285	か05 02-01	239	
201101	ガガガ文庫	コップクラフト 3　DRAGNET MIRAGE RELOADED	賀東招二	村田蓮爾	978-4-09-451245-8		ガか7-3	239	
201101	ガガガ文庫	うちの魔女しりませんか？	山川進	CUTEG	978-4-09-451247-2		ガや1-7	293	
201101	ガガガ文庫	とある飛空士への恋歌 5	犬村小六	森沢晴行	978-4-09-451248-9		ガい2-10	330	
201101	ガガガ文庫	ブラック・ラグーン (2)　罪深き魔術師の哀歌	虚淵玄　原作：広江礼威	広江礼威	978-4-09-451249-6		ガう1-4	217	
201101	ガガガ文庫	RIGHT×LIGHT 11　～黄昏の王と深緑の巨臣～	ツカサ	近衛乙嗣	978-4-09-451250-2		ガつ2-11	305	
201101	ガガガ文庫	ロマンス、バイオレンス＆ストロベリー・リパブリック (2)	深見真	織田non	978-4-09-451251-9		ガふ1-6	355	
201101	ガガガ文庫	Wandervogel (2)	相磯巴	ハラカズヒロ	978-4-09-451252-6		ガあ8-2	339	
201101	一迅社文庫	萌えるゴミは火曜日に。	川波無人	瑠奈璃亜	978-4-7580-4204-8		か-05-01	270	
201101	一迅社文庫	H×H!　お風呂は異文化コミュニケーション!?	神尾丈治	丸ちゃん。	978-4-7580-4205-5		か-04-02	237	
