発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200801	電撃文庫	ブギーポップ・クエスチョン　沈黙ピラミッド	上遠野浩平	緒方剛志	978-4-8402-4141-0	1533	か-7-21	319	
200801	電撃文庫	新フォーチュン・クエスト (14)　蘭の香りと消えたマリーナ <下>	深沢美潮	迎夏生	978-4-8402-4142-7	1534	ふ-1-54	251	
200801	電撃文庫	C3 ―シーキューブ― II	水瀬葉月	さそりがため	978-4-8402-4143-4	1535	み-7-8	297	
200801	電撃文庫	護くんに番外編で祝福を！ (3)	岩田洋季	佐藤利幸	978-4-8402-4144-1	1536	い-5-21	329	
200801	電撃文庫	とある魔術の禁書目録 (15)	鎌池和馬	灰村キヨタカ	978-4-8402-4145-8	1537	か-12-16	343	
200801	電撃文庫	でぃ・えっち・えぃ　へぶんす！	ゆうきりん	谷村まりか	978-4-8402-4146-5	1538	ゆ-1-17	259	
200801	電撃文庫	じーちゃん・ぢぇっと!!!　ラビバニ。	ハセガワケイスケ	オカアサハ	978-4-8402-4147-2	1539	は-4-15	285	
200801	電撃文庫	タザリア王国物語 3　炎虐の皇女	スズキヒサシ	あづみ冬留	978-4-8402-4148-9	1540	す-6-7	351	
200801	電撃文庫	モーフィアスの教室	三上延	椎名優	978-4-8402-4149-6	1541	み-6-20	305	
200801	電撃文庫	ストップ☆まりかちゃん！	菅沼誠也	夜野みるら	978-4-8402-4150-2	1542	す-10-1	275	
200801	電撃文庫	そらいろな	一色銀河	古夏からす	978-4-8402-4151-9	1543	い-2-9	289	
200801	電撃文庫	ロミオの災難	来楽零	さくや朔日	978-4-8402-4152-6	1544	ら-4-5	313	
200801	電撃文庫	ウェスタディアの双星　真逆の英雄登場の章	小河正岳	津雪	978-4-8402-4153-3	1545	お-10-5	251	
200801	富士見ファンタジア文庫	ザ・サード VIII　迷宮の街の忘れもの	星野亮	後藤なお	978-4-8291-3250-0	1392	94-18	474	
200801	富士見ファンタジア文庫	紅牙のルビーウルフ 6　自由の風が吹く夜明け	淡路帆希	椎名優	978-4-8291-3251-7	1393	157-7	307	
200801	富士見ファンタジア文庫	生徒会の一存　碧陽学園生徒会議事録 1	葵せきな	狗神煌	978-4-8291-3252-4	1394	166-7	270	
200801	富士見ファンタジア文庫	火の国、風の国物語 2　風焔相撃	師走トオル	光崎瑠衣	978-4-8291-3253-1	1395	182-2	363	
200801	富士見ファンタジア文庫	まぶらほ　～凛の巻～	築地俊彦	駒都えーじ	978-4-8291-3255-5	1397	99-26	236	
