発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200301	ソノラマ文庫	二等陸士物語	吉岡平	るりあ046	4-257-76987-4	987	よ 2-26	242	
200301	ソノラマ文庫	アンジェ　―卵から生まれた天使―	久保田弥代	高橋賢成	4-257-76995-5	995	く 2- 3	339	
200301	C★NOVELS ファンタジア	邂逅のハレス海　アグラファ 4	三浦真奈美	那知上陽子	4-12-500787-X		み1-13	216	
200301	エンターブレイン	ラトニックチェーン 01	渡辺浩弐		4-7577-1281-2			190	
200301	コバルト文庫	ちょー英雄	野梨原花南	宮城とおこ	4-08-600202-7		の3-22	198	
200301	コバルト文庫	炎の蜃気楼 (37)　革命の鐘は鳴る	桑原水菜	浜田翔子	4-08-600203-5		く5-61	204	
200301	コバルト文庫	聖石の使徒　其は水に遊ぶ者	前田珠子	山本鳥尾	4-08-600204-3		ま2-58	193	
200301	コバルト文庫	緑のアルダ　石占の娘	榎木洋子	唯月一	4-08-600205-1		え1-49	196	
200301	コバルト文庫	青桃院学園風紀録　ボウケンするだろ！	真堂樹	松本テマリ	4-08-600206-X		し8-46	211	
200301	コバルト文庫	レヴィローズの指輪　紅の封印	高遠砂夜	起家一子	4-08-600207-8		た13-34	233	
200301	コバルト文庫	姫神さまに願いを　～遠国散る恋華 後編～	藤原眞莉	鳴海ゆき	4-08-600208-6		ふ6-37	273	
200301	コバルト文庫	GLASS HEART　LOVE WAY	若木未生	羽海野チカ	4-08-600209-4		わ1-40	242	
200301	コバルト文庫	マリア様がみてる　子羊たちの休暇	今野緒雪	ひびき玲音	4-08-600210-8		こ7-34	211	
200301	コバルト文庫	深き水の眠り　硝子の枷 (下)	毛利志生子	藤田麻貴	4-08-600211-6		も2-9	247	
200301	コバルト文庫	イノセント・ガーデン　祈りによく似た罪の産声	石川宏宇	夢花李	4-08-600212-4		い5-3	206	
200301	コバルト文庫	青山電脳（秘）倶楽部　パパ、アイラブユー	小沼まり子	COM	4-08-600213-2		こ12-5	285	
200301	コバルト文庫	砂漠の花	金蓮花	珠黎皐夕	4-08-600214-0		き6-41	263	
200301	角川ビーンズ文庫	テーヌ・フォレーヌ物語　王都の将アレク	藤本ひとみ	清瀬のどか	4-04-175512-3		BB34-2	251	
200301	角川ビーンズ文庫	源氏十二宮絵巻　行くかた知らぬ夕顔の	六道慧	椎名咲月	4-04-412306-3		BB28-2	286	
200301	角川ビーンズ文庫	尾のない蠍　遠征王と流浪の公子	高殿円	麻々原絵里依	4-04-445006-4		BB2-6	251	
200301	角川ビーンズ文庫	いつかマのつく夕暮れに！	喬林知	松本テマリ	4-04-445207-5		BB4-7	191	
200301	角川ビーンズ文庫	スパイラルカノン　エターナルナイト	朝香祥	成瀬かおり	4-04-445904-5		BB13-4	253	
200301	角川ビーンズ文庫	シメールマスター　双神の宿る王国	たかもり諫也	浅見侑	4-04-447202-5		BB26-2	254	
200301	X文庫ホワイトハート	レーヌスを渡る金狼　ゲルマーニア伝奇	榛名しおり	池上沙京	4-06-255648-0		はD-16	222	
200301	X文庫ホワイトハート	揺れる心　ミス・キャスト	伊郷ルウ	桜城やや	4-06-255649-9		いF-16	292	
200301	X文庫ホワイトハート	夢に彷徨う　姉崎探偵事務所	新田一実	笠井あゆみ	4-06-255652-9		にA-41	263	
200301	X文庫ホワイトハート	空夢	月夜の珈琲館	月夜の珈琲館	4-06-255654-5		つB-13	222	
200301	ウィングス文庫	三千世界の鴉を殺し (7)	津守時生	古張乃莉	4-403-54059-7	59		226	
200301	ウィングス文庫	ディアスポラ 3	前田栄	金ひかる	4-403-54060-0	60		288	
200301	ウィングス文庫	FATAL ERROR (5)　信仰 下巻	新堂奈槻	押上美猫	4-403-54061-9	61		351	
200301	X文庫ティーンズハート	とってもとっても好きだからっ！	柳瑠美	南波あつこ	4-06-259541-9		や2-1	257	
200301	X文庫ティーンズハート	キャンドル・ライトでつかまえて	秋野ひとみ	赤羽みちえ	4-06-259542-7		あ1-47	248	
200301	X文庫ティーンズハート	16 恋愛革命　ユースケとすみれの場合	小林深雪	牧村久実	4-06-259543-5		こ2-81	201	
200301	X文庫ティーンズハート	名古屋わらべうた幽霊事件　京都探偵局	風見潤	かやまゆみ	4-06-259544-3		か2-64	285	
200301	X文庫ティーンズハート	ましろき花の散る朝に	萩原麻里	蓮見桃衣	4-06-259545-1		は4-1	249	[第10回ティーンズハート大賞＜佳作＞]
200301	パレット文庫	Baby Pink	池戸裕子	ほたか乱	4-09-421316-3		い2-16	199	
200301	パレット文庫	王子様に気をつけろ	真船るのあ	明神翼	4-09-421335-X		ま4-5	201	
200301	パレット文庫	羊ちゃんと個人授業	あさぎり夕	あさぎり夕	4-09-421402-X		あ6-62	237	
200301	パレット文庫	風のルティアの物語	ひかわ玲子	おおや和美	4-09-421441-0		ひ3-1	180	
200302	電撃文庫	ドラゴン・パーティ (6)　星の彼方の狂戦士	中里融司	辻田大介	4-8402-2256-8	0743	な-2-14	313	
200302	電撃文庫	七姫物語	高野和	尾谷おさむ	4-8402-2265-7	0762	た-15-1	285	[第9回電撃ゲーム小説大賞＜金賞＞]
200302	電撃文庫	吸血鬼のおしごと (4)　The Style of Mistress	鈴木鈴	片瀬優	4-8402-2271-1	0754	す-5-4	285	
200302	電撃文庫	リバーズ・エンド 4　over the distance	橋本紡	高野音彦	4-8402-2272-X	0755	は-2-14	267	
200302	電撃文庫	パラサイトムーン VI　迷宮の迷子達	渡瀬草一郎	はぎやまさかげ	4-8402-2275-4	0758	わ-4-9	420	
200302	電撃文庫	IX	古橋秀之	松竜	4-8402-2276-2	0759	ふ-3-8	217	
200302	電撃文庫	キーリ　死者たちは荒野に眠る	壁井ユカコ	田上俊介	4-8402-2277-0	0760	か-10-1	281	[第9回電撃ゲーム小説大賞＜大賞＞]
200302	電撃文庫	バッカーノ！　The Rolling Bootlegs	成田良悟	エナミカツミ	4-8402-2278-9	0761	な-9-1	315	[第9回電撃ゲーム小説大賞＜金賞＞]
200302	電撃G's文庫	ぴたテン (3)　さよならの伝え方	落合ゆかり	コゲどんぼ、山口りな	4-8402-2202-9	0768	A32-03	291	
