発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200001	電撃文庫	猫の地球儀　焔の章	秋山瑞人	椎名優	4-8402-1388-7	0413	あ-8-4	251	
200001	電撃文庫	都市シリーズ　閉鎖都市巴里 <下>	川上稔	さとやす	4-8402-1389-5	0414	か-5-8	384	
200001	電撃文庫	ゴクドーくん漫遊記外伝 (9)　パルミットの笛吹き	中村うさぎ	桐嶋たける	4-8402-1390-9	0410	な-1-16	265	
200001	電撃文庫	バトルシップガール	橋本紡	珠梨やすゆき	4-8402-1391-7	0412	は-2-3	297	
200001	電撃文庫	ブライトライツ・ホーリーランド	古橋秀之	前嶋重機	4-8402-1392-5	0408	ふ-3-4	333	
200001	電撃文庫	コールド・ゲヘナ (3)	三雲岳斗	きがわ琳	4-8402-1393-3	0409	み-3-3	314	
200001	電撃文庫	アーバックス (1)　”A”	あかほりさとる	七瀬葵、西田亜沙子	4-8402-1394-1	0407	あ-1-14	199	
200001	富士見ファンタジア文庫	並列バイオ	秋口ぎぐる	中野友和	4-8291-2934-4	631	103-1	326	[第10回ファンタジア長編小説大賞＜特別賞＞]
200001	富士見ファンタジア文庫	スクラップド・プリンセス 4　半熟騎士の行進曲	榊一郎	安曇雪伸	4-8291-2938-7	635	88-5	303	
200001	富士見ファンタジア文庫	魔術士オーフェン・無謀編 (9)　同情なんていらねえぜ！	秋田禎信	草河遊也	4-8291-2939-5	636	40-24	283	
200001	富士見ファンタジア文庫	魔魚戦記	吉村夜	OKAMA	4-8291-2941-7	638	105-1	256	[第11回ファンタジア長編小説大賞＜準入選＞]
200001	富士見ファンタジア文庫	ラジカルあんてぃ～く　魔神を呼び出すドジ妖精	清水文化	南島達也	4-8291-2943-3	640	83-3	270	
200001	富士見ファンタジア文庫	覇壊の宴	日昌晶	やまさきもへじ	4-8291-2944-1	641	104-1	318	[第11回ファンタジア長編小説大賞＜準入選＞]
200001	富士見ファンタジア文庫	月蝕紀列伝 9　終焉の叛逆者 (上)	南房秀久	井上純弌	4-8291-2945-X	642	68-11	229	
200001	角川スニーカー文庫	蒼の伝説　支配者の木	麻城ゆう	みのおひなせ	4-04-412818-9	11324	28-14	215	
200001	角川スニーカー文庫	トラブルシューター　シェリフスターズMS mission01	神坂一	光吉賢司	4-04-414609-8	11325	46-9	253	
200001	角川スニーカー文庫	シェアード・ワールド・ノベルズ　妖魔夜行　穢された翼	山本弘、柘植めぐみ、北沢慶	青木邦夫	4-04-415213-6	11326	52-13	300	
