発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198901	富士見ファンタジア文庫	時の光、時の影	六道慧	高田明美	4-8291-2310-9	10	10-1	273	
198901	富士見ファンタジア文庫	宇宙一の無責任男シリーズ (1)　無責任艦長タイラー	吉岡平	都築和彦	4-8291-2311-7	11	11-1	261	
198901	角川スニーカー文庫	双頭の虎　山嵐妖綺伝	鳥海永行	大貫健一	4-04-410801-3	7374	8-1	279	
198901	ソノラマ文庫	沈黙の巨獣　ジャンクマン5 (2)	大場惑	岡田有章	4-257-76446-5	446	お 2- 2	254	
198901	ソノラマ文庫	ライブラ救助指令　成層圏ファイター 2	遠藤明範	岡田有章	4-257-76447-3	447	え 1- 2	284	
198901	ソノラマ文庫	ゆらぎの森のシエラ	菅浩江	加藤洋之＆後藤啓介	4-257-76448-1	448	す 2- 1	285	
198901	エニックス文庫	ドラゴンクエストIII そして伝説へ…　上 勇者旅立つ	エニックスプロダクツ、早坂律子		4-90052-704-1	EB1		319	
198901	エニックス文庫	ドラゴンクエストIII そして伝説へ…　中 伝説の宝珠を求めて	エニックスプロダクツ、早坂律子		4-90052-705-X	EB2		322	
198901	コバルト文庫	まんが家マリナ七星剣事件　愛をかたるエリニュス (上)	藤本ひとみ	谷口亜夢	4-08-611240-X		183-T	289	
198901	コバルト文庫	みやは負けない！	久美沙織	小原智香	4-08-611241-8		088-AE	305	
198901	コバルト文庫	あぶないプリンス	唯川恵	樹原くり	4-08-611242-6		169-O	263	
198901	コバルト文庫	赤い靴探偵団 4　妖精の謎	田中雅美	たかのちはる	4-08-611243-4		081-AD	217	
198901	コバルト文庫	さよならから始まる物語	倉本由布	槇夢民	4-08-611244-2		187-I	221	
198901	コバルト文庫	きみが好きだから	杉本りえ	藤臣柊子	4-08-611245-0		158-P	215	
198901	コバルト文庫	あの娘におせっかい	島村洋子	西村めぐみ	4-08-611246-9		190-L	228	
198901	コバルト文庫	聖獣復活譚 (前)　まどろみの守護者	前田珠子	おおや和美	4-08-611247-7		209-C	217	
198901	コバルト文庫	未少年キラー・スペシャル	図子慧	牧あけみ	4-08-611248-5		203-I	240	
198901	コバルト文庫	彼の地図　四年遅れのティーンエイジ・ブルース	彩河杏	小林ぽんず	4-08-611249-3		214-B	217	
198901	コバルト文庫	ロマンチック・ラブ・コメディ　13歳の金曜日	名木田恵子		4-08-611250-7		054-O	242	
198901	X文庫ティーンズハート	スキー場幽霊事件	風見潤	かやまゆみ	4-06-190237-7		か2-2	228	旧整理番号：X101-2
198901	X文庫ティーンズハート	悪霊なんかこわくない	小野不由美	中村幸緒	4-06-190257-1		X106-3	241	
198901	X文庫ティーンズハート	風を道しるべに… (8)　MAO18歳・春	倉橋燿子	小野佳苗	4-06-190262-8		X91-14	194	
