発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198101	ソノラマ文庫	別世界シン少年隊	宮崎惇	中村宏	4-257-76171-7	171	47-E	222	
198101	ソノラマ文庫	猿人対地球人	加納一朗	祐天寺三郎	4-257-76172-5	172	か 1-16	254	
198101	コバルト文庫	あなたとミルクティを	みつはしちかこ		4-08-610393-1		084-A		
198101	コバルト文庫	詩集：ラブ・カレンダー	藤公之介		4-08-610394-X		060-D		
198101	コバルト文庫	青春ドキュメント　ある愛の記録　いのち燃えつきても	有田倶子　編：檜野里夫		4-08-610395-8		069-B		
198101	コバルト文庫	ヘッドフォン・ララバイ　－公園通りの青春－	窪田僚		4-08-610396-6		085-A		
198101	コバルト文庫	愛ひとつ 北国	井上明子		4-08-610397-4		035-D		
198101	コバルト文庫	サイボーグ009　超銀河伝説	杉山卓　原作：石森章太郎		4-08-610398-2		070-D		
198102	ソノラマ文庫	宇宙戦艦ヤマト　新たなる旅立ち	構成：西崎義展		4-257-76173-3	173	86-F	318	
198102	ソノラマ文庫	戦国少年隊・鉄仮面	夏文彦	黒田征太郎	4-257-76175-X	175	38-D	250	
198102	コバルト文庫	12星座血液型　愛の相性占い	紅亜里		4-08-610399-0		086-A		
198102	コバルト文庫	特別な他人	落合恵子		4-08-610400-8		056-B		
198102	コバルト文庫	小さな花の歌　愛の小説集	清川妙		4-08-610401-6		007-Q		
198102	コバルト文庫	恋する女たち	氷室冴子		4-08-610402-4		052-E	255	
198102	コバルト文庫	架空の街の物語	津山紘一		4-08-610403-2		087-A		
198102	コバルト文庫	LOVE COMEDY　オトコがいっぱい！	佐々木守		4-08-610404-0		025-E		
198103	ソノラマ文庫	機動戦士ガンダム III	富野喜幸	大河原邦男	4-257-76174-1	174	と 1- 3	251	
198103	ソノラマ文庫	宇宙戦艦ヤマト 2	構成：西崎義展		4-257-76178-4	178	86-G	334	
198103	コバルト文庫	ぼくたちの愛の体験記　だからキミが好きなんだ	編：島村敬一		4-08-610405-9		039-D		
198103	コバルト文庫	スウエーデン10代の体験ノート　マリーの性	草鹿宏		4-08-610406-7		027-I		
198103	コバルト文庫	星へ行く船	新井素子	竹宮恵子、長尾治	4-08-610407-5		075-B	253	
198103	コバルト文庫	宿なしミウ	久美沙織	新井苑子	4-08-610408-3		088-A	261	
198103	コバルト文庫	キャスタードライバー事件簿　抱き人形殺人事件	井口泰子		4-08-610409-1		089-A		
198103	コバルト文庫	燃えろロックンローラー	石原信一		4-08-610410-5		090-A		
198104	ソノラマ文庫	謎のギヤマン機関　マッドボーイ (2)	辻真先	畑農照雄	4-257-76177-6	177	29-T	222	
198104	ソノラマ文庫	エスパー・オートバイ宇宙へ	塩谷隆志	祐天寺三郎	4-257-76179-2	179	19-D	254	
198104	コバルト文庫	青春音楽グラフィティ(日本編)　タイガースからYMOまで	編：名田貴好、橋倉正信				074-C		
198104	コバルト文庫	愛をみつけるために　未完青書	阿久悠				091-A		
198104	コバルト文庫	ふるさとは水の星	森下一仁		4-08-610413-X		092-A		
198104	コバルト文庫	失恋チャンピオン	正本ノン	阿部かずお	4-08-610414-8		063-B		
198104	コバルト文庫	風がブルースを歌った	南英男		4-08-610415-6		043-I		
198104	コバルト文庫	私たちの体験記　愛のABCD	編：小宮綾子		4-08-610416-4		093-A		
198105	ソノラマ文庫	真・デビルマン I	永井泰宇　原作：永井豪	永井豪	4-257-76180-6	180	な 1- 1	220	
198105	ソノラマ文庫	神界の異端者　エスパー・コネクション (1)	清水義範	小川芳	4-257-76181-4	181	し 1- 9	222	
198105	コバルト文庫	宇宙戦艦ヤマトIII　(上）	若桜木虔　監修：西崎義展		4-08-610417-2		049-M		
198105	コバルト文庫	宇宙戦艦ヤマトIII　(下）	若桜木虔　監修：西崎義展		4-08-610418-0		049-N		
198105	コバルト文庫	メランコリックな犯罪　海外ミステリー傑作選 II	編：武田武彦		4-08-610419-9		045-B		
198105	コバルト文庫	青春はブルーなシナリオ	吉野一穂		4-08-610420-2		040-C		
198105	コバルト文庫	VIVA！プラザストリート共和国	杉山卓		4-08-610421-0		070-E		
198106	ソノラマ文庫	冷凍人間アイスマン	加納一朗	祐天寺三郎	4-257-76182-2	182	か 1-17	254	
198106	ソノラマ文庫	標的は悪魔	鳥海永行	山野辺進	4-257-76183-0	183	35-C	252	
198106	コバルト文庫	ビートルズグラフィティ	編：名田貴好・橋倉正信		4-08-610423-7		074-D		
198106	コバルト文庫	麦ちゃんのヰタ・セクスアリス 3	立原あゆみ		4-08-610424-5		078-C		
198106	コバルト文庫	麦ちゃんのヰタ・セクスアリス 4	立原あゆみ		4-08-610425-3		078-D		
198106	コバルト文庫	あなたの詩わたしの詩 II	内山登美子		4-08-610426-1		064-C		
198106	コバルト文庫	薔薇色写真館	名木田恵子		4-08-610427-X		054-E		
198106	コバルト文庫	恋の罪	田中雅美	鈴木博	4-08-610428-8		081-B		
198107	ソノラマ文庫	銀河鉄道999	藤川桂介　原作：松本零士	松本零士	4-257-76185-7	185	84-C	349	
198107	ソノラマ文庫	さよなら銀河鉄道999 (1)	山浦弘靖　原作：松本零士		4-257-76186-5	186	85-A	238	
198107	コバルト文庫	1000年女王 1	藤川桂介　原案：松本零士		4-08-610429-6		072-B		
198107	コバルト文庫	2年B組仙八先生 1	若桜木虔　原作：重森孝子		4-08-610430-X		049-O		
198107	コバルト文庫	ブルージーンズメモリー	田波靖男		4-08-610431-8		094-A		
198107	コバルト文庫	小説!?　Drスランプ	辻真先　原作：鳥山明		4-08-610432-6		066-B	227	
198107	コバルト文庫	両手で聖子	松田聖子		4-08-610433-4		095-A		
198107	コバルト文庫	アメリカ・ヤング愛の体験記　HAPPY MY LOVE	編：井上篤夫		4-08-610434-2		096-A		
198108	ソノラマ文庫	さよなら銀河鉄道999 (2)	山浦弘靖　原作：松本零士		4-257-76187-3	187	85-B	238	
198108	ソノラマ文庫	真・デビルマン II	永井泰宇　原作：永井豪	永井豪	4-257-76188-1	188	な 1- 2	221	
198108	ソノラマ文庫	ハードボイルド志願	吉津實	浅里道晴	4-257-76189-X	189	11-H	222	
