発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
201301	電撃文庫	らぶなどーる！ (3)	上月司	アマガイタロー	978-4-04-891250-1	2468	こ-8-23	264	
201301	電撃文庫	空ろの箱と零のマリア 6	御影瑛路	鉄雄	978-4-04-891251-8	2469	み-8-11	296	
201301	電撃文庫	ジョシコーセーの成分。　SCHOOL GIRL OVERFLOW	ハセガワケイスケ	ゆあ	978-4-04-891252-5	2470	は-4-27	280	
201301	電撃文庫	新約 とある魔術の禁書目録 (6)	鎌池和馬	はいむらきよたか	978-4-04-891253-2	2467	か-12-40	456	
201301	電撃文庫	美少女が多すぎて生きていけない	芦屋六月	ユキヲ	978-4-04-891257-0	2478	あ-36-1	328	
201301	電撃文庫	俺の天使は恋愛禁止！	美月りん	亜方逸樹	978-4-04-891258-7	2477	み-20-1	376	
201301	電撃文庫	VS!! 3　―アルスマグナの戦闘員―	和泉弐式	白羽奈尾	978-4-04-891259-4	2476	い-11-3	280	
201301	電撃文庫	斉藤アリスは有害です。　～世界の行方を握る少女～	中維	GAN	978-4-04-891266-2	2480	ち-3-3	312	
201301	電撃文庫	正義の味方の味方の味方	哀川譲	さくやついたち	978-4-04-891267-9	2479	あ-29-2	312	
201301	電撃文庫	世界の終わり、素晴らしき日々より 2	一二三スイ	七葉なば	978-4-04-891268-6	2481	ひ-10-2	296	
201301	電撃文庫	私とあなたの青春革命。 (2)	広沢サカキ	CUTEG	978-4-04-891290-7	2475	ひ-7-6	312	
201301	電撃文庫	煉獄姫 六幕	藤原祐	kaya8	978-4-04-891300-3	2474	ふ-7-30	328	
201301	電撃文庫	やがて魔剱のアリスベル II　蒼穹の戦線	赤松中学	閏月戈	978-4-04-891323-2	2473	あ-33-2	312	
201301	電撃文庫	ゴールデンタイム番外　百年後の夏もあたしたちは笑ってる	竹宮ゆゆこ	駒都えーじ	978-4-04-891324-9	2471	た-20-22	280	
201301	電撃文庫	よめせんっ！ 7	マサト真希	ごまさとし	978-4-04-891325-6	2472	ま-7-17	328	
201301	電撃文庫	灰燼のカーディナル・レッド	西村西	暗猫	978-4-04-891326-3	2482	に-7-1	344	
201301	富士見ファンタジア文庫	フルメタル・パニック！Σ 3　つづくオン・マイ・オウン	原作：賀東招二	上田宏	978-4-8291-3840-3	2503	か-3 9-3	310	
201301	富士見ファンタジア文庫	フルメタル・パニック！Σ 4　燃えるワン・マン・フォース	原作：賀東招二	上田宏	978-4-8291-3841-0	2504	か-3 9-4	293	
201301	富士見ファンタジア文庫	ハイスクールD×D 14　進路指導のウィザード	石踏一榮	みやま零	978-4-8291-3845-8	1979	い-3 1-14	311	
201301	富士見ファンタジア文庫	真・天地無用！魎皇鬼外伝　天地無用！GXP 9	梶島正樹	梶島正樹	978-4-8291-3846-5	1980	か-2 1-9	429	
