発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198401	ソノラマ文庫	ゴースト・ハンター (2)　サブウェイ・ファンタム	塩谷隆志	佐竹美保	4-257-76266-7	266	19-L	250	
198401	ソノラマ文庫	黄金の竜騎兵	児島冬樹	若菜等	4-257-76267-5	267	44-A	222	
198401	コバルト文庫	ブラック・キャット I	新井素子	石関詠子	4-08-610630-2		075-F	238	
198401	コバルト文庫	ハロー フロム アメリカ　高校遊学記	宇田川晶子	仲川道子	4-08-610631-0		142-A	269	
198401	コバルト文庫	み～んなブスを好きになれ	青島美幸	つるとみ子	4-08-610632-9		143-A	249	
198401	コバルト文庫	人形劇 三国志 (下)	田波靖男、小川英		4-08-610633-7		094-H	301	
198401	コバルト文庫	幻の黄金超特急 2　愛と炎のゾーン・トレイン	山浦弘靖	松田勝巳	4-08-610634-5		105-D	263	
198401	集英社文庫コバルトY.A.シリーズ	ラブ・クレイジー	ジュディ・フィーファー　訳：吉崎由紀子		4-08-610635-3		123-B	268	
198401	集英社文庫コバルトY.A.シリーズ	マリアンの木曜日	ジャン・ユーリ　訳：羽田詩津子		4-08-610636-1		144-A	278	
198402	ソノラマ文庫	オーロラの幻影　テクセル・キオ (2)	石川英輔	福原浩	4-257-76268-3	268	6-D	218	
198402	ソノラマ文庫	コピー人間の復讐	加納一朗	祐天寺三郎	4-257-76269-1	269	8-V	254	
198402	ソノラマ文庫	魔獣学園	清水義範	天野喜孝	4-257-76270-5	270	し 1-15	252	
198402	コバルト文庫	新・吸血鬼はお年ごろ　吸血鬼よ故郷を見よ	赤川次郎	長尾治	4-08-610637-X		068-F	300	
198402	コバルト文庫	ミッドナイト・ラブ	南英男		4-08-610638-8		043-P	312	
198402	コバルト文庫	海外SFショートショート秀作選 2	編：アイザック・アシモフ　訳：佐柳ゆかり、勢田夏子		4-08-610639-6		145-A	246	
198402	コバルト文庫	新・銀河創世紀伝 2　地球よ	藤川桂介		4-08-610640-X		072-M	253	
198402	コバルト文庫	BOYS BE　夏くん!! 3	立原あゆみ		4-08-610641-8		078-N	207	
198402	コバルト文庫	BOYS BE　夏くん!! 4	立原あゆみ		4-08-610642-6		078-O	197	
198402	集英社文庫コバルトY.A.シリーズ	名探偵は19歳　スーザン・サンド 3	マリリン・エゼル　訳：井上篤夫		4-08-610643-4		096-G	228	
198402	集英社文庫コバルトY.A.シリーズ	朝のこない夜	ミッシェル・モーリス　訳：中山伸子		4-08-610644-2		120-B	324	
198403	ソノラマ文庫	太陽の牙ダグラム (2)	星山博之	塩山紀夫	4-257-76265-9	265	88-B	254	
198403	ソノラマ文庫	エイリアン黙示録	菊地秀行	天野喜孝	4-257-76271-3	271	き 1- 8	281	
198403	ソノラマ文庫	異郷の扉	草川隆	佐竹美保	4-257-76272-1	272	14-D	221	
198403	コバルト文庫	シンデレラ　ミステリー	氷室冴子	藤田和子	4-08-610645-0		052-N	284	
198403	コバルト文庫	新・美人案内講座　抱いてアンフィニ	久美沙織	峯村良子	4-08-610646-9		088-H	297	
198403	コバルト文庫	スターは君だ!!　ラブリー・センセーション	田中雅美	星野かずみ	4-08-610647-7		081-H	233	
198403	コバルト文庫	夏の窓をあけて　Fromキラー・ストリート	正本ノン	久保恵子	4-08-610648-5		063-J	251	
198403	コバルト文庫	回らない風車	大和真也	逆井鋭二	4-08-610649-3		121-C	238	
198403	コバルト文庫	コバルト・ノベル大賞　入選作品集 1	編：コバルト編集部		4-08-610650-7		100-C	245	
198403	集英社文庫コバルトY.A.シリーズ	Viva!サクセス・レディ　恋と友情の行動エチケット学	イブ・ドローボット　訳：井上篤夫		4-08-610651-5		096-H	227	
198403	集英社文庫コバルトY.A.シリーズ	バッド・アップル	ラリー・ボグラッド　訳：橘高弓枝		4-08-610652-3		116-B	262	
198404	コバルト文庫	１２星座別ラブ・アタック	ルネ・ヴァンタール・ワタナベ		4-08-610653-1		080-G	269	
