発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198601	角川スニーカー文庫	タイム・フォ・アクション・シリーズ　バビ・ストック I　果てしなき標的	寺田憲史	影山楙倫	4-04-410602-9		6-2	313	旧整理番号：緑 651-1　旧ISBN：4-04-165101-8
198601	ソノラマ文庫	吸血鬼ハンター 4　Ｄ－死街譚	菊地秀行	天野喜孝	4-257-76321-3	321	き 1-15	250	
198601	ソノラマ文庫	プリンセス・タイフーン　魔聖界ロード 1	渡邉由自	加藤洋之＆後藤啓介	4-257-76324-8	324	わ 1- 4	254	
198601	ソノラマ文庫	スターダスト・シティ (1)	笹本祐一	平野俊弘	4-257-76325-6	325	さ 2- 5	254	
198601	コバルト文庫	丘の家のミッキー (4)	久美沙織	めるへんめーかー	4-08-610805-4		088-Q	239	
198601	コバルト文庫	さくら荘のエンゼル	田中雅美	堀江裕子	4-08-610806-2		081-Q	221	
198601	コバルト文庫	センチメンタル★シティでつかまえて	正本ノン	久保恵子	4-08-610807-0		063-R	223	
198601	コバルト文庫	とら猫タマの四季	杉本りえ	白鳥瑞江	4-08-610808-9		158-D	252	
198601	コバルト文庫	ハート・燃えて…	唯川恵	星野かずみ	4-08-610809-7		169-C	216	
198601	コバルト文庫	花織高校恋愛スキャンダル　ロマンスパン伝説	藤本ひとみ	鈴木奈つき	4-08-610810-0		183-C	270	
198601	コバルト文庫	零時の鐘はもう鳴らない	波多野鷹	生嶋誠	4-08-610811-9		186-B	237	
198601	コバルト文庫	誰だハックにいちゃもんつけるのは	ナット・ヘントフ　訳：坂崎麻子		4-08-610812-7		119-C	266	
198602	ソノラマ文庫	剣闘士ボロッカスの冒険 (2)	鈴木良武	畑農照雄	4-257-76327-2	327	す 1- 4	218	
198602	コバルト文庫	み～んなブスでよかったね	青島美幸	つるとみ子	4-08-610813-5		143-C	208	
198602	コバルト文庫	イヴの樹　APPLE STORY	名木田恵子		4-08-610814-3		054-G	252	
198602	コバルト文庫	裸足のマドンナたち　ドキュメント小説　不良少女たちの旅立ち	南英男		4-08-610815-1		043-U	280	
198602	コバルト文庫	死神の時刻表は［スペード］色	山浦弘靖	服部あゆみ	4-08-610816-X		105-G	257	
198602	コバルト文庫	神さまプリ－ズ！　ラブ・コメディ	藤公之介		4-08-610817-8		060-J	252	
198602	コバルト文庫	ときめき発・スリラー行き	城島明彦		4-08-610818-6		179-B	265	
198602	コバルト文庫	こちら幽霊探偵局	団龍彦	神野佳子	4-08-610819-4		189-A	258	
