発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199501	電撃文庫	X-MEN (2)　ネオ・ヘブン	中里融司	西村博之	4-07-302445-0	0056	え-1-2	257	
199501	電撃文庫	エメラルドドラゴン <下>	飛火野耀	木村明広	4-07-302451-5	0054	と-2-2	215	
199501	電撃文庫	大久保町は燃えているか	田中哲弥	此路あゆみ	4-07-302468-X	0055	た-1-2	316	
199501	富士見ファンタジア文庫	銃と魔法 2　青い炎	川崎康宏	草なぎ琢仁	4-8291-2603-5	303	52-2	290	
199501	富士見ファンタジア文庫	スレイヤーズすぺしゃる (7)　がんばれ死霊術士	神坂一	あらいずみるい	4-8291-2604-3	304	20-18	238	
199501	富士見ファンタジア文庫	大地をわたる声を聞け (上)	小林めぐみ	ひさいちよしき	4-8291-2605-1	305	30-8	289	
199501	富士見ファンタジア文庫	神々の砂漠　風の白猿神	滝川羊	いのまたむつみ	4-8291-2607-8	307	60-1	315	[第6回ファンタジア長編小説大賞＜大賞＞]
199501	富士見ファンタジア文庫	魔術士オーフェンはぐれ旅　我が胸で眠れ亡霊	秋田禎信	草河遊也	4-8291-2608-6	308	40-4	265	
199501	富士見ファンタジア文庫	熱死戦線ビットウォーズ	葛西伸哉	小野敏洋	4-8291-2609-4	309	63-1	243	[第3回ファンタジア長編小説大賞＜佳作＞]
199501	富士見ファンタジア文庫	天征伝　漆黒の守護天使	護矢真	こばやしひよこ	4-8291-2610-8	310	61-1	308	[第3回ファンタジア長編小説大賞＜佳作＞]
199501	角川スニーカー文庫	タイムダイバー・ゴーバイザー (2)	柿沼秀樹	菊池通隆	4-04-411015-8	9547	10-15	220	
199501	角川スニーカー文庫	オルディコスの三使徒　3 巨神の春	菅浩江	鈴木雅久	4-04-412005-6	9548	20-5	329	
199501	角川スニーカー文庫	七つの海のティコ (3)	広尾明	井上鋭、石川哲也	4-04-415703-0	9524	57-3	238	
199501	角川スニーカー・G文庫	ティルト・ワールド・ライブノベル (下)	安田均、友野詳、小川直人		4-04-488302-5	9550	883-2	300	
199501	ログアウト冒険文庫	風佳奇譚 1　やさしい夜の瞳	横手美智子	高田明美	4-89366-316-X	LB-64		279	
199501	ログアウト冒険文庫	真・魔韻の書 (下)　魔韻の巻	竹内誠		4-89366-317-8	LB-65		301	
199501	ログアウト冒険文庫	真・女神転生II TRPGリプレイ　魔界の扉	ガイア教聖騎士団　監修：鈴木一也		4-89366-318-6	LB-66		254	
199501	ログアウト冒険文庫	アドバンスト・ウィザードリィRPG　ル－ルブック	伏見健二、F.E.A.R.		4-89366-319-4	LB-67		405	
199501	ログアウト冒険文庫	アドバンスト・ウィザードリィRPG　モンスタ－マニュアル	伏見健二、F.E.A.R.		4-89366-320-8	LB-68		219	
199501	ソノラマ文庫	ガッチャマン 2　シンデレラ作戦	柿沼秀樹	梅津泰臣	4-257-76700-6	700	か 6- 2	215	
199501	ソノラマ文庫	わたしのファルコン 1	夏見正隆	中嶋敦子	4-257-76708-1	708	な 4- 1	266	
199501	ソノラマ文庫	とってもヴァンパイア 2	吉岡平	大橋薫	4-257-76712-X	712	よ 2- 8	263	
199501	ソノラマ文庫	ゼイラム　THE NOVEL	松本肇　原案：雨宮慶太	雨宮慶太	4-257-76713-8	713	ま 2- 1	262	
199501	スーパーファンタジー文庫	B!　―宿命のツインズ―	花衣沙久羅	里中守	4-08-613164-1		か2-8	287	
199501	スーパーファンタジー文庫	フロリカ　―時の鎖―	藤原京	久野蒼	4-08-613165-X		ふ4-5	282	
199501	C★NOVELS ファンタジア	黒狼秘譚　2 神狼記昔語り 剣の時代	斉城昌美		4-12-500328-9		さ1-5	372	
199501	コバルト文庫	まんが家マリナ赤いモルダウの章　シャルルに捧げる夜想曲 3	藤本ひとみ	高河ゆん	4-08-614025-X		ふ1-64	185	
199501	コバルト文庫	炎の蜃気楼 (15)　火輪の王国 (前編)	桑原水菜	浜田翔子	4-08-614026-8		く5-21	286	
199501	コバルト文庫	古代転生ファンタジー　銀の海 金の大地 9	氷室冴子	飯田晴子	4-08-614027-6		ひ1-42	246	
199501	コバルト文庫	星子＆宙太ふたり旅　Mr. LADYの恋は［クラブ］色	山浦弘靖	浦川佳弥	4-08-614028-4		や1-56	251	
199501	コバルト文庫	禁断のウィスパー (4)	さいきなおこ	さいきなおこ	4-08-614029-2		さ6-5	235	
199501	コバルト文庫	月の夜舟で　～平家ものがたり抄～	倉本由布	佐乃裕真	4-08-614030-6		く2-33	222	
199501	コバルト文庫	夢の宮　～古恋鳥～ (上)	今野緒雪	かわみなみ	4-08-614031-4		こ7-3	237	
199501	コバルト文庫ピンキー	好きなのはいつも君だけ	田中雅美	谷川史子	4-08-614032-2		タ2-9	217	
199501	コバルト文庫ピンキー	ママレード・ボーイ 4	影山由美　原作：吉住渉		4-08-614033-0		カ2-4	202	
199501	コバルト文庫ピンキー	赤ずきんチャチャ 5	山田隆司　原作：彩花みん		4-08-614034-9		ヤ2-12	232	
199501	X文庫ホワイトハート	伝心パスワード (上)　本気で欲しけりゃモノにしろ！	深沢梨絵	真木しょうこ	4-06-255173-X		ふA-04	202	
199501	X文庫ティーンズハート	君と夢をみた	折原みと	折原みと	4-06-199341-0		お1-19	225	旧整理番号：X90-19
199501	X文庫ティーンズハート	僕たちは、この海で出会った　珊瑚物語 (1)	小林深雪	牧村久実	4-06-199342-9		こ2-34	229	旧整理番号：X154-34
199501	X文庫ティーンズハート	札幌ゆきまつり幽霊事件	風見潤	かやまゆみ	4-06-199343-7		か2-26	215	旧整理番号：X101-26
199501	X文庫ティーンズハート	素直になれなくて…	若林真紀	栗原まもる	4-06-199344-5		わ1-5	223	旧整理番号：X108-37
199501	X文庫ティーンズハート	瞳に映る一瞬	佐伯瑞穂	永沢京子	4-06-199346-1		X189-1	207	[第2回ティーンズハート大賞＜大賞＞]
199501	X文庫ティーンズハート	《太陽》は人々を照らす　運命のタロット（9）	皆川ゆか	乱魔猫吉	4-06-199347-X		み1-9	281	旧整理番号：X78-29
199501	X文庫ティーンズハート	ないしょの恋のおはなし	石井ゆうみ		4-06-199348-8		い2-7	205	旧整理番号：X162-17
