発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199401	富士見ファンタジア文庫	食前絶後!!	ろくごまるに	九月姫	4-8291-2535-7	235	51-1	271	[第4回ファンタジア長編小説大賞＜特別賞＞]
199401	富士見ファンタジア文庫	神の盾レギオン・外伝　星月夜の歌姫	六道慧	鈴木雅久	4-8291-2538-1	238	10-23	266	
199401	富士見ファンタジア文庫	〈卵王子〉カイルロッドの苦難 (6)　悲しみは黄昏とともに	冴木忍	田中久仁彦	4-8291-2539-X	239	32-11	234	
199401	富士見ファンタジア文庫	魔法の勇者ステラーミミィ　誕生編	庄司卓	赤井孝美	4-8291-2540-3	240	35-8	208	
199401	富士見ファンタジア文庫	銃と魔法	川崎康宏	草なぎ琢仁	4-8291-2541-1	241	52-1	314	[第5回ファンタジア長編小説大賞＜準入選＞]
199401	富士見ファンタジア文庫	君が夢、河を上りて (上)	小林めぐみ	神魚	4-8291-2542-X	242	30-6	277	
199401	富士見ファンタジア文庫	甲竜伝説　ヴィルガスト　2. 朱鷺色の洞窟	あかほりさとる	西島克彦	4-8291-2543-8	243	39-4	225	
199401	富士見ファンタジア文庫	機械じかけの神々 (上)	五代ゆう	ゆうくりっど	4-8291-2544-6	244	43-2	269	
199401	角川スニーカー文庫	機動戦士Vガンダム　3 マリア・リーディング	富野由悠季	美樹本晴彦	4-04-410149-3	9250	0-21	321	旧整理番号：1-49
199401	角川スニーカー文庫	ラ・ピュセル (3)	渡邉由自	若菜等+Ki	4-04-410218-X	9251	2-18	283	
199401	角川スニーカー文庫	月光界シリーズ　5 大地の守護者	麻城ゆう	浅野真理	4-04-412808-1	9248	28-5	261	
199401	角川スニーカー文庫	月光界シリーズ　6 帝王の絆	麻城ゆう	浅野真理	4-04-412809-X	9249	28-6	239	
199401	角川スニーカー文庫	シェアード・ワールド・ノベルズ　妖魔夜行　悪夢ふたたび……	山本弘	青木邦夫	4-04-415202-0	9252	52-2	236	
199401	角川スニーカー文庫	ダークハンター	鳴海丈	細馬信一	4-04-415401-5	9253	54-1	224	
