発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199201	富士見ファンタジア文庫	ダンシィング・ウィズ・ザ・デビルス	庄司卓	田沼雄一郎	4-8291-2417-2	117	35-1	356	
199201	富士見ファンタジア文庫	羅刹王 6　修羅の章	六道慧	高田明美	4-8291-2424-5	124	10-13	252	
199201	富士見ファンタジア文庫	モンスターメーカー　ドラゴンライダー (下)	鈴木銀一郎	九月姫	4-8291-2425-3	125	36-2	229	
199201	富士見ファンタジア文庫	まさかな	小林めぐみ	加藤洋之＆後藤啓介	4-8291-2426-1	126	30-2	302	
199201	角川スニーカー文庫	問答無用のたからもの　3 これが天下の大当たり！	とまとあき、塚本裕美子	新谷かおる	4-04-412105-2	8470	21-5	219	
199201	角川スニーカー文庫	地獄使い　1 封印編	麻城ゆう	厦門潤	4-04-412801-4	8463	28-1	230	
199201	角川スニーカー文庫	サイバーナイト　漂流・銀河中心星域 (下)	山本弘、グループSNE	吉富昭仁、夢野れい、山本弘	4-04-460105-4	8462	601-5	316	
199201	角川スニーカー文庫	パンゲア 4	松枝蔵人	吉富昭仁	4-04-460308-1	8471	603-8	359	
199201	角川スニーカー文庫	雨の日はいつもレイン	川崎ぶら	吉田戦車	4-04-460901-2	8415	609-1	269	
199201	ソノラマ文庫	巫女さまカーニバル	飯野文彦	中野真紀子	4-257-76581-X	581	い- 1- 6	328	
199201	ソノラマ文庫	破嵐万丈　愛はシベリアから	富野由悠季	美樹本晴彦	4-257-76583-6	583	と 1-10	308	
199201	ソノラマ文庫	カルマの道　インナー・テラリスト (4)	岬兄悟	奥田万つ里	4-257-76584-4	584	み 1- 9	239	
199201	ソノラマ文庫	竜の後継者　かたゆでマック 2	藤原征矢	合田浩章	4-257-76585-2	585	ふ 4- 2	249	
199201	ソノラマ文庫	吸血鬼ハンター 別巻　Ｄ－昏い夜想曲	菊地秀行	天野喜孝	4-257-76586-0	586	き 1-31	298	
199201	ネオファンタジー文庫	緋王彷徨伝 1　激震の波涛	はままさのり	塩山紀生	4-8033-3703-9	1109		318	
199201	ネオファンタジー文庫	宝剣物語 4　極北の王	伊東麻紀	北村たもつ	4-8033-3771-3	1116		255	
199201	ネオファンタジー文庫	はるかなる旅路　宇宙船スロッピイ号の冒険	横田順彌	相沢まこと	4-8033-3863-9	1142		251	
199201	ネオファンタジー文庫	空ゆく風のルカシュ 1　流離の章	七条沙耶	みのおひなせ	4-8033-3864-7	1141		217	
199201	スーパーファンタジー文庫	花咲く帝王の樹々 (前編)	山田ミネコ	山田ミネコ	4-08-613041-6		や4-1	237	
199201	スーパーファンタジー文庫	迷宮を超えて　水の戦士たち 2	林一宏	アンベ幸	4-08-613042-4		は3-2	238	
199201	スーパーファンタジー文庫	闇に歌えば 2　青い翅の夢魔	瀬川貴次	藤川守	4-08-613043-2		せ1-2	238	
199201	スーパーファンタジー文庫	かげろう闘魔変	鳴海丈	藤田まり子	4-08-613044-0		な1-1	248	
199201	コバルト文庫	ユメミと銀のバラ騎士団　銀のメサイア	藤本ひとみ	しもがやぴくす、みらい戻	4-08-611599-9		ふ1-50	255	
199201	コバルト文庫	射手座の恋愛方程式	日向章一郎	みずき健	4-08-611600-6		ひ2-26	249	
199201	コバルト文庫	清蘭学院物語　恋のむこうはミステリアス	田中雅美	椅葵	4-08-611601-4		た1-41	229	
199201	コバルト文庫	片想園　天使のカノン 7	倉本由布	槇夢民	4-08-611602-2		く2-21	233	
199201	コバルト文庫	あなたがとても好きだから	久美沙織	藤臣柊子	4-08-611604-9		く1-42	273	
199201	コバルト文庫	ケイゾウ・アサキのデーモン・バスターズ　恋する瞳にナイトメア	小山真弓	後藤星	4-08-611605-7		こ3-6	233	
199201	X文庫ホワイトハート	地底宮の長い夜　クシアラータの覇王 4	高瀬美恵	麻々原絵里依	4-06-255045-8		たA-04	233	
199201	X文庫ホワイトハート	荒野に咲くべき花　エルンスター物語外伝	日野鏡子	碧也ぴんく	4-06-255046-6		ひA-06	188	
199201	X文庫ホワイトハート	最後のプレゼント	水沢菜穂子	遠野一生	4-06-255047-4		みB-02	221	
199201	X文庫ホワイトハート	相対性恋愛論	山内直海	九尾たかこ	4-06-255048-2		やA-01	202	
199201	X文庫ティーンズハート	恋人形はミステリー	織田加絵		4-06-198605-8		X102-20	238	
199201	X文庫ティーンズハート	どんなに強く抱きしめられても	若林真紀	糸井美和	4-06-198607-4		X108-21	219	
199201	X文庫ティーンズハート	あなたを忘れる魔法があれば	小林深雪	牧村久実	4-06-198609-0		こ2-9	220	旧整理番号：X154-9
199201	X文庫ティーンズハート	AGAIN　瞬間の中へ	倉橋燿子		4-06-198611-2		X91-41	220	
199201	X文庫ティーンズハート	ハッピーエンドを信じてる　聖カルミア学園シンデレラ・ガールズ	月森ふたみ	岩崎つばさ	4-06-198619-8		X165-1	253	
199201	ハヤカワ文庫ハイ！ブックス	トヴィウスの森の物語	井辻朱美	中山星香	4-15-110007-5	7		266	
199202	富士見ファンタジア文庫	大菩薩峠の要塞　二の巻　［守］甲州封鎖篇	朝松健	沢田一	4-8291-2427-X	127	29-3	264	
199202	富士見ファンタジア文庫	事件屋シン＆ダイ　スクラップ・ドリーマー	園田英樹	加藤洋之＆後藤啓介	4-8291-2428-8	128	9-3	256	
199202	富士見ファンタジア文庫	ユミナ戦記 II	吉岡平	春巻秋水	4-8291-2429-6	129	11-17	316	
199202	角川スニーカー文庫	ガイア・ギア 4	富野由悠季	大貫健一、伊東守	4-04-410126-4	8493	1-26	294	
199202	角川スニーカー文庫	魔界皇子　虎王伝 (2)　闇の救世主	井内秀治	南風見亮一郎	4-04-411805-1	8492	18-5	211	
199202	ソノラマ文庫	哀愁の私闘学園　私闘学園 7	朝松健	島本和彦	4-257-76587-9	587	あ 1-19	256	
199202	ソノラマ文庫	獅子と薔薇の銀河 4　地球燃ゆ	水沢蝶児	佐々木淳子	4-257-76588-7	588	み 4- 6	263	
199202	ソノラマ文庫	ブラディー・セイント女鬼 3	西谷史	若菜等	4-257-76589-5	589	に 2- 3	254	
199202	ネオファンタジー文庫	光の王子 3　怒れる神々の章	山下定	水樹れん＆リムSTAFF	4-8033-3960-0	1144		222	
199202	ネオファンタジー文庫	女戦士エフェ＆ジーラ 6　オカレスク大帝の夢	ひかわ玲子	服部あゆみ	4-8033-3961-9	1145		297	
199202	ネオファンタジー文庫	神剣伝説 1	大野香織子	沖麻実也	4-8033-3962-7	1146		254	
199202	ネオファンタジー文庫	機甲警察メタルジャック (上)	川崎ヒロユキ	内田順久	4-8033-3963-5	1147		234	
199202	スーパーファンタジー文庫	花咲く帝王の樹々 (後編)	山田ミネコ	山田ミネコ	4-08-613045-9		や4-2	255	
199202	スーパーファンタジー文庫	電脳遊撃手サナグ　バーチャル・ネットワーク	伊吹巡	宮越和草	4-08-613046-7		い1-1	248	
199202	スーパーファンタジー文庫	ゴーストナイト・コレクション　地蔵堂百目蝋燭	逢田悠	三木内麻耶	4-08-613047-5		あ1-1	249	
199202	ソノラマノベルス	サラマンダー殲滅　上	梶尾真治		4-257-01036-3			346	
199202	ソノラマノベルス	サラマンダー殲滅　下	梶尾真治		4-257-01037-1			349	
199202	ソノラマノベルス	比良坂ファイル幻の女　逆宇宙ハンター	朝松健		4-257-01038-X			220	
199202	コバルト文庫	いきなりミーハー大捜査	カトリーヌあやこ、落合ゆかり	カトリーヌあやこ	4-08-611603-0		か3-5	223	
199202	コバルト文庫	涙のミルフィーユボーイ	野原野枝実	いでまゆみ	4-08-611606-5		の1-2	213	
199202	コバルト文庫	ジョーカーは謎の旅案内人　星子　五つの恋の物語	山浦弘靖	服部あゆみ	4-08-611607-3		や1-41	235	
199202	コバルト文庫	ジェスの契約　後編	前田珠子	仁さとる	4-08-611608-1		ま2-15	267	
199202	コバルト文庫	恋の相談引き受けます	唯川恵	さえぐさじゅん	4-08-611609-X		ゆ1-26	221	
199202	コバルト文庫	リダーロイス・シリーズ (3)　扉を待つ姫	榎木洋子	由羅カイリ	4-08-611610-3		え1-3	221	
199202	コバルト文庫	赤ちゃんは救世主 3　最終戦争……	団龍彦	佐々木みすず	4-08-611611-1		た2-23	228	
199202	コバルト文庫	今宵ときめきスキャンダル　アイドル声優物語	一藤木杳子		4-08-611612-X		い1-12	199	
199202	コバルト文庫	闇の少女ユカリ	杉森京子	小和徳美	4-08-611613-8		す3-1	238	
199202	コバルト文庫	十五少女漂流記	有泉友貴		4-08-611614-6		あ8-1	233	
199202	X文庫ホワイトハート	セカンド・アニバーサリー	水野麻里	中山乃梨子	4-06-255049-0		みA-05	186	
199202	X文庫ホワイトハート	水の棲む場所	原田梨花	朔本敬子	4-06-255050-4		はC-01	201	
