発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198801	角川スニーカー文庫	伝説巨神イデオン　II 胎動編	富野由悠季	後藤隆幸	4-04-410119-1	6995	1-19	290	
198801	角川スニーカー文庫	ウルティマ妖魔変　第1部 水竜の章	西谷史	末弥純	4-04-410416-6	7002	4-16	205	
198801	ソノラマ文庫	黄金の国から来た男　球形のフィグリド (1)	鳥海永行	末弥純	4-257-76403-1	403	と 2- 7	318	
198801	ソノラマ文庫	ムーの大神　大神伝 1	六道慧	横井良輔	4-257-76404-X	404	り 1- 1	287	
198801	ソノラマ文庫	怪人魔天郎	飯野文彦	野口竜	4-257-76405-8	405	い- 1- 3	267	
198801	コバルト文庫	花のお祭り少年団	久美沙織	小林ぽんず	4-08-611115-2		088-Z	315	
198801	コバルト文庫	水の中のアリス	田中雅美	赤星たみこ	4-08-611116-0		081-Y	219	
198801	コバルト文庫	渡り廊下でハイヒール	正本ノン	いでまゆみ	4-08-611117-9		063-AA	250	
198801	コバルト文庫	とまどいラブロード	杉本りえ	高野葉子	4-08-611118-7		158-L	265	
198801	コバルト文庫	ラブ・トラブルにご用心	唯川恵	高橋比呂美	4-08-611119-5		169-K	218	
198801	コバルト文庫	まんが家マリナ黒鈴事件　愛よいま、風にかえれ (前編)	藤本ひとみ	谷口亜夢	4-08-611120-9		183-M	228	
198801	コバルト文庫	まんが家マリナ黒鈴事件　愛よいま、風にかえれ (後編)	藤本ひとみ	谷口亜夢	4-08-611121-7		183-L	246	
198801	コバルト文庫	抱きしめたい	島村洋子	阿部ゆたか	4-08-611122-5		190-H	238	
198801	コバルト文庫	いちばん好きだから	片桐里香	野口康弘、桜沢エリカ	4-08-611123-3		198-F	238	
198801	コバルト文庫	ピュアミント'88	図子慧	山崎博海	4-08-611124-1		203-E	267	
198801	コバルト文庫	み～んなブスがやめられない	青島美幸	つるとみ子	4-08-611125-X		143-E	225	
198801	X文庫ティーンズハート	素敵にイミテーション	小寺真理	秋本美紀	4-06-190141-9		X87-1	201	
198801	X文庫ティーンズハート	YAQ・BU女子マネ物語	林さわこ	ひうらさとる	4-06-190142-7		X88-1	204	
198801	X文庫ティーンズハート	銀色のボーイ	花井愛子	かわちゆかり	4-06-190143-5		X67-10	259	
198801	X文庫ティーンズハート	ラスト・ラブ・ソング　KAORI IN N.Y.	神戸あやか		4-06-190144-3		X68-8	229	
198801	X文庫ティーンズハート	夢の中のパセリへ	浦根絵夢	楠瀬敦子	4-06-190145-1		X82-3	214	
198802	角川スニーカー文庫	機動戦士ガンダム 逆襲のシャア　ベルト―チカ・チルドレン	富野由悠季	美樹本晴彦	4-04-410109-4	7031	0-13	376	旧整理番号：1-9
198802	角川スニーカー文庫	伝説巨神イデオン　III 発動編	富野由悠季	後藤隆幸	4-04-410120-5	7016	1-20	293	
198802	角川スニーカー文庫	ドリーム・トラベル　魔群惑星 (3)	渡邉由自	真鍋譲治	4-04-410203-1	7009	2-3	285	
198802	ソノラマ文庫	三万度Ｃの敵　オペレーションMM・シリーズ 2	安芸一穂	佐藤鉄也	4-257-76406-6	406	あ 2- 2	287	
198802	コバルト文庫	ハッピーエンドはＪｋの罠	山浦弘靖	服部あゆみ	4-08-611126-8		105-N	266	
198802	コバルト文庫	池猫中学探偵同好会 2　乙女心はノンストップ	岬兄悟	さえぐさじゅん	4-08-611127-6		139-D	257	
198802	コバルト文庫	Aqua　―水のある風景― 1	波多野鷹	川原由美子	4-08-611128-4		186-J	249	
198802	コバルト文庫	南子探偵クラブ 2　ホラーこわい！！	赤羽建美	柳田直美	4-08-611129-2		202-E	293	
198802	コバルト文庫	あのコとサスペンス	窪田僚	内田春菊	4-08-611130-6		085-J	225	
198802	コバルト文庫	ゴールラインでだきしめて	水城昭彦	星野かずみ	4-08-611131-4		102-G	257	
198802	コバルト文庫	坂の向こうの茜空	大和真也	逆井鋭二	4-08-611132-2		121-G	229	
198802	コバルト文庫	トライアングル・ウォーズ３　～三角関係大戦争～	名木田恵子		4-08-611133-0		054-M	226	
198802	X文庫ティーンズハート	私のカレは光源氏	みやもとじゅん	岩谷ノリエ	4-06-190140-0		X75-2	205	
198802	X文庫ティーンズハート	あい・らぶ・海賊くん	中尾まり	佐藤まり子	4-06-190147-8		X89-1	215	
198802	X文庫ティーンズハート	YOKOHAMA 2・14	花井愛子	さとう智子	4-06-190148-6		X67-11	231	
198802	X文庫ティーンズハート	うさぎのバレンタイン	神戸あやか		4-06-190149-4		X68-9	233	
198802	X文庫ティーンズハート	チョコレート・フェアリー	浦根絵夢		4-06-190150-8		X82-4	214	
198802	X文庫ティーンズハート	夢みるように、愛したい	折原みと	折原みと	4-06-190151-6		お1-01	185	旧整理番号：X90-1
198802	X文庫ティーンズハート	片恋物語	中島かほり	いでまゆみ	4-06-190152-4		X66-3	202	
198802	X文庫ティーンズハート	スウィート・リトル・ダーリン	倉橋燿子		4-06-190153-2		X91-1	209	
198803	角川スニーカー文庫	機動戦士ガンダムZZ　第1部 ジュドー・アーシタ	遠藤明範　原案：富野由悠季	美樹本晴彦	4-04-410121-3	7086	0-11	294	旧整理番号：1-21
198803	角川スニーカー文庫	機動戦士ガンダムZZ　第2部 ニュータイプ	遠藤明範　原案：富野由悠季	美樹本晴彦	4-04-410122-1	7087	0-12	380	旧整理番号：1-22
198803	角川スニーカー文庫	二十二歳　季節がひとつ過ぎていく	唯川恵	高口里純	4-04-430101-8	7041	301-1	273	
198803	角川スニーカー文庫	黄金拍車 (1)　異次元騎士カズマ	王領寺静	安彦良和	4-04-430201-4	7061	302-1	341	
198803	角川スニーカー文庫	SPEAK EASYの魚たち	久美沙織	藤臣柊子	4-04-430301-0	7042	303-1	292	
198803	角川スニーカー文庫	彼女によろしく	小室みつ子	小室みつ子、見瀬理恵子	4-04-430401-7	7007	304-1	258	
198803	角川スニーカー文庫	好きにならずにいられない	島村洋子	秋里和国	4-04-430501-3	7060	305-1	259	
198803	角川スニーカー文庫	両面テープのお嬢さん	新津きよみ	弓月光	4-04-430601-X	7043	306-1	280	
198803	角川スニーカー文庫	水曜日にまた逢おう	小林弘利	橋本正枝	4-04-430701-6	7044	307-1	284	
198803	角川スニーカー文庫	真夏日、ウインディ	窪田僚	高田明美	4-04-430802-0	7045	308-2	302	
198803	角川スニーカー文庫	湘南ドラゴン伝説 I	新田正明	村田順子	4-04-430901-9	7046	309-1	240	
198803	角川スニーカー文庫	由麻くん、松葉くずしはまだ早い	越沼初美	美樹本晴彦	4-04-431002-5	7053	310-2	257	
198803	角川スニーカー文庫	スティゴールド	野沢尚　原作：川原由美子		4-04-431201-X	7075	312-1	180	
198803	角川スニーカー文庫	九月、雨あがりの街角で	正本ノン	秋本尚美	4-04-431301-6	7076	313-1	321	
