発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198201	ソノラマ文庫	アンデス城塞の黄金	在沢伸	金森達	4-257-76199-7	199	2-A	250	
198201	コバルト文庫	通りすがりのレイディ	新井素子	竹宮恵子、長尾治	4-08-610466-0		075-D	273	
198201	コバルト文庫	あした・出会った・少女	森下一仁		4-08-610467-9		092-B		
198201	コバルト文庫	とってもシンドローム	久美沙織	峯村良子	4-08-610468-7		088-B	260	
198201	コバルト文庫	麦ちゃんのヰタ・セクスアリス 5	立原あゆみ		4-08-610469-5		078-E		
198201	コバルト文庫	麦ちゃんのヰタ・セクスアリス 6	立原あゆみ		4-08-610470-9		078-F		
198202	コバルト文庫	ファースト・ラブ　「初恋」小説集	編：中田耕治		4-08-610471-7		097-A		
198202	コバルト文庫	夜明けのハーバーライト	上条由紀		4-08-610472-5		019-J		
198202	コバルト文庫	直指庵より愛をこめて　京都嵯峨野「想い出草ノート」	小田芳隆		4-08-610473-3		098-A		
198202	コバルト文庫	三原順子　激しく、そして心のままに…	吹上流一郎		4-08-610474-1		053-F		
198202	コバルト文庫	2年B組仙八先生 3	若桜木虔　原作：重森孝子		4-08-610475-X		049-S		
198202	コバルト文庫	小説!!!　ルパン三世	辻真先　原作：モンキー・パンチ		4-08-610476-8		066-C		
198203	ソノラマ文庫	伝説巨神イデオン II　胎動編	富野喜幸	湖川友謙	4-257-76200-4	200	と 1- 5	254	
198203	ソノラマ文庫	氷河０年	今日泊亜蘭	依光隆	4-257-76201-2	201	12-C	218	
198203	ソノラマ文庫	ゴースト・ハンター (1)　呪いの国の悪鬼	塩谷隆志	佐竹美保	4-257-76202-0	202	19-K	249	
198203	ソノラマ文庫	真・デビルマン IV	永井泰宇　原作：永井豪	永井豪	4-257-76203-9	203	な 1- 4	282	
198203	コバルト文庫	たいへんだァ青春	佐藤愛子		4-08-610477-6		006-G		
198203	コバルト文庫	キャリア・ブック　職業カタログ	編：L・L・Dセンター		4-08-610478-4		074-E		
