発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
197901	ソノラマ文庫	禁断星域の伝説	清水義範	加藤直之	4-257-76125-3	125	20-D	218	
197901	ソノラマ文庫	豪華客船危機一髪　サウンド・ハンター (5)	和田頴太	山野辺進	4-257-76126-1	126	57-E	251	
197901	コバルト文庫	青い欲望	富島健夫		4-08-610249-8		001-AR		
197901	コバルト文庫	ひとを愛するとき (上)	吉田とし		4-08-610250-1		003-P		
197901	コバルト文庫	わたしは青い実	川上宗薫		4-08-610251-X		009-J		
197901	コバルト文庫	木曽路絶唱	赤松光夫		4-08-610252-8		010-M		
197901	コバルト文庫	ユーモア小説アンソロジー　肩をならべて	大木圭		4-08-610253-6		031-E		
197901	コバルト文庫	北国の空は涙色	柳川創造		4-08-610254-4		022-E		
197902	ソノラマ文庫	天国探偵局	加納一朗	祐天寺三郎	4-257-76127-X	127	8-L	252	
197902	ソノラマ文庫	死を歌う天狗	風見潤	津田耕	4-257-76128-8	128	6-B	250	
197902	コバルト文庫	ふたりの星座	富島健夫		4-08-610255-2		001-AS		
197902	コバルト文庫	きみはなぜ青い花を見たのか	佐伯千秋		4-08-610256-0		002-AE		
197902	コバルト文庫	ひとを愛するとき (下)	吉田とし		4-08-610257-9		003-Q		
197902	コバルト文庫	はるかなり冬子の幸	藤木靖子		4-08-610258-7		011-H		
197902	コバルト文庫	青春の掟	諸星澄子		4-08-610259-5		020-E		
197902	コバルト文庫	封切版！キャンパス大事典	編：吹上流一郎		4-08-610260-9		053-B		
197903	ソノラマ文庫	さらば宇宙戦鑑ヤマト (1)	構成：西崎義展		4-257-76123-7	123	86-D	238	
197903	ソノラマ文庫	さらば宇宙戦鑑ヤマト (2)	構成：西崎義展		4-257-76124-5	124	86-E	222	
197903	コバルト文庫	海と椿のプレリュード	清川妙		4-08-610261-7		007-M		
197903	コバルト文庫	続々ヤング・ラブノート　さまよえる青春	赤松光夫		4-08-610262-5		010-N		
197903	コバルト文庫	ベルサイユのばら	草鹿宏　原作：池田理代子		4-08-610263-3		027-E		
197903	コバルト文庫	盗まれた超高層ホテル	若桜木虔		4-08-610264-1		049-E		
197903	コバルト文庫	春の別れ	落合恵子		4-08-610265-X		056-A		
197903	コバルト文庫	かげりゆく光の中で	板坂耀子		4-08-610266-8		057-A		
197904	コバルト文庫	おさな妻	富島健夫		4-08-610267-6		001-AT		
197904	コバルト文庫	青春の軌跡	吉田とし		4-08-610268-4		003-R		
197904	コバルト文庫	海は少女を見たか	三木澄子		4-08-610269-2		004-O		
197904	コバルト文庫	白い蝶の涙	上条由紀		4-08-610270-6		019-F		
197904	コバルト文庫	続・ドキュメント学園事件簿　ひとりぼっちの荒野	南英男		4-08-610271-4		043-D		
197904	コバルト文庫	ねこひきのオルオラネ	夢枕獏		4-08-610272-2		058-A		
197905	ソノラマ文庫	エスパー・オートバイ苦戦す	塩谷隆志	祐天寺三郎	4-257-76129-6	129	19-B	254	
197905	ソノラマ文庫	SFドラマ殺人事件	辻真先	畑農照雄	4-257-76130-X	130	つ 1- 8	218	
197905	ソノラマ文庫	時の首飾り	吉津實	城ノ内あずま	4-257-76131-8	131	11-C	254	
197905	コバルト文庫	荒野の星（上）	富島健夫		4-08-610273-0		001-AU		
197905	コバルト文庫	青い愛　黄の愛	佐伯千秋		4-08-610274-9		002-AF		
197905	コバルト文庫	夏の日のかなしみ	川上宗薫		4-08-610275-7		009-K		
197905	コバルト文庫	その階段をのぼって愛へ	桐村杏子		4-08-610276-5		012-F		
197905	コバルト文庫	アトリエ殺人事件	高原弘吉		4-08-610277-3		059-A		
197905	コバルト文庫	詩集：ラブ・コレクション	藤公之介		4-08-610278-1		060-A		
197906	ソノラマ文庫	クラッシャージョウ 6　人面魔獣の挑戦	高千穂遙	安彦良和	4-257-76132-6	132	た 1- 6	350	
197906	ソノラマ文庫	異次元海峡	光瀬龍	中山正美	4-257-76133-4	133	45-F	222	
197906	ソノラマ文庫	黄金惑星の伝説	清水義範	加藤直之	4-257-76134-2	134	20-E	222	
197906	コバルト文庫	荒野の星 (下)	富島健夫		4-08-610279-X		001-AV		
197906	コバルト文庫	総集編 私は13歳	ジョン＆ジェーン・ローリングス　編・訳：草鹿宏		4-08-610280-3		027-F		
197906	コバルト文庫	砂糖細工の舟	名木田恵子		4-08-610281-1		054-B		
197906	コバルト文庫	フィフティーン	吉田とし		4-08-610282-X		003-S		
197906	コバルト文庫	ラブラブ劣等生	柳川創造		4-08-610283-8		022-F		
197906	コバルト文庫	アポロンの剣闘士	若桜木虔		4-08-610284-6		049-F		
197907	ソノラマ文庫	月光、魔鏡を射る時	鳥海永行	依光隆	4-257-76135-0	135	35-A	218	
197907	ソノラマ文庫	古都に棲む鬼女	風見潤	武部本一郎	4-257-76136-9	136	6-C	222	
197907	コバルト文庫	海色の愛が見えますか	佐伯千秋		4-08-610285-4		002-AG		
197907	コバルト文庫	水瓶座の少女	野呂邦暢		4-08-610286-2		042-B		
197907	コバルト文庫	愛の体験手記　First Love Lost Love	編：藤木靖子		4-08-610287-0		011-I		
197907	コバルト文庫	もうひとりのアンネ・フランクの記録　マーシャの日記	マーシャ・ロリニカイテ　訳：内村剛介		4-08-610288-9		061-A		
197907	コバルト文庫	小鳥 飛んでみた	飯田智		4-08-610289-7		024-B		
197907	コバルト文庫	昼顔の挽歌	清川妙		4-08-610290-0		007-N		
197907	コバルト文庫	銀河鉄道999	若桜木虔　原作・監修：松本零士		4-08-610291-9		049-G		
197908	ソノラマ文庫	名探偵は千秋楽に謎を解く	戸松淳矩	千葉督太郎	4-257-76137-7	137	32-A	281	
197908	ソノラマ文庫	魔界剣士タケル	宮崎惇	窪詔之	4-257-76138-5	138	47-B	250	
197908	コバルト文庫	15歳　いのちの日記	飯田公靖		4-08-610292-7		062-A		
197908	コバルト文庫	遠い花火	三木澄子		4-08-610293-5		004-P		
197908	コバルト文庫	吐きだされた煙はため息と同じ長さ	正本ノン	金子優	4-08-610294-3		063-A		
197908	コバルト文庫	特選ユーモア小説集　もう一人のあなた	大木圭		4-08-610295-1		031-F		
197908	コバルト文庫	海外版 怪奇ファンタジー傑作選	編：武田武彦		4-08-610296-X		045-C		
197909	ソノラマ文庫	快傑G・ライヤーの決戦	石川英輔	宮武一貴	4-257-76139-3	139	6-B	222	
197909	ソノラマ文庫	半透明人間の逆襲	加納一朗	祐天寺三郎	4-257-76140-7	140	8-M	254	
197909	コバルト文庫	宇宙戦艦ヤマト　新たなる旅立ち	若桜木虔　原案：西崎義展		4-08-610297-8		049-H		
197909	コバルト文庫	また会う日に	富島健夫		4-08-610298-6		001-AW		
197909	コバルト文庫	愛してるなんてとても言えない	片岡義男		4-08-610299-4		050-B		
197909	コバルト文庫	LOVE COMEDY　オトコがほしい！	佐々木守		4-08-610300-1		025-D		
197909	コバルト文庫	愛の花ことば　花の伝説	内山登美子		4-08-610301-X		064-A		
197909	コバルト文庫	ぶるうハイスクール	上条逸雄		4-08-610302-8		013-D		
197910	ソノラマ文庫	あばよ！明日の由紀	光瀬龍	中山正美	4-257-76141-5	141	45-G	222	
197910	ソノラマ文庫	不死人類の伝説	清水義範	加藤直之	4-257-76142-3	142	20-F	218	
197910	コバルト文庫	不死鳥飛ぶ	三木澄子				004-Q		
197910	コバルト文庫	神様なぜ愛にも国境があるの	草鹿宏		4-08-610303-6		027-G		
197910	コバルト文庫	腕の中で朝まで眠れ	南英男		4-08-610304-4		043-E		
