発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199601	電撃文庫	海の城・山の城	藍野香織	米田仁士	4-07-303752-8	0102	あ-3-1	364	
199601	電撃文庫	ある日、どこかのダンジョンで <上>	G・コスティキアン　訳：安田均、石口聖子	吉富昭仁	4-07-303947-4	0100	こ-2-1	263	
199601	電撃文庫	五霊闘士オーキ伝 (3)　兵魔戦士再襲！	土門弘幸	よしみる	4-07-304102-9	0101	と-3-3	301	
199601	電撃文庫	神王伝説クリスタニア <上>	白井英　原作：水野良	宝谷幸稔	4-07-304119-3	0099	し-4-1	245	
199601	富士見ファンタジア文庫	ソーサル・ブラスバンド　やつらは大乱調！	山下定	むっちりむうにい	4-8291-2662-0	362	59-2	309	
199601	富士見ファンタジア文庫	宇宙一の無責任男シリーズ　外伝 (6)　我が名はヤマモト	吉岡平	平田智浩	4-8291-2663-9	363	11-33	232	
199601	富士見ファンタジア文庫	魔法少女プリティサミー　高気圧少女編	黒田洋介	羽音たらく (スタジオ・オルフェ)	4-8291-2665-5	365	45-7	250	
199601	富士見ファンタジア文庫	太陽超神サンライザー　正義の巨人は大迷惑	とまとあき、塚本裕美子	西川秀明	4-8291-2666-3	366	14-7	196	
199601	富士見ファンタジア文庫	それゆけ！宇宙戦艦ヤマモト・ヨーコopt.2　寂しがりやのブロッサム	庄司卓	赤石沢貴士	4-8291-2668-X	368	35-19	269	
199601	角川スニーカー文庫	パワードール	柿沼秀樹		4-04-411018-2	9895	10-18	307	
199601	角川スニーカー文庫	MAZE☆爆熱時空 外伝　比翼の兄弟	あかほりさとる	菅沼栄治	4-04-412716-6	9893	27-26	227	
199601	角川スニーカー文庫	アルス・マグナ　5 魔王の降臨	千葉暁、伸童舎チームA.M.	小林智美	4-04-412905-3	9897	29-5	294	
199601	角川スニーカー文庫	卒業～クロスワールド　出会いはメロディアス	三浦徹也	四季童子	4-04-417101-7	9898	71-1	211	
199601	角川スニーカー・G文庫	月を追うものたち　ガープス・ルナル・アドベンチャー	友野詳、グループSNE		4-04-461433-4	9900	881-9	459	
199601	角川スニーカー・G文庫	ガープス・リング★ドリーム・リプレイ　少女たちのテンカウント	泥士朗、実験室	安西真	4-04-488402-1	9899	884-2	263	
199601	ログアウト冒険文庫	イースV　さまよえる砂の都 [上]	大場惑	池上明子	4-89366-454-9	LB-114		285	
199601	ログアウト冒険文庫	大地母神　[2] ひいな	日野鏡子	大貫健一	4-89366-455-7	LB-115		248	
199601	ソノラマ文庫	リバティ・ランドの鐘	秋山完	鈴木雅久	4-257-76760-X	760	あ 6- 2	292	
199601	ソノラマ文庫	わたしのファルコン 5	夏見正隆	中嶋敦子	4-257-76766-9	766	な 4- 5	330	
199601	スーパーファンタジー文庫	野郎！　―戦国のヴァンパイア― <参>	花衣沙久羅	里中守	4-08-613203-6		か2-13	317	
199601	スーパーファンタジー文庫	光の双樹　ソウル・ファクトリー 3	野間ゆかり	真東砂波	4-08-613204-4		の1-3	243	
199601	スーパーファンタジー文庫	聖ベリアーズ騎士団！	霜島ケイ	美剣綾子	4-08-613205-2		し1-4	309	
199601	スーパーファンタジー文庫	呪願	藤原京	小野双葉	4-08-613206-0		ふ4-7	218	
199601	スーパークエスト文庫	マクロスプラス VOL.1	信本敬子	魔砂雪	4-09-440016-8		の2-1	195	
199601	スーパークエスト文庫	聖剣エクスカリバー VOL.3　神々の黄昏	渓由葵夫	木村明広	4-09-440363-9		た3-3	195	
199601	ゲーメストZ文庫	ヴァンパイアハンター外伝 レイレイ編　終わらない春	嬉野秋彦	桜瀬琥姫	4-88199-215-5	004		237	
199601	C★NOVELS ファンタジア	蝶々夫人の事件簿 1	六道慧		4-12-500392-0		り1-6	230	
199601	C★NOVELS ファンタジア	白狼綺伝　2 神狼記昔語り 精霊王の琵琶	斉城昌美		4-12-500393-9		さ1-10	283	
199601	C★NOVELS ファンタジア	熱砂の記憶 マインド・チェイサー 3	神無月ふみ		4-12-500394-7		か3-3	222	
