発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198301	ソノラマ文庫	吸血鬼ハンター 1　吸血鬼ハンター “Ｄ”	菊地秀行	天野喜孝	4-257-76225-X	225	き 1- 2	282	
198301	ソノラマ文庫	ミス・キャンパスを探せ	吉津實	浅里道晴	4-257-76226-8	226	11-I	220	
198301	コバルト文庫	カレンダー・ガール	新井素子	竹宮恵子、長尾治	4-08-610537-3		075-E	290	
198301	コバルト文庫	ざ・ちぇんじ！ (前編)　新釈とりかえばや物語	氷室冴子	峯村良子	4-08-610538-1		052-J	239	
198301	コバルト文庫	きみの瞳にギャラクシイ	久美沙織	白鳥瑞江	4-08-610539-X		088-E	255	
198301	コバルト文庫	夢の色にそめて	田中雅美	土居淳男	4-08-610540-3		081-E		
198301	コバルト文庫	初恋セレナーデ	正本ノン	つるとみ子	4-08-610541-1		063-E		
198301	コバルト文庫	マイ ディア スウィート	窪田僚		4-08-610542-X		085-D		
198301	コバルト文庫	ニャンニャンブック　仔猫のファンタジー		写真：内山晟	4-08-610543-8		114-A		
198302	ソノラマ文庫	宇宙戦艦ヤマト　完結編 (1)	構成：西崎義展		4-257-76224-1	224	86-H	226	
198302	ソノラマ文庫	わが青春のアルカディア　無限軌道SSX (1)	井口佳江子　原作：松本零士		4-257-76227-6	227	87-B	218	
198302	ソノラマ文庫	殺意の一球	島崎信房	角田純男	4-257-76228-4	228	22-A	282	
198302	コバルト文庫	ざ・ちぇんじ！ (後編)　新釈とりかえばや物語	氷室冴子	峯村良子	4-08-610544-6		052-K	243	
198302	コバルト文庫	六神合体ゴッドマーズ 3	藤川桂介　原案：横山光輝		4-08-610545-4		072-H		
198302	コバルト文庫	わが青春のアルカディア　無限軌道SSX 2	山浦弘靖　原作：松本零士		4-08-610546-2		105-B	233	
198302	コバルト文庫	3年B組貫八先生 3	岩間芳樹		4-08-610547-0		104-C		
198302	コバルト文庫	決定版　少林寺	編：杉目宏明、名田貴好、瑶琳		4-08-610548-9		074-F		
198303	ソノラマ文庫	クラッシャージョウ 7　美しき魔王	高千穂遙	安彦良和	4-257-76176-8	176	た 1- 7	362	
198303	ソノラマ文庫	宇宙戦艦ヤマト　完結編 (2)	構成：西崎義展		4-257-76230-6	230	86-I	228	
198303	ソノラマ文庫	X13号を追え	野町祥太郎	田村能里子	4-257-76231-4	231	40-A	254	
198303	コバルト文庫	オルフェウスの窓 1	上条由紀　原作：池田理代子		4-08-610549-7		019-L	219	
198303	コバルト文庫	心がカゼをひいたら	武田鉄矢	安田三恵	4-08-610550-0		115-A	287	
198303	コバルト文庫	宇宙戦艦ヤマト完結編　(下)	若桜木虔　原案：西崎義展		4-08-610551-9		049-X	241	
198303	コバルト文庫	アニメNOW　テレビアニメーション全科	杉山卓		4-08-610552-7		070-J	253	
198303	コバルト文庫	実録ドキュメント　赤と黒の青春	吹上流一郎		4-08-610553-5		053-H	247	
198303	コバルト文庫	早くおとなになりたい	南英男		4-08-610554-3		043-N	259	
198303	集英社文庫コバルトY.A.シリーズ	エンジェル・ダスト・ブルース	トッド・ストラッサー　訳：橘高弓枝		4-08-610555-1		116-A	300	
198303	集英社文庫コバルトY.A.シリーズ	非行少年	S・E・ヒントン　訳：中田耕治		4-08-610556-X		097-B	220	
198304	ソノラマ文庫	赤い炎の暗殺者　スペース・レインジャー (3)	仁賀克雄	宮本貞雄	4-257-76232-2	232	21-G	222	
198304	ソノラマ文庫	虹色の地獄　映画版クラッシャージョウ	高千穂遙	安彦良和	4-257-76233-0	233	た 1- 8	362	
198304	コバルト文庫	逃げ姫	眉村卓	小沢和夫	4-08-610557-8		117-A	269	
198304	コバルト文庫	恋の途中下車	落合恵子		4-08-610558-6		056-C	221	
198304	コバルト文庫	アニメキャラ大全集	編：鳴海丈		4-08-610559-4		118-A	307	
198304	コバルト文庫	銀河創世紀伝 1　聖戦士キリー	藤川桂介		4-08-610560-8		072-I	247	
198304	コバルト文庫	BOYS BE　夏くん!!	立原あゆみ		4-08-610561-6		078-L	223	
198304	コバルト文庫	BOYS BE　夏くん!! 2	立原あゆみ		4-08-610562-4		078-M	221	
198304	集英社文庫コバルトY.A.シリーズ	テックス	S・E・ヒントン　訳：坂崎麻子		4-08-610563-2		119-A	282	
