発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199001	富士見ファンタジア文庫	不死朝伝奇ZEQU　五の巻　黄泉帝国の崩壊	武上純希	橋本正枝	4-8291-2344-3	44	5-5	224	
199001	富士見ファンタジア文庫	スレイヤーズ！	神坂一	あらいずみるい	4-8291-2345-1	45	20-1	259	[第1回ファンタジア長編小説大賞＜準入選＞]
199001	富士見ファンタジア文庫	ソード・ワールド短編集　レプラコーンの涙	水野良、山本弘、下村家惠子　編集：安田均	米田仁士	4-8291-2346-X	46	21-1	297	
199001	角川スニーカー文庫	魔獣戦士ルナ・ヴァルガー　(7) 風雲	秋津透	あろひろし	4-04-410507-3	7755	5-7	301	
199001	角川スニーカー文庫	古代幻視行 姫巫女 2　神の島の天照鏡	武上純希	いのまたむつみ	4-04-411302-5	7767	13-2	232	
199001	角川スニーカー文庫	血けむり南蛮城　AOIウォーズ	大野木寛	細野不二彦	4-04-411401-3	7771	14-1	269	
199001	角川スニーカー文庫	キッドナップ・ナイト　ファンタスティック・サスペンス	小林弘利	MEIMU	4-04-430704-0	7762	307-4	237	
199001	角川スニーカー文庫	時の果てのフェブラリー　赤方偏移世界	山本弘	結城信輝	4-04-460102-X	7747	601-2	288	
199001	角川スニーカー文庫	ティラノ　剣狼伝説魔空界編 4	園田英樹	羽原信義	4-04-470105-9	7769	701-5	289	
199001	ソノラマ文庫	小角伝説　飛鳥霊異記　大神伝・外伝	六道慧	小林智美	4-257-76505-4	505	り 1- 6	251	
199001	ソノラマ文庫	黄泉の魔天楼　逆宇宙レイザース　4	朝松健	末弥純	4-257-76506-2	506	あ 1-13	270	
199001	ソノラマ文庫	ブラディー・セイント女鬼 1	西谷史	若菜等	4-257-76507-0	507	に 2- 1	254	
199001	コバルト文庫	［ダイヤ］ストレートは京都恋殺人	山浦弘靖	服部あゆみ	4-08-611366-X		105-Y	254	
199001	コバルト文庫	星苑学園恋愛レポート　光と風のロマンス	藤本ひとみ	石井房恵	4-08-611367-8		183-AC	234	
199001	コバルト文庫	牡羊座は教室の星つかい	日向章一郎	みずき健	4-08-611368-6		192-N	233	
199001	コバルト文庫	鏡の中のれもん (3)	久美沙織	もとなおこ	4-08-611369-4		088-AI	209	
199001	コバルト文庫	あいつ 3	正本ノン	いでまゆみ	4-08-611370-8		063-AF	245	
199001	コバルト文庫	赤い靴探偵団 7　帰ってきた女神	田中雅美	たかのちはる	4-08-611371-6		081-AH	205	
