発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200901	電撃文庫	とらドラ・スピンオフ2！　虎、肥ゆる秋	竹宮ゆゆこ	ヤス	978-4-04-867459-1	1702	た-20-13	337	
200901	電撃文庫	獅子の玉座＜レギウス＞ III　妖精楽園	マサト真希	双羽純	978-4-04-867460-7	1703	ま-7-10	369	
200901	電撃文庫	空ろの箱と零のマリア	御影瑛路	415	978-4-04-867461-4	1704	み-8-4	331	
200901	電撃文庫	バッカーノ！1931　臨時急行編　Another Junk Railroad	成田良悟	エナミカツミ	978-4-04-867462-1	1705	な-9-29	285	
200901	電撃文庫	カクレヒメ 2	佐竹彬	草野ほうき	978-4-04-867463-8	1706	さ-11-7	297	
200901	電撃文庫	オオカミさんと洗濯中の天女の羽衣	沖田雅	うなじ	978-4-04-867464-5	1707	お-8-13	263	
200901	電撃文庫	“不思議”取り扱います　付喪堂骨董店 5	御堂彰彦	タケシマサトシ	978-4-04-867465-2	1708	お-9-8	331	
200901	電撃文庫	らでぃかる☆ぷりんせす！	周防ツカサ	赤人	978-4-04-867466-9	1709	す-8-7	275	
200901	電撃文庫	プシュケの涙	柴村仁	也	978-4-04-867467-6	1710	し-9-10	270	
200901	電撃文庫	電波女と青春男	入間人間	ブリキ	978-4-04-867468-3	1711	い-9-7	283	
200901	電撃文庫	繭の少女と街の防人 2	栗府二郎	堺はまち	978-4-04-867469-0	1712	く-1-10	231	
200901	電撃文庫	Kaguya 3　～月のウサギの銀の箱舟～	鴨志田一	葵久美子	978-4-04-867470-6	1713	か-14-6	324	
200901	電撃文庫	静野さんとこの蒼緋	水鏡希人	夕仁	978-4-04-867480-5	1714	み-13-2	333	
200901	電撃ゲーム文庫	ガンパレード・マーチ　九州奪還 5	榊涼介	きむらじゅんこ	978-4-04-867491-1	1715	J17-23	385	
200901	富士見ファンタジア文庫	生徒会の四散　碧陽学園生徒会議事録 4	葵せきな	狗神煌	978-4-8291-3366-8	1508	あ-3 1-4	318	
200901	富士見ファンタジア文庫	いつか天魔の黒ウサギ 2　《月》が昇る昼休み	鏡貴也	榎宮祐	978-4-8291-3367-5	1509	か-4 5-2	299	
200901	富士見ファンタジア文庫	スレイヤーズすまっしゅ。 2　アカデミー・フェスタ	神坂一	あらいずみるい	978-4-8291-3369-9	1511	か-1 3-2	230	
200901	富士見ファンタジア文庫	これはゾンビですか？ 1　はい、魔装少女です	木村心一	こぶいち、むりりん	978-4-8291-3370-5	1512	き-3 1-1	282	[第20回ファンタジア長編小説大賞＜佳作＞]
200901	富士見ファンタジア文庫	おあいにくさま二ノ宮くん 7	鈴木大輔	高苗京鈴	978-4-8291-3371-2	1513	す-1 2-7	300	
200901	富士見ファンタジア文庫	蒼穹のカルマ 1	橘公司	森沢晴行	978-4-8291-3372-9	1514	た-4 1-1	286	[第20回ファンタジア長編小説大賞＜準入選＞]
200901	富士見ファンタジア文庫	影執事マルクの迎撃	手島史詞	COMTA	978-4-8291-3373-6	1515	て-1 1-2	333	
200901	富士見ファンタジア文庫	覇者の三剣 2	十月ユウ	天野英	978-4-8291-3374-3	1516	と-1 1-2	286	
200901	角川スニーカー文庫	コードギアス　反逆のルルーシュ R2　ナイトオブラウンズ	岩佐まもる　原案：大河内一楼、谷口悟朗	玲衣	978-4-04-422317-5	15498	201-15	201	
200901	角川スニーカー文庫	ダンタリアンの書架 2	三雲岳斗	Gユウスケ	978-4-04-424114-8	15494	123-22	260	
200901	角川スニーカー文庫	戦闘城塞マスラヲ　Vol.5 川村ヒデオの帰還	林トモアキ	上田夢人	978-4-04-426618-9	15495	150-15	461	
200901	角川スニーカー文庫	ムシウタbug　8th. 夢架ける銀蝶	岩井恭平	るろお	978-4-04-428821-1	15496	163-58	316	
200901	角川スニーカー文庫	ムゲンのセンカ 1	六塚光	真田鈴	978-4-04-470716-3	15497	179-21	297	
200901	角川スニーカー文庫	マクロスフロンティア　Vol.3 アナタノオト	小太刀右京	江端里沙、青木ハヤト	978-4-04-473803-7	15499	206-3	391	
200901	ファミ通文庫	コラボアンソロジー 3　まじしゃんず・あかでみい	田口仙年堂、櫂末高彰、古橋秀之、葛西伸哉、日日日	BLADE、日向悠二、甘福あまね、内藤隆、うなじ、x6suke	978-4-7577-4581-0	842	こ1 1-3	319	
200901	ファミ通文庫	ファイナルファンタジーXI　アンソロジー短編集　みんなで大冒険!!	はせがわみやび、田口仙年堂、高殿円	金田榮路、皆川史生、UZU	978-4-7577-4586-5	843	F3 2-1	311	
200901	ファミ通文庫	ギャルゲヱの世界よ、ようこそ！	田尾典丈	有河サトル	978-4-7577-4646-6	838	た8 1-1	305	[第10回エンターブレインえんため大賞＜優秀賞＞]
200901	ファミ通文庫	耳刈ネルリ御入学万歳万歳万々歳	石川博品	うき	978-4-7577-4647-3	839	い4 1-1	344	[第10回エンターブレインえんため大賞＜優秀賞＞]
200901	ファミ通文庫	ガーゴイルおるたなてぃぶ ZERO	田口仙年堂	日向悠二	978-4-7577-4648-0	840	た1 3-5	250	
