発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198701	ソノラマ文庫	不透明人間の挑戦　幻想探偵社シリーズ (3)	清水義範	畑農照雄	4-257-76365-5	365	20-X	252	
198701	ソノラマ文庫	天界に幸多からんことを　ハイスピード・ジェシー・スペシャル (1)	斉藤英一朗	美樹本晴彦	4-257-76366-3	366	さ 1-10	252	
198701	コバルト文庫	KINGの頬をはりとばせ！	久美沙織	佐藤道明	4-08-611009-1		088-U	265	
198701	コバルト文庫	グッバイ・アリス	田中雅美	赤星たみこ	4-08-611010-5		081-U	219	
198701	コバルト文庫	いつか恋のように	正本ノン	久保恵子	4-08-611011-3		063-W	229	
198701	コバルト文庫	時の向こうに	杉本りえ		4-08-611012-1		158-H	241	
198701	コバルト文庫	１／２タイムの恋人	唯川恵	さえぐさじゅん	4-08-611013-X		169-G	250	
198701	コバルト文庫	花織高校恋愛スキャンダル　さくらんぼ聖書	藤本ひとみ	鈴木奈つき	4-08-611014-8		183-G	278	
198701	コバルト文庫	お化粧伝説 ぱーと2	島村洋子	峯村良子	4-08-611015-6		190-D	225	
198701	コバルト文庫	赤い火星の渡り鳥	片桐里香	野口康弘	4-08-611016-4		198-B	238	
198701	X文庫ティーンズハート	ときめいてチャンピオン	高岡みちしげ	一本木蛮	4-06-190077-3		X57-1	222	
198701	X文庫ティーンズハート	風より元気!!	三好礼子	後藤ユタカ	4-06-190078-1		X58-1	235	
198701	X文庫ティーンズハート	少女探偵に明日はない	森脇道	吉田秋生	4-06-190079-X		X59-1	222	
198701	X文庫ティーンズハート	テルアキ　風のチェッカー・フラッグ	矢沢翔	江口寿史	4-06-190080-3		X60-1	246	
198701	X文庫ティーンズハート	初恋・スクーターロード	吉田ちか	宇海冬香	4-06-190081-1		X61-1	254	
198702	ソノラマ文庫	極道戦士、翔ぶ！　クレージー・リー 1	渡邉由自	加藤洋之＆後藤啓介	4-257-76367-1	367	わ 1- 8	254	
