発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
197701	ソノラマ文庫	さいごの番長	吉岡道夫	依光隆	4-257-76059-1	59	56-B	251	
197701	ソノラマ文庫	走れ、はやて	相良俊輔	依光隆	4-257-76060-5	60	18-A	218	
197701	ソノラマ文庫	白蝋仮面	横溝正史	田村元	4-257-76061-3	61	54-I	251	
197701	コバルト文庫	湖は慕っている	富島健夫				001-O		
197701	コバルト文庫	ふたりだけの真珠	富島健夫				001-P		
197701	コバルト文庫	ひなげしの肖像	清川妙				007-D		
197701	コバルト文庫	白百合の祈り	諸星澄子				020-A		
197701	コバルト文庫	うらめしや狂騒曲	坂田稔				021-A		
197701	コバルト文庫	青い恋の季節	佐伯千秋		4-08-610062-2		002-M		
197701	コバルト文庫	レモンのような娘	川上宗薫		4-08-610064-9		009-D		
197701	コバルト文庫	妖精の涙	三木澄子		4-08-610065-7		004-D		
197702	ソノラマ文庫	盗まれた表札	藤村正太	岩井泰三	4-257-76062-1	62	43-C	251	
197702	ソノラマ文庫	さすらい山河・地底の声	水上勉	さとうひろみ	4-257-76063-X	63	46-B	382	
197702	ソノラマ文庫	まぼろしの怪人	横溝正史	田村元	4-257-76064-8	64	54-J		
197702	コバルト文庫	心に青き砂漠あり	佐伯千秋				002-N		
197702	コバルト文庫	雪が燃えていた	三木澄子				004-E		
197702	コバルト文庫	なでしこの椅子	清川妙				007-E		
197702	コバルト文庫	涙の河のむこうに	柳川創造				022-A		
197702	コバルト文庫	明日は青春	富島健夫		4-08-610068-1		001-Q		
197702	コバルト文庫	純愛一路	富島健夫		4-08-610069-X		001-R		
197702	コバルト文庫	初恋教室	吉田とし		4-08-610071-1		003-G		
197702	コバルト文庫	白雪の山なみに	赤松光夫		4-08-610074-6		010-D		
197703	ソノラマ文庫	殺し屋だ、手をあげろ	夏文彦	黒田征太郎	4-257-76065-6	65	38-B	254	
197703	ソノラマ文庫	改訂・受験殺人事件	辻真先	畑農照雄	4-257-76066-4	66	つ 1- 7	252	
197703	ソノラマ文庫	海底基地SOS	高橋泰邦	スタジオぬえ	4-257-76067-2	67	27-B	254	
197703	コバルト文庫	雪と山と若者たち	佐伯千秋				002-O		
197703	コバルト文庫	水色の愛の挽歌	川上宗薫				009-E		
197703	コバルト文庫	幸福に散った人	諸星澄子				020-B		
197703	コバルト文庫	かりそめの恋	富島健夫		4-08-610076-2		001-S		
197703	コバルト文庫	吹雪のなかの少年	富島健夫		4-08-610077-0		001-T		
197703	コバルト文庫	微笑みのうしろに	佐藤愛子		4-08-610080-0		006-C		
197703	コバルト文庫	愛さずにはいられない	三木澄子		4-08-610081-9		004-F		
197703	コバルト文庫	愛のぶらんこ	藤木靖子		4-08-610083-5		011-B		
197704	ソノラマ文庫	アンドロボット '99	今日泊亜蘭	江口まひろ	4-257-76068-0	68	12-A	221	
197704	ソノラマ文庫	ふくろうが死を歌う	加納一朗	岩井泰三	4-257-76069-9	69	8-H	314	
197704	ソノラマ文庫	さすらいの太陽	藤川桂介	中村昭子	4-257-76070-2	70	84-A		
197704	コバルト文庫	春の祭り	吉田とし				003-H		
197704	コバルト文庫	白鳥に告げた言葉	三木澄子				004-G		
197704	コバルト文庫	明日は会おうね	川上宗薫				009-F		
197704	コバルト文庫	十七歳の夢	富島健夫		4-08-610084-3		001-U		
197704	コバルト文庫	秘密はふたりのもの	富島健夫		4-08-610085-1		001-V		
197704	コバルト文庫	風にきいた旅	佐伯千秋		4-08-610086-X		002-P		
197704	コバルト文庫	花あんずの詩	清川妙		4-08-610089-4		007-F		
197704	コバルト文庫	ロマンチックSF傑作選	編：豊田有恒		4-08-610091-6		023-A		
197705	ソノラマ文庫	マンガ研究生	武田武彦	ささやななえ	4-257-76071-0	71	28-A		
197705	ソノラマ文庫	地球盗難	海野十三	田村元	4-257-76072-9	72	5-A	190	
197705	ソノラマ文庫	作戦NACL	光瀬龍	金森達	4-257-76073-7	73	45-D	217	
197705	コバルト文庫	海の十字架	佐々木守				025-A		
197705	コバルト文庫	明日への扉	津村節子				026-A		
197705	コバルト文庫	青春劇場	富島健夫		4-08-610092-4		001-W		
197705	コバルト文庫	不良少年の恋	富島健夫		4-08-610093-2		001-X		
197705	コバルト文庫	白い春の道	佐伯千秋		4-08-610094-0		002-Q		
197705	コバルト文庫	虹の挽歌	赤松光夫		4-08-610095-9		010-E		
197705	コバルト文庫	駆け足の季節	飯田智		4-08-610096-7		024-A		
197705	コバルト文庫	天使はどこにいる	桐村杏子		4-08-610099-1		012-B		
197706	ソノラマ文庫	南海の密輸船　サウンド・ハンター (3)	和田頴太	山野辺進	4-257-76074-5	74	57-C	250	
197706	ソノラマ文庫	死者の学園祭	赤川次郎	依光隆	4-257-76075-3	75	あ 5-1	254	
197706	コバルト文庫	青春歌集 -1-	編：山本直純				029-A		
197706	コバルト文庫	制服の庭	富島健夫		4-08-610100-9		001-Y		
197706	コバルト文庫	わたしの赤いつばさ	佐伯千秋		4-08-610101-7		002-R		
197706	コバルト文庫	稚くて罪を知らず	吉田とし		4-08-610102-5		003-I		
197706	コバルト文庫	好きになっちゃった	佐藤愛子		4-08-610103-3		006-D		
197706	コバルト文庫	花びらの心象風景	清川妙		4-08-610104-1		007-G		
197706	コバルト文庫	永遠のスカーレットオハラ　ヴィヴィアン・リー物語	草鹿宏		4-08-610105-X		027-A		
197706	コバルト文庫	わが青春のイレブン	いえき・ひさこ		4-08-610106-8		028-A		
197707	ソノラマ文庫	宇宙の放浪者　キャプテン・シャーク 2	石津嵐	石黒昇	4-257-76076-1	76	4-E	236	
197707	ソノラマ文庫	エスパー少年抹殺作戦	清水義範	小川芳	4-257-76077-X	77	20-A	222	
197707	ソノラマ文庫	青空に虹が	富島健夫	樹村みのり	4-257-76078-8	78	33-A	286	
197707	コバルト文庫	ぼくの恋人	富島健夫		4-08-610108-4		001-Z		
197707	コバルト文庫	風が答えた	三木澄子		4-08-610109-2		004-H		
197707	コバルト文庫	消えた螢日	赤松光夫		4-08-610110-6		010-F		
197707	コバルト文庫	残された夏帽子	川上宗薫		4-08-610111-4		009-G		
197707	コバルト文庫	夕映え少女	川端康成		4-08-610112-2		030-B		
197707	コバルト文庫	万葉姉妹	川端康成		4-08-610113-0		030-A		
197707	コバルト文庫	おてんば専科	大木圭		4-08-610114-9		031-A		
197707	コバルト文庫	明日のスケッチ	岡崎友紀		4-08-610115-7		032-A		
197707	コバルト文庫	今夜の花	富島健夫		4-08-610116-5		001-AA		
