発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
197511	ソノラマ文庫	宇宙戦艦ヤマト	石津嵐　原案：豊田有恒	箕輪宗廣	4-257-76001-X	1	4-A	318	
197511	ソノラマ文庫	暁はただ銀色	光瀬龍	武部本一郎	4-257-76002-8	2	45-A	222	
197511	ソノラマ文庫	北北東を警戒せよ	光瀬龍	中山正美	4-257-76003-6	3	45-B	255	
197511	ソノラマ文庫	蜃気楼博士	都筑道夫	柳柊二	4-257-76004-4	4	30-A	220	
197511	ソノラマ文庫	怪人くらやみ殿下	山村正夫	中村英雄	4-257-76005-2	5	50-A	222	
197511	ソノラマ文庫	地底怪生物マントラ	福島正実	南村喬之	4-257-76006-0	6	42-A	221	
197511	ソノラマ文庫	死に神はあした来る	辻真先	中村英夫	4-257-76007-9	7	29-A	222	
197511	ソノラマ文庫	悪魔がねらっている	山崎忠昭	林朝路	4-257-76008-7	8	49-A	255	
197511	ソノラマ文庫	透明少年	加納一朗	祐天寺三郎	4-257-76009-5	9	か 1- 1	222	
197511	ソノラマ文庫	夕焼けの少年	加納一朗	岩田浩昌	4-257-76010-9	10	か 1- 2	222	
197512	ソノラマ文庫	ささぶね船長	永井萠二	六浦光雄	4-257-76011-7	11	36-A	223	
197512	ソノラマ文庫	SOSタイム・パトロール	光瀬龍	武部本一郎	4-257-76012-5	12	45-C	222	
197512	ソノラマ文庫	仮題・中学殺人事件	辻真先	畑農照雄	4-257-76013-3	13	つ 1- 5	220	
197512	ソノラマ文庫	怪盗ラレロ	加納一朗	白吉辰三	4-257-76014-1	14	か 1- 3	254	
197512	ソノラマ文庫	黒の放射線	中尾明	小川芳	4-257-76015-X	15	37-A	222	
