発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
201601	電撃文庫	サムライ・オーヴァドライブ　―桜花の殺陣―	九岡望	枕狐	978-4-04-865569-9			328	
201601	電撃文庫	エルフ嫁と始める異世界領主生活　―俺の住む島に異世界が来ちゃったんだが―	鷲宮だいじん	Nardack	978-4-04-865582-8			296	
201601	電撃文庫	クロクロクロック 結	入間人間	深崎暮人	978-4-04-865658-0			296	
201601	電撃文庫	ドウルマスターズ 3	佐島勤	tarou2	978-4-04-865659-7			312	
201601	電撃文庫	未踏召喚://ブラッドサイン (4)	鎌池和馬	依河和希	978-4-04-865660-3			360	
201601	電撃文庫	なれる！SE 14　世にも奇妙な？ビジネスアライアンス	夏海公司	Ixy	978-4-04-865662-7			280	
201601	電撃文庫	レオ・アッティール伝 III　首なし公の肖像	杉原智則	岡谷	978-4-04-865674-0			344	
201601	電撃文庫	セブンサーガ　～七つの大罪　赤き竜は憤怒に燃えて～	和泉弐式	まじろ	978-4-04-865675-7			344	
201601	電撃文庫	夜桜ヴァンパネルラ２	杉井光	崎由けぇき	978-4-04-865679-5			264	
201601	電撃文庫	監獄学校にて門番を (3)	古宮九時	やすも	978-4-04-865680-1			328	
201601	電撃文庫	魔導書作家になろう！ 2　＞ならば魔王の誘いに乗っちゃいますか？（はい／いいえ）	岬鷺宮	こちも	978-4-04-865687-0			280	
201601	電撃文庫	俺氏、異世界学園で『女子トイレの神』になる。	周防ツカサ	もくふう	978-4-04-865688-7			312	
201601	電撃文庫	課外活動サバイバルメソッド 3	水瀬葉月	悠久ポン酢	978-4-04-865691-7			296	
201601	電撃文庫	やがて魔剱のアリスベル VI　さらば妖?	赤松中学	閏月戈	978-4-04-865714-3			344	
201601	富士見ファンタジア文庫	金色の文字使い 外伝 2　―ユニークチートと導かれし仲間たち―	十本スイ	すまき俊悟	978-4-04-070555-2			316	
201601	富士見ファンタジア文庫	Only Sense Online 8　―オンリーセンス・オンライン―	アロハ座長	ゆきさん	978-4-04-070584-2			283	
201601	富士見ファンタジア文庫	いつか世界を救うために 2　―クオリディア・コード―	橘公司（Speakeasy）	はいむらきよたか	978-4-04-070612-2			313	
201601	富士見ファンタジア文庫	できそこないの魔獣錬磨師 4	見波タクミ	狐印	978-4-04-070691-7			314	
201601	富士見ファンタジア文庫	織田信奈の野望 全国版 14	春日みかげ	みやま零	978-4-04-070704-4			392	
201601	富士見ファンタジア文庫	戦艦学園のグラムリッター 2　転落の魔道士と迷える皇女	手島史詞	カスカベアキラ	978-4-04-070730-3			328	
201601	富士見ファンタジア文庫	英雄都市のバカども 2　～女神と漢たちの祭り～	アサウラ	だぶ竜	978-4-04-070741-9			380	
201601	富士見ファンタジア文庫	ロムニア帝国興亡記 VII　─新たな時代への一歩─	舞阪洸	エレクトさわる	978-4-04-070767-9			320	
201601	富士見ファンタジア文庫	オレと彼女の萌えよペン 5	村上凛	秋奈つかこ	978-4-04-070790-7			295	
201601	富士見ファンタジア文庫	帰宅戦争　帰りたいんだけど戦争起こしてもいい？	鬼火あられ	ちり	978-4-04-070814-0			334	[第28回ファンタジア大賞＜銀賞＞]
201601	富士見ファンタジア文庫	アサシンズプライド　暗殺教師と無能才女	天城ケイ	ニノモトニノ	978-4-04-070817-1			330	[第28回ファンタジア大賞＜大賞＞]
201601	富士見ファンタジア文庫	非オタの彼女が俺の持ってるエロゲに興味津々なんだが……	滝沢慧	睦茸	978-4-04-070821-8			300	[第28回ファンタジア大賞＜金賞＞]
201601	角川スニーカー文庫	艦隊これくしょん ―艦これ―　瑞の海、鳳の空 3	むらさきゆきや　協力：「艦これ」運営鎮守府	有河サトル	978-4-04-103112-4			252	
201601	角川スニーカー文庫	されど僕らの幕は上がる。 Scene.2	喜多見かなた	白身魚	978-4-04-103416-3			316	
201601	角川スニーカー文庫	この素晴らしい世界に祝福を！ 8　アクシズ教団VSエリス教団	暁なつめ	三嶋くろね	978-4-04-103540-5			284	
201601	角川スニーカー文庫	異世界妖怪サモナー　～ぜんぶ妖怪のせい～ 2	東亮太	日向あずり	978-4-04-103693-8			286	
201601	角川スニーカー文庫	キズナの姫と生徒会騎士団	降橋いつき	悠久ポン酢	978-4-04-103743-0			287	
201601	角川スニーカー文庫	終末なにしてますか？忙しいですか？救ってもらっていいですか？ #04	枯野瑛	ｕｅ	978-4-04-103835-2			286	
201601	角川スニーカー文庫	俺の脳内選択肢が、学園ラブコメを全力で邪魔している 11.5	春日部タケル	ユキヲ	978-4-04-103956-4			234	
201601	角川スニーカー文庫	漂流王国　勇者の妹とエルフを英雄にプロデュース！	玩具堂	U35	978-4-04-103957-1			269	
201601	ファミ通文庫	異世界スーパーマーケットを経営します　～召喚姫と店長代理～	柏木サトシ	なかばやし黎明	978-4-04-730914-2			317	[第17回えんため大賞ファミ通文庫部門＜特別賞＞]
201601	ファミ通文庫	ブサイクですけど何か？　天才魔術師最大の欠点	黒峰シハル	赤人	978-4-04-730915-9			305	[第17回えんため大賞ファミ通文庫部門＜特別賞＞]
201601	ファミ通文庫	楽園への清く正しき道程　1番目はお嫁さんにしたい系薄幸メイド	野村美月	竹岡美穂	978-4-04-730916-6			283	
201601	ファミ通文庫	奪う者 奪われる者 IV	mino	和武はざの	978-4-04-730917-3			284	
201601	ファミ通文庫	100ゴールドショップ　『ウサギ屋』	猫之宮折紙	村上ゆいち	978-4-04-730918-0			313	
201601	ファミ通文庫	偉大なる大元帥の転身 2　勇者と炎上トーナメント	竹岡葉月	ともぞ	978-4-04-730919-7			317	
201601	ファミ通文庫	アルカナ・ナラティブ	射当ユウキ	シイ	978-4-04-730920-3			347	
201601	ファミ通文庫	シュヴァルツェスマーケン　隻影のベルンハルト 2	内田弘樹　原作：吉宗鋼紀	木菟あうる	978-4-04-734014-5			310	
201601	MF文庫J	ようこそ実力至上主義の教室へ 3	衣笠彰梧	トモセシュンサク	978-4-04-068008-8			327	
201601	MF文庫J	ラストピリオド　終止符の約束	Happy Elements	Happy Elements	978-4-04-068015-6			325	
201601	MF文庫J	勇者と魔王が電撃同盟！　キッカケは、お互いの恋を応援するため!?	あごバリア	なつめえり	978-4-04-068016-3			262	
201601	MF文庫J	ピリオドからはじまる魔導機書	水月紗鳥	萌木原ふみたけ	978-4-04-068017-0			290	
201601	MF文庫J	魔剣の軍師と虹の兵団 IV	壱日千次	おりょう	978-4-04-068019-4			295	
201601	MF文庫J	異世界ならニートが働くと思った？ 2　魔族の姫を従者にして姫ハーレムを作ります。	刈野ミカタ	ねこめたる	978-4-04-068031-6			295	
201601	MF文庫J	Classroom☆Crisis 3	田口一　原作：MONTWO	倉島亜由美、rin	978-4-04-068035-4			287	
201601	MF文庫J	アブソリュート・デュオ X　dust to dust.	柊★たくみ	浅葉ゆう	978-4-04-068036-1			327	
201601	ダッシュエックス文庫	ファング・オブ・アンダードッグ 4　人と絆	アサウラ	晩杯あきら	978-4-08-631089-5			320	
201601	ダッシュエックス文庫	英雄教室 4	新木伸	森沢晴行	978-4-08-631095-6			320	
201601	ダッシュエックス文庫	封神演戯 3	森田季節	むつみまさと	978-4-08-631096-3			272	
201601	ダッシュエックス文庫	マルクスちゃん入門	おかゆまさき	あなぽん	978-4-08-631097-0			272	
201601	ダッシュエックス文庫	異世界娘と田舎生活　おい魔神、そっちは田んぼだ。	葉巡明治	朝ノよー	978-4-08-631098-7			256	
201601	ダッシュエックス文庫	異世界家族漂流記　不思議の島のエルザ	松智洋	おにぎりくん	978-4-08-631099-4			304	
201601	ダッシュエックス文庫	東京戦厄高校第72討伐班 3	三上康明	おりょう	978-4-08-631100-7			288	
201601	GA文庫	ファタモルガーナの館―The house in Fata morgana―　あなたの原典に至る物語 V	縹けいか	靄太郎	978-4-7973-8140-5			400	
201601	GA文庫	出番ですよ！カグヤさま 2 ドラマCD付き限定特装版	逢空万太	パルプピロシ	978-4-7973-8489-5			336	
201601	GA文庫	りゅうおうのおしごと！ 2　ドラマCD付き限定特装版	白鳥士郎	しらび	978-4-7973-8490-1			320	
201601	GA文庫	魔王子グレイの勇者生活 3	広岡威吹	An2A	978-4-7973-8524-3			296	
201601	GA文庫	贋のメサイア	六花梨花	エナミカツミ	978-4-7973-8534-2			296	
201601	GA文庫	出番ですよ！カグヤさま 2	逢空万太	パルプピロシ	978-4-7973-8557-1			336	
201601	GA文庫	姉と妹の下着事情。 2	柚本悠斗	けけもつ	978-4-7973-8601-1			320	
201601	GA文庫	最弱無敗の神装機竜 8	明月千里	春日歩	978-4-7973-8612-7			344	
201601	GA文庫	りゅうおうのおしごと！ 2	白鳥士郎	しらび	978-4-7973-8676-9			304	
201601	HJ文庫	セブンスターズの印刻使い 2	涼暮皐	四季童子	978-4-7986-1132-7			279	
201601	HJ文庫	征天の無双神器	坂本一馬	七六	978-4-7986-1133-4			308	
201601	HJ文庫	蒼鋼の冒涜者 3	榊一郎	赤井てら	978-4-7986-1149-5			361	
201601	HJ文庫	六畳間の侵略者!? 21	健速	ポコ	978-4-7986-1150-1			262	
201601	HJ文庫	六畳間の侵略者!? 21　ドラマCD付き特装版	健速	ポコ	978-4-7986-1151-8			262	
201601	ガガガ文庫	芸人ディスティネーション 4	天津向	きんのたま▼	978-4-09-451588-6			293	
201601	ガガガ文庫	撃戦魔法士 3	尾地雫	いちやん	978-4-09-451589-3			307	
201601	ガガガ文庫	七日の喰い神 2	カミツキレイニー	nauribon	978-4-09-451590-9			321	
201601	ガガガ文庫	不戦無敵の影殺師 6	森田季節	にぃと	978-4-09-451591-6			273	
201601	一迅社文庫	ドラゴンライブ・オンライン	稲葉洋樹	kauto	978-4-7580-4787-6			287	
201601	一迅社文庫	スクール・オブ・キングダム！　俺が国王で、クラスが小国家!?	藤谷ある	RiE	978-4-7580-4788-3			254	
201601	このライトノベルがすごい！文庫	スクールライブ・オンライン 7　ラストマン・スタンディング (前)	木野裕喜	hatsuko	978-4-8002-5002-5			284	
201601	星海社文庫	大日本サムライガール 4	至道流星	まごまご	978-4-06-138997-7			800	
201601	星海社文庫	フェノメノ 弐　融解／収縮ファフロツキーズ	一肇	安倍吉俊	978-4-06-138998-4			464	
201601	講談社ラノベ文庫	イノセントレッド　2. 彼は受け入れる闇の王	渡井亘	滝本祥子	978-4-06-381498-9			312	
201601	講談社ラノベ文庫	彼女がフラグをおられたら　ちがう水泳大会で出会えていたら、私達親友になれたかもね……	竹井10日	CUTEG	978-4-06-381504-7			296	
201601	講談社ラノベ文庫	クロックワーク・プラネット IV	榎宮祐、暇奈椿	茨乃	978-4-06-381508-5			464	
201601	講談社ラノベ文庫	チートな魔王の道具屋は、今日もJKJCが働かない!? 2	澄守彩	すし*	978-4-06-381509-2			296	
201601	講談社ラノベ文庫	失楽ノア 2	二階堂紘嗣	ふーみ	978-4-06-381510-8			328	
201601	ヒーロー文庫	チート薬師の異世界旅 6	赤雪トナ	上田夢人	978-4-07-414339-9			376	
201601	ヒーロー文庫	転生少女の履歴書 1	唐澤和希	桑島黎音	978-4-07-414351-1			392	
