発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
201701	電撃文庫	霊感少女は箱の中	甲田学人	ふゆの春秋	978-4-04-892541-9			392	
201701	電撃文庫	エロマンガ先生 (8)　和泉マサムネの休日	伏見つかさ	かんざきひろ	978-4-04-892597-6			264	
201701	電撃文庫	俺を好きなのはお前だけかよ (4)	駱駝	ブリキ	978-4-04-892601-0			296	
201701	電撃文庫	螺旋のエンペロイダー Spin4.	上遠野浩平	巖本英利	978-4-04-892602-7			280	
201701	電撃文庫	なれる！SE 15　疾風怒濤？社内競合	夏海公司	Ixy	978-4-04-892610-2			248	
201701	電撃文庫	ドリームハッカーズ　コミュ障たちの現実チートピア	出口きぬごし	るろお	978-4-04-892611-9			344	
201701	電撃文庫	迷宮料理人ナギの冒険　～地下30階から生還するためのレシピ～	ゆうきりん	TAKTO	978-4-04-892613-3			328	
201701	電撃文庫	勇者のセガレ	和ヶ原聡司	029	978-4-04-892615-7			344	
201701	電撃文庫	東京ダンジョンスフィア	奈坂秋吾	柴乃櫂人	978-4-04-892617-1			328	
201701	電撃文庫	新フォーチュン・クエスト II (8)　月の光とセオドーラ	深沢美潮	迎夏生	978-4-04-892624-9			264	
201701	電撃文庫	ぼくらはみんなアブノーマル	佐々山プラス	霜月えいと	978-4-04-892641-6			312	
201701	電撃文庫	だれがエルフのお嫁さま？	上月司	ゆらん	978-4-04-892651-5			312	
201701	電撃文庫	《ハローワーク・ギルド》へようこそ！	小林三六九	和式はざの	978-4-04-892652-2			280	
201701	電撃ゲーム文庫	グリモア　～私立グリモワール魔法学園～	くしまちみなと　原作・監修：栗原寛樹	CUTEG	978-4-04-892535-8			260	
201701	富士見ファンタジア文庫	Only Sense Online 11　―オンリーセンス・オンライン―	アロハ座長	ゆきさん	978-4-04-070890-4			292	
201701	富士見ファンタジア文庫	非オタの彼女が俺の持ってるエロゲに興味津々なんだが…… 4	滝沢慧	睦茸	978-4-04-072029-6			312	
201701	富士見ファンタジア文庫	妹＝絶滅したのです 2	八奈川景晶	ちこたむ	978-4-04-072031-9			260	
201701	富士見ファンタジア文庫	オタサーの姫と恋ができるわけがない。 3	佐倉唄	あゆま紗由	978-4-04-072164-4			344	
