発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
200401	電撃文庫	リヴァイアサン	大塚英志	衣谷遊	4-8402-2552-4	0881	お-3-4	357	
200401	電撃文庫	デュアン・サーク II (3)　魔法戦士誕生 <上>	深沢美潮	戸部淑	4-8402-2570-2	0882	ふ-1-40	231	
200401	電撃文庫	Missing 10　続・座敷童の物語	甲田学人	翠川しん	4-8402-2571-0	0883	こ-6-10	217	
200401	電撃文庫	ゆらゆらと揺れる海の彼方	近藤信義	えびね	4-8402-2572-9	0884	こ-7-1	422	[第9回電撃ゲーム小説大賞＜三次選考作＞]
200401	電撃文庫	道士さまといっしょ	三雲岳斗	兎塚エイジ	4-8402-2573-7	0885	み-3-12	305	
200401	電撃文庫	七姫物語 第二章　世界のかたち	高野和	尾谷おさむ	4-8402-2574-5	0886	た-15-2	278	
200401	電撃文庫	しにがみのバラッド。 (3)	ハセガワケイスケ	七草	4-8402-2575-3	0887	は-4-3	270	
200401	電撃文庫	ウィザーズ・ブレイン IV　世界樹の街 <下>	三枝零一	純珪一	4-8402-2576-1	0888	さ-5-5	303	
200401	電撃文庫	銀河観光旅館　宙の湯へいらっしゃ～い！ (6)	あらいりゅうじ	みさくらなんこつ	4-8402-2577-X	0889	あ-5-10	215	
200401	電撃文庫	9S＜ナインエス＞ II	葉山透	山本ヤマト	4-8402-2578-8	0890	は-5-2	336	
200401	電撃文庫	Little Birds Fly	円山夢久	小栗るみ	4-8402-2579-6	0891	ま-5-6	273	
200401	電撃文庫	ガンズ・ハート　硝煙の誇り	鷹見一幸	青色古都	4-8402-2580-X	0892	た-12-8	339	
200401	富士見ファンタジア文庫	スプラッシュ！ 3　黄金の旅人、はばたく！	三田誠	PEACH-PIT	4-8291-1572-6	970	137-3	377	
200401	富士見ファンタジア文庫	パラダイス・メーカー　オラが村ぁ平和	八街歩	Cuvie	4-8291-1580-7	978	144-1	421	[第15回ファンタジア長編小説大賞＜努力賞＞]
200401	富士見ファンタジア文庫	王国神話　空から降る天使の夢	明日香々一	かわく	4-8291-1581-5	979	145-1	299	[第15回ファンタジア長編小説大賞＜最終選考作＞]
200401	富士見ファンタジア文庫	気象精霊記 7　禁酒・禁宴・禁休事態	清水文化	七瀬葵	4-8291-1582-3	980	83-17	381	
200401	富士見ファンタジア文庫	マテリアルナイト II　少女は聖霊と歌う	雨木シュウスケ	椋本夏夜	4-8291-1583-1	981	143-2	302	
200401	富士見ファンタジア文庫	デビル17 (1)　みなごろしの学園	豪屋大介	藤渡	4-8291-1584-X	982	117-7	469	
200401	富士見ファンタジア文庫	エンジェル・ハウリング 7　帝都崩壊 1―from the aspect of MIZU	秋田禎信	椎名優	4-8291-1585-8	983	40-41	334	
200401	角川スニーカー文庫	シェアード・ワールド・ノベルズ　百鬼夜翔　昏い霧に眠る街	北沢慶、柘植めぐみ、友野詳	あるまじろう	4-04-415228-4	13197	52-27	277	
200401	角川スニーカー文庫	月と闇の戦記 三　神様はしらんぷり。　［完］	森岡浩之	草河遊也	4-04-424304-2	13198	126-4	251	
200401	角川スニーカー文庫	アウトニア王国拾遺録 1　でたまか　青雲立志篇	鷹見一幸	chiyoko	4-04-425710-8	13199	140-9	330	
200401	角川スニーカー文庫	斬魔大聖デモンベイン　魔を断つ剣	涼風涼 (DIGITURBO)　原作：鋼屋ジン　(Nitroplus)	Niθ	4-04-427806-7	13200	156-6	334	
200401	角川スニーカー文庫	バイトでウィザード　滅せよこの想い、と彼女は哭いた	椎野美由貴	原田たけひと	4-04-428705-8	13201	162-5	236	
200401	角川スニーカー文庫	されど罪人は竜と踊る IV　くちづけでは長く、愛には短すぎて	浅井ラボ	宮城	4-04-428904-2	13202	165-4	342	
200401	角川スニーカー文庫	涼宮ハルヒの退屈	谷川流	いとうのいぢ	4-04-429203-5	13203	168-3	308	
