発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
199301	富士見ファンタジア文庫	月鬼 2　火の霊宝輪	六道慧	東拓	4-8291-2481-4	181	10-18	298	
199301	富士見ファンタジア文庫	ねこのめ (3)　六分儀の未来	小林めぐみ	加藤洋之＆後藤啓介	4-8291-2482-2	182	30-5	268	
199301	角川スニーカー文庫	グローリー戦記 (1)　幻の兵法書	柿沼秀樹	山田麻里緒	4-04-411009-3	8815	10-9	236	
199301	角川スニーカー文庫	歌姫　1 カンタービレ 歌姫の騎士	篠崎砂美	中山星香	4-04-413203-8	8781	32-3	252	
199301	角川スニーカー文庫	風の歌 星の道 (後)	冴木忍	弘司	4-04-413802-8	8837	38-2	230	
199301	ソノラマ文庫	レッド！　イングランドの赤い竜 (下)	小寺真理	波津彬子	4-257-76632-8	632	こ 2- 5	257	
199301	ソノラマ文庫	私闘学園〈完結篇？〉　私闘学園 8	朝松健	島本和彦	4-257-76633-6	633	あ 1-20	256	
199301	ソノラマ文庫	ラットレーサー・ブルース　かたゆでマック 4	藤原征矢	合田浩章	4-257-76634-4	634	ふ 4- 4	292	
199301	スーパーファンタジー文庫	隠れ里乱世伝 5　第一期　聖女人軍団編	藤川桂介	美樹本晴彦	4-08-613094-7		ふ1-5	236	
199301	スーパーファンタジー文庫	白の剣士ルーシファ　妖霊の塔	瀬川貴次	藤川守	4-08-613095-5		せ1-4	218	
199301	スーパーファンタジー文庫	楽園の守護者	大野香織子	大江湖月	4-08-613096-3		お3-1	238	
199301	スーパーファンタジー文庫	ARCADIA　海王の野望	七穂美也子	星崎龍	4-08-613097-1		な2-2	247	
199301	スーパーファンタジー文庫	半月大神の夜 (後編)　花咲く帝王の樹々　Part 2	山田ミネコ	山田ミネコ	4-08-613098-X		や4-4	262	
199301	スーパークエスト文庫	最後の審判 3　世紀末の覇者	飯島健男	恩田尚之	4-09-440043-5		い2-3	195	
199301	スーパークエスト文庫	BURAI VOL.3	飯島健男	荒木伸吾、姫野美智	4-09-440053-2		い2-13	194	
199301	コバルト文庫	まんが家マリナ恋心事件　愛は甘美なパラドクス	藤本ひとみ	谷口亜夢	4-08-611711-8		ふ1-54	311	
199301	コバルト文庫	冬のディーン 夏のナタリー (3)	氷室冴子	藤田和子	4-08-611712-6		ひ1-36	228	
199301	コバルト文庫	ハネムーン特急で真珠の恋	山浦弘靖	飯坂友佳子	4-08-611713-4		や1-47	237	
199301	コバルト文庫	牡牛座のための恋愛劇場	日向章一郎	みずき健	4-08-611714-2		ひ2-31	254	
199301	コバルト文庫	東京少年十字軍 (上)	久美沙織	さいきなおこ	4-08-611715-0		く1-43	217	
199301	コバルト文庫	メロディ　天使のカノン 9　～もう夢は終わらない～	倉本由布	槇夢民	4-08-611716-9		く2-25	239	
199301	コバルト文庫	いきなりミーハーGAMEパニック	カトリーヌあやこ、落合ゆかり	カトリーヌあやこ	4-08-611717-7		か3-7	207	
199301	コバルト文庫	アクション・ファンタジー　冬の領域	三浦真奈美	定広美香	4-08-611718-5		み3-7	215	
199301	コバルト文庫	カウス＝ルー大陸史・空の牙　祭りの灯	響野夏菜	石堂まゆ	4-08-611719-3		ひ5-3	242	
199301	X文庫ホワイトハート	悲しいと言えない悲しさ	浅野裕子	大平美智子	4-06-255105-5		あC-01	186	
199301	X文庫ホワイトハート	星と闇の王　ムーンライト・ホーン 3	小沢淳	中川勝海	4-06-255106-3		おA-12	186	
199301	X文庫ホワイトハート	魔鏡の姫神　霊感探偵倶楽部	新田一実	岩崎陽子	4-06-255107-1		にA-01	263	
199301	X文庫ホワイトハート	本気で欲しけりゃモノにしろ！	深沢梨絵	真木しょうこ	4-06-255108-X		ふA-01	220	
199301	X文庫ティーンズハート	恋愛小説のつくりかた	小林深雪	牧村久実	4-06-198725-9		こ2-17	219	旧整理番号：X154-17
199301	X文庫ティーンズハート	都市戦記・妖魔アルディーン 3　香港魔界行	井上ほのか	瀬口恵子	4-06-198728-3		X95-13	301	
199301	X文庫ティーンズハート	涙だけの恋なんて…	若林真紀	糸井美和	4-06-198729-1		X108-27	201	
199301	X文庫ティーンズハート	女ともだち 7	倉橋燿子		4-06-198730-5		X91-48	218	
199301	X文庫ティーンズハート	アイドル誘拐プラン (下)　あたしのエイリアン	津原やすみ	新井葉月	4-06-198731-3		X118-15	212	
199301	X文庫ティーンズハート	突然のボーイフレンド (1)	西条せつな	日下部拓海	4-06-198733-X		X171-4	218	
199301	X文庫ティーンズハート	プラネタリウム	花井愛子	さとう智子	4-06-198734-8		X67-36	250	
199301	X文庫ティーンズハート	だましたなんて、いわないで	水木マリ	河村那智	4-06-198735-6		X168-5	219	
199301	パレット文庫	ピンク・ハウスのお嬢さん	花井愛子	紅追春美	4-09-420089-4		は1-19	200	
199301	パレット文庫	BOYS & GIRLS 1	赤羽建美	長谷部百合	4-09-420156-4		あ1-16	206	
199301	パレット文庫	小説 あのこに1000% 5	あかほりさとる　原作：北川みゆき	北川みゆき	4-09-420265-X		あ4-5	190	
199301	ウィングス・ノヴェルス	百万年分の一瞬	麻城ゆう	道原かつみ	4-403-64009-5			242	
199302	富士見ファンタジア文庫	メルヴィ＆カシム (2)　銀の魔女	冴木忍	幡池裕行	4-8291-2468-7	168	32-6	247	
199302	富士見ファンタジア文庫	ソード・ワールド・ノベル　剣の国の魔法戦士	水野良	士貴智志	4-8291-2477-6	177	21-12	282	
199302	富士見ファンタジア文庫	宇宙一の無責任男シリーズ　外伝 (4)　厳冬惑星ホロシリの叛乱	吉岡平	都築和彦	4-8291-2483-0	183	11-20	233	
199302	角川スニーカー文庫	伝説の勇者ダ・ガーン (下)	鷹見陸	平岡正幸、高谷浩利	4-04-411504-4	8862	15-4	251	
199302	角川スニーカー文庫	続わたしの勇者さま　魔法使いのティータイム	とまとあき、塚本裕美子	新谷かおる	4-04-412106-0	8834	21-6	236	旧整理番号：21-6
199302	角川スニーカー文庫	天井の饗宴　＜反逆＞号ログノート (3)	伊東麻紀	神村幸子	4-04-413603-3	8861	36-3	288	
199302	角川スニーカー文庫	アルスの書外伝　1 炎の封印	白井星夜	春日聖生	4-04-413901-6	8803	39-1	222	
