発売年月	レーベル	タイトル	著者	イラスト	ISBN	通巻番号	整理番号	ページ数	補足
198501	ソノラマ文庫	ハレーション・ゴースト　妖精作戦 PART II	笹本祐一	平野俊弘	4-257-76294-2	294	さ 2- 2	285	
198501	ソノラマ文庫	悪霊ステーション	竹河聖	中村銀子	4-257-76295-0	295	た 5- 1	282	
198501	コバルト文庫	多恵子ガール	氷室冴子	渡辺多恵子	4-08-610719-8		052-R	275	
198501	コバルト文庫	丘の家のミッキー (2)	久美沙織	めるへんめーかー	4-08-610720-1		088-L	299	
198501	コバルト文庫	とっておき家族	田中雅美	鈴木道子	4-08-610721-X		081-L	219	
198501	コバルト文庫	ロマンチック・スペシャル	正本ノン	久保恵子	4-08-610722-8		063-N	217	
198501	コバルト文庫	ミーカはミーカ（ハート）トラブル・メーカー	大原まり子	米田裕	4-08-610723-6		168-A	227	
198501	コバルト文庫	青春クロスピア	唯川恵		4-08-610724-4		169-A	245	
198501	コバルト文庫	ベスト・キッド	B・B・ヒラー　訳：橘高弓枝		4-08-610726-0		116-C	234	
198502	ソノラマ文庫	重戦機エルガイム 1　燃える大地	渡邉由自	北爪宏幸	4-257-76296-9	296	わ 1- 1	282	
198502	ソノラマ文庫	幽霊空間の謎を暴け　ハイスピード・ジェシー (2)	斉藤英一朗	美樹本晴彦	4-257-76297-7	297	さ 1- 6	252	
198502	ソノラマ文庫	聖金剛石の秘密　ランドルフィ物語 (1)	清水義範	佐竹美保	4-257-76298-5	298	し 1-19	217	
198502	コバルト文庫	THE CHECKERS　チェッカーズ写真集	チェッカーズ		4-08-610725-2		170-A		
198502	コバルト文庫	ユー☆ガッタ☆チャンス	大森一樹		4-08-610727-9		171-A	221	
198502	コバルト文庫	写真集クララ白書 少女隊PHOON	編：オフィス41N		4-08-610728-7		172-A		
198502	コバルト文庫	バッド・ボーイズ	リチャード・ディレロ　訳：高山芳恒		4-08-610729-5		164-B	219	
198502	コバルト文庫	家族の絆　―ファースト・ボーン―	S・P・スミス　訳：羽田詩津子		4-08-610730-9		144-C	294	
198502	コバルト文庫	BOY'S　100人のアンケート＆体験談　僕たちのABC	編：半沢隆子	赤星たみこ	4-08-610731-7		173-A	251	
198502	コバルト文庫	サラダデイズ・ペ－パ－　ぼくとわたしのpink体験コレクション	吉野一穂		4-08-610732-5		040-E	273	
198502	コバルト文庫	コバルト・ノベル大賞　入選作品集 2	編：コバルト編集部		4-08-610733-3		100-D	241	
198503	ソノラマ文庫	悪夢への鎮魂曲	草川隆	佐竹美保	4-257-76299-3	299	14-E	254	
198503	ソノラマ文庫	エイリアン妖山記	菊地秀行	天野喜孝	4-257-76300-0	300	き 1-13	249	
198503	コバルト文庫	カリブ・愛のシンフォニー	藤公之介		4-08-610734-1		060-I	245	
198503	コバルト文庫	ロマンチック・メルヘン　こころほし　てんとう虫	夢枕獏		4-08-610735-X		058-C	263	
198503	コバルト文庫	もうさよならは言わないで　ドキュメントある愛の軌跡	南英男		4-08-610736-8		043-R	291	
198503	コバルト文庫	愛のためでなく	ハイラ・コールマン　訳：神鳥統夫		4-08-610737-6		174-A	230	
198503	コバルト文庫	笑と笑と笑と（ショートショートショート）　江戸こばなし傑作集	山住昭文		4-08-610738-4		175-A	218	
198503	コバルト文庫	幻の黄金超特急 3　銀河本線ルート１	山浦弘靖	松田勝巳	4-08-610739-2		105-E	251	
198503	コバルト文庫	麦ちゃんのヰタ・セクスアリス　第2部 1	立原あゆみ		4-08-610740-6		078-I		
198504	ソノラマ文庫	隻眼の魔術師　ランドルフィ物語 (2)	清水義範	佐竹美保	4-257-76301-9	301	し 1-20	222	
198504	ソノラマ文庫	暗殺のゲリラ星域	在沢伸	伊達誠	4-257-76302-7	302	2-D	254	
198504	コバルト文庫	なんて素敵にジャパネスク 2	氷室冴子	峯村良子	4-08-610741-4		052-S	309	
198504	コバルト文庫	風をつかまえて	久美沙織	藤臣柊子	4-08-610742-2		088-M	241	
198504	コバルト文庫	ぴかぴか☆物語	田中雅美	赤星たみこ	4-08-610743-0		081-M	221	
198504	コバルト文庫	誰かがどこかで恋してる	正本ノン	久保恵子	4-08-610744-9		063-O	257	
198504	コバルト文庫	ももこの星へ遊びに来てね	杉本りえ		4-08-610745-7		158-B	247	
198504	コバルト文庫	ウサギは歌を歌わない	小室みつ子	小室みつ子	4-08-610746-5		159-B	238	
198504	コバルト文庫	スターマン	アラン・ディーン・フォスター　訳：田中一江		4-08-610747-3		135-B	254	
198505	ソノラマ文庫	カーニバル・ナイト　妖精作戦 PART III	笹本祐一	平野俊弘	4-257-76303-5	303	さ 2- 3	283	
198505	ソノラマ文庫	若き竜王の伝説	嵩峰龍二	出渕裕	4-257-76304-3	304	た 2- 1	283	
198505	ソノラマ文庫	重戦機エルガイム 2　凍れる宇宙	渡邉由自	北爪宏幸	4-257-76305-1	305	わ 1- 2	286	
198505	コバルト文庫	新・吸血鬼はお年ごろ　吸血鬼のための狂騒曲	赤川次郎	長尾治	4-08-610748-1		068-G	231	
198505	コバルト文庫	新・恋愛セミナー	富島健夫		4-08-610749-X		001-BG	239	
198505	コバルト文庫	友だちが怖い　ドキュメント・ノベル「いじめ」	南英男		4-08-610750-3		043-S	304	
198505	コバルト文庫	愛と友情のボストン　翔べ！青春の車椅子	山崎泰広		4-08-610751-1		176-A	238	
198505	コバルト文庫	愛のハンド・ウォッチング	萬詳華		4-08-610752-X		177-A	253	
198505	コバルト文庫	不思議の国の映画たち　SFXビデオ全集	編：小山内新		4-08-610753-8		178-A	295	
198505	コバルト文庫	麦ちゃんのヰタ・セクスアリス　第2部 2	立原あゆみ		4-08-610754-6		078-J	200	
198506	ソノラマ文庫	一九八五年、異次元への旅	加納一朗	祐天寺三郎	4-257-76306-X	306	か 1-24	250	
198506	ソノラマ文庫	青の騎士ベルゼルガ物語 1	はままさのり	幡池裕行	4-257-76307-8	307	は 1- 1	249	
198506	コバルト文庫	扉を開けて	新井素子	長尾治	4-08-610755-4		075-G	313	
198506	コバルト文庫	いつかやさしい雨が	小林弘利	大嶋繁	4-08-610756-2		162-B	279	
198506	コバルト文庫	サマータイム・ミスティ	城島明彦		4-08-610757-0		179-A	237	
198506	コバルト文庫	鉄格子の中へどうぞ	軒上泊		4-08-610758-9		180-A	249	
198506	コバルト文庫	タイムトラベルSF傑作選	編：星敬		4-08-610759-7		122-C	277	
198506	コバルト文庫	血液型ラブ・アタック大作戦　こんな恋人みつけたい	志賀貢	仲川道子	4-08-610760-0		181-A	263	
